topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_algorithm_state,1789530048.4726322,1789530048.4726322,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.1000019669012675,0.014009617561152569,1.1506100211348437e-05,1789530048.4724834,1.0,-0.015,0.112,1.0,0.0,0.0,0.016016477680667336,0.10000237615246067,0.0,-2.684378638366096e-05,5.634394798467723e-06,0.0,-4.966925635562034e-06,0.0015102273384706166,0.016112104955234567,-0.012499390222681952,-0.08388986194603293,-0.10747273712372692,1.7375139188876998,1.6582670704559145e-06,-0.12247200539094526,0.34610953390930255,0.34610953390930255,-1.928017716062199e-06,-2.431187422481196e-07,0.11549905208500007,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.016013435959144104,0.100001404350924,0.0,-3.4581921440433178e-06,-3.966424944198965e-06,0.0,3.031984450158507e-05,0.0015315593440952872,0.01685805112516311,-0.012478058217057282,-0.08314391577610439,-0.10618136678483223,1.7248849921661527,1.6296108158541597e-06,-0.12115503664530096,0.34521269470276394,0.34521269470276394,-2.004134616248409e-06,-2.6488819139449134e-07,0.1152182359540262,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.016015423067376196,0.10000212020041782,0.0,-1.888983544584494e-05,2.0463192299119415e-06,0.0,9.165381768022273e-06,0.0014892018052079915,0.016562024123081345,-0.012520415755944578,-0.08343994277818616,-0.10669271721786135,1.7298750784572143,1.6409561807811225e-06,-0.12171721612499484,0.3457040061587936,0.3457040061587936,-1.9244778983746702e-06,-2.5521850872368326e-07,0.11539099661059238,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.4826844,1789530048.4826844,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.1000019669012675,0.015004885536705963,1.1506100211348437e-05,1789530048.4824448,1.0,-0.015,0.112,1.0,0.0,0.0,0.016016477680667336,0.10000237615246067,0.0,-2.684378638366096e-05,5.634394798467723e-06,0.0,-4.966925635562034e-06,0.00172067410860033,0.018160188396145485,-0.013284211428105633,-0.08184177850512202,-0.10394946218638651,1.7032683097296355,1.5801262923137454e-06,-0.11989051590011326,0.3481042024170258,0.3481042024170258,-2.347180089513972e-06,-3.2348885508792935e-07,0.11743944601244775,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.016013435959144104,0.100001404350924,0.0,-3.4581921440433178e-06,-3.966424944198965e-06,0.0,3.031984450158507e-05,0.0018633683043147344,0.019070694367285083,-0.01314151723239123,-0.08093127253398241,-0.10240538292992848,1.6884694572578272,1.545933759060066e-06,-0.11817520360879796,0.34670960120708544,0.34670960120708544,-2.447684818798839e-06,-3.514915891282131e-07,0.11711237044542201,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.016015423067376196,0.10000212020041782,0.0,-1.888983544584494e-05,2.0463192299119415e-06,0.0,9.165381768022273e-06,0.0018223848755109051,0.018792939744731604,-0.013182500661195059,-0.0812090271565359,-0.10287498575891736,1.6929567371822731,1.5563285589909907e-06,-0.11869398655235143,0.34722063487205423,0.34722063487205423,-2.361347093183678e-06,-3.399122369875271e-07,0.11729901224390986,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.4925807,1789530048.4925807,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.1000019669012675,0.016002425856953256,1.1506100211348437e-05,1789530048.4923463,1.0,-0.015,0.112,1.0,0.0,0.0,0.016016477680667336,0.10000237615246067,0.0,-2.684378638366096e-05,5.634394798467723e-06,0.0,-4.966925635562034e-06,0.0020837542200725185,0.020569600964340698,-0.013918671636880736,-0.0794323659369268,-0.09989245492515166,1.6646581698196263,1.4903831674724049e-06,-0.11659486088940854,0.3492556911331507,0.3492556911331507,-2.8307156314927228e-06,-4.21709508317647e-07,0.11928182117917616,0.0,0.0,-0.1600000000000075,0.1600000000000075,-0.015,0.112,1.0,0.0,0.0,0.016013435959144104,0.100001404350924,0.0,-3.4581921440433178e-06,-3.966424944198965e-06,0.0,3.031984450158507e-05,0.002116684399557023,0.021520282606807356,-0.013885741457396232,-0.07848168429446015,-0.09831693007088872,1.6499021594362233,1.4556292681453447e-06,-0.1149798198197642,0.3479386674482914,0.3479386674482914,-2.927735277988877e-06,-4.565707966773512e-07,0.11891126399725134,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.016015423067376196,0.10000212020041782,0.0,-1.888983544584494e-05,2.0463192299119415e-06,0.0,9.165381768022273e-06,0.0020707269678601867,0.021245205241071558,-0.01393169888909307,-0.07875676166019595,-0.09877136380555462,1.6541445958595677,1.4656468396570337e-06,-0.11548940247246631,0.348497110160032,0.348497110160032,-2.83428145797438e-06,-4.430419497525527e-07,0.1191110310396693,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.5024338,1789530048.5024338,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.10000127069868021,0.017005358501043188,-1.7354391594000113e-05,1789530048.5022924,1.0,-0.015,0.112,1.0,0.0,0.0,0.020027599694067044,0.10000056514985863,0.0,1.8083592823483347e-05,3.5527156316217386e-06,0.0,-4.51432512717409e-05,0.0023515990545762413,0.023150491180806622,-0.014653759446466946,-0.07685077951787359,-0.09564648447949355,1.6251997505335716,-2.106892686887597e-06,-0.11323099581525388,0.3501728681593817,0.3501728681593817,-3.350819640564197e-06,-5.403008402230131e-07,0.12103172023812991,0.0,0.0,-0.1600000000000075,0.1600000000000075,-0.015,0.112,1.0,0.0,0.0,0.020025353463687307,0.10000209316404994,0.0,-5.028829755324149e-06,-1.6876510304936199e-06,0.0,1.7170192902415524e-05,0.0025191105254728863,0.023957703907246816,-0.014486247975570302,-0.0760435667914334,-0.09433943873119856,1.6132474006791355,-2.0636547843144154e-06,-0.11172293630188292,0.34856842646753083,0.34856842646753083,-3.47343502988001e-06,-5.809597163661711e-07,0.12062348731717783,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020026837982278806,0.10000115378213208,0.0,9.68673639370841e-06,1.8892181311194743e-06,0.0,-2.4090116412674962e-05,0.002472510907632379,0.023694246371446903,-0.014532847593410808,-0.07630702432723331,-0.09476497176256712,1.6171286004315613,-2.077721523314344e-06,-0.1122043888746601,0.34915590483040326,0.34915590483040326,-3.373503569274589e-06,-5.655300830925988e-07,0.12083525137162981,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.5125446,1789530048.5125446,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.10000127069868021,0.018005230606243386,-1.7354391594000113e-05,1789530048.512337,1.0,-0.015,0.112,1.0,0.0,0.0,0.020027599694067044,0.10000056514985863,0.0,1.8083592823483347e-05,3.5527156316217386e-06,0.0,-4.51432512717409e-05,0.0027825520913393634,0.025711179617309933,-0.015222678514904022,-0.07429009108137027,-0.09153299669866771,1.5878951395777494,-1.971152996797677e-06,-0.10980021091655254,0.35046898949950367,0.35046898949950367,-3.9320690755845025e-06,-6.784552750747727e-07,0.12267817555016029,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020025353463687307,0.10000209316404994,0.0,-5.028829755324149e-06,-1.6876510304936199e-06,0.0,1.7170192902415524e-05,0.00281575277606343,0.02661650910316823,-0.015189477830179956,-0.07338476159551198,-0.09010122513508434,1.5751250180433318,-1.9241606688224184e-06,-0.10832859853130028,0.34894281255053183,0.34894281255053183,-4.0490309130533575e-06,-7.258520698475082e-07,0.12223307304490966,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020026837982278806,0.10000115378213208,0.0,9.68673639370841e-06,1.8892181311194743e-06,0.0,-2.4090116412674962e-05,0.002768857586525411,0.026361510787604767,-0.015236373019717975,-0.07363975991107545,-0.09050333484635978,1.5787002809415245,-1.9373436513545897e-06,-0.10878698247002135,0.34956192072615316,0.34956192072615316,-3.943214451384313e-06,-7.08586864451276e-07,0.12245577569065567,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.5225136,1789530048.5225136,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.10000127069868021,0.019002029772396286,-1.7354391594000113e-05,1789530048.5222883,1.0,-0.015,0.112,1.0,0.0,0.0,0.020027599694067044,0.10000056514985863,0.0,1.8083592823483347e-05,3.5527156316217386e-06,0.0,-4.51432512717409e-05,0.0031001432901031647,0.028501497127462992,-0.015901886482293123,-0.07149977357121723,-0.08715669822725926,1.5492112380868404,-1.8280060867520367e-06,-0.106238962006011,0.35043303743275245,0.35043303743275245,-4.5414110738468035e-06,-8.382100419999432e-07,0.12422092533920404,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020025353463687307,0.10000209316404994,0.0,-5.028829755324149e-06,-1.6876510304936199e-06,0.0,1.7170192902415524e-05,0.003308117090212899,0.029474514676141962,-0.015693912682183387,-0.07052675602253825,-0.08565564623988076,1.5361818819560447,-1.7792697351434987e-06,-0.10448834145850082,0.3482541839935784,0.3482541839935784,-4.683168465871308e-06,-8.924677898616757e-07,0.1237355737051269,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020026837982278806,0.10000115378213208,0.0,9.68673639370841e-06,1.8892181311194743e-06,0.0,-2.4090116412674962e-05,0.0032437040542465266,0.029024545159950323,-0.01575832571814976,-0.07097672553872988,-0.08634822853217569,1.5421784061297998,-1.8017314528894276e-06,-0.1052582193939554,0.3492076997484996,0.3492076997484996,-4.572048980093948e-06,-8.719807472286148e-07,0.1239761790329464,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.5326862,1789530048.5326862,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.10000127069868021,0.02000086166437868,-1.7354391594000113e-05,1789530048.532428,1.0,-0.015,0.112,1.0,0.0,0.0,0.020027599694067044,0.10000056514985863,0.0,1.8083592823483347e-05,3.5527156316217386e-06,0.0,-4.51432512717409e-05,0.003608168299998768,0.031275798815996556,-0.01639269336437991,-0.06872547188268366,-0.08290984280285604,1.5126646164279656,-1.6906726645603982e-06,-0.10258107484011193,0.3495865539259962,0.3495865539259962,-5.21134094531913e-06,-1.0199267672782511e-06,0.12567154130888508,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020025353463687307,0.10000209316404994,0.0,-5.028829755324149e-06,-1.6876510304936199e-06,0.0,1.7170192902415524e-05,0.0036567862629062085,0.032299571825012544,-0.01634407540147247,-0.06770169887366767,-0.0813679063599087,1.4996380870921686,-1.6412639589158325e-06,-0.10098079684167567,0.3475702312198595,0.3475702312198595,-5.3457298884054115e-06,-1.0816043559868541e-06,0.12514926048148658,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020026837982278806,0.10000115378213208,0.0,9.68673639370841e-06,1.8892181311194743e-06,0.0,-2.4090116412674962e-05,0.0035922985626609012,0.0318996880203907,-0.016408563101717778,-0.06810158267828952,-0.08196859769522788,1.5046974288142496,-1.6604810034745318e-06,-0.10165887341728921,0.3485297737152079,0.3485297737152079,-5.22952606697837e-06,-1.058330285561646e-06,0.12540496743634624,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.5425868,1789530048.5425868,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.10000045110867067,0.02100173447938236,-2.047197442309293e-05,1789530048.5423884,1.0,-0.015,0.112,1.0,0.0,0.0,0.02403002211988612,0.09999951267984844,0.0,2.9790793877373234e-05,-1.4337701514571811e-06,0.0,-2.628892358215633e-05,0.003977183395905715,0.03425852435419621,-0.017024551083476648,-0.06574192675447446,-0.0784529900050318,1.4753697547662845,-1.8268128523756198e-06,-0.09888245130520378,0.34840506553440825,0.34840506553440825,-5.906908558602979e-06,-1.2253153474916554e-06,0.127031065305736,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.02402904488653078,0.10000162058494788,0.0,-3.7307489712361253e-06,2.467396109179232e-06,0.0,-1.180422794040801e-05,0.004225505711742309,0.03534260453142431,-0.016776228767640053,-0.06465784657724637,-0.07686067449580329,1.4623069190513744,-1.767641077543169e-06,-0.09699214901697135,0.34559637179502806,0.34559637179502806,-6.06419039870524e-06,-1.29411352165351e-06,0.12646860857521017,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.02402971284962745,0.1000002200612157,0.0,1.788791264213404e-05,2.8148228674376744e-07,0.0,-2.3322771746714448e-05,0.004144609432894063,0.034750359036089945,-0.0168571250464883,-0.06525009207258073,-0.0777288193392996,1.4694117135104985,-1.7998530712541777e-06,-0.09795736939508556,0.3469676984054215,0.3469676984054215,-5.9447257409986245e-06,-1.2668303261029325e-06,0.12674520323969604,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.5524793,1789530048.5524793,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.10000045110867067,0.022000871086553894,-2.047197442309293e-05,1789530048.552369,1.0,-0.015,0.112,1.0,0.0,0.0,0.02403002211988612,0.09999951267984844,0.0,2.9790793877373234e-05,-1.4337701514571811e-06,0.0,-2.628892358215633e-05,0.004565049623600945,0.03720783178699213,-0.01743582146295295,-0.06279261932167854,-0.0741536674493282,1.4404179080203106,-1.6679967965361399e-06,-0.09507665320487174,0.34625503843951044,0.34625503843951044,-6.655000272104544e-06,-1.452328046553537e-06,0.12829784120277138,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.02402904488653078,0.10000162058494788,0.0,-3.7307489712361253e-06,2.467396109179232e-06,0.0,-1.180422794040801e-05,0.004628236039050845,0.03834637379389709,-0.017372635047503047,-0.061654077314773584,-0.07252112057625675,1.4274111736598087,-1.6085263742367543e-06,-0.0933682826332604,0.3436426849219399,0.3436426849219399,-6.8022240131435454e-06,-1.528754218211022e-06,0.12769911410387916,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.02402971284962745,0.1000002200612157,0.0,1.788791264213404e-05,2.8148228674376744e-07,0.0,-2.3322771746714448e-05,0.004544674749438074,0.03780592544742127,-0.01745619633711582,-0.0621945256612494,-0.07329421941113148,1.433552337488693,-1.6366277958099205e-06,-0.09424165501567047,0.34504682319060975,0.34504682319060975,-6.679383411028524e-06,-1.498029548246658e-06,0.12799372599130612,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789530048.5624528,1789530048.5624528,formal_algorithm_state_v2:header10+3x29,"[1.0,4.0,0.0,-0.009999999999999998,0.107,0.10000045110867067,0.023000699396845747,-2.047197442309293e-05,1789530048.5623577,1.0,-0.015,0.112,1.0,0.0,0.0,0.02403002211988612,0.09999951267984844,0.0,2.9790793877373234e-05,-1.4337701514571811e-06,0.0,-2.628892358215633e-05,0.004988923913070734,0.040361995972655225,-0.018011775483775014,-0.05963845513601545,-0.06966669844837925,1.4050212474378603,-1.5057736544183434e-06,-0.09128082902890927,0.34371384544613337,0.34371384544613337,-7.421002739437041e-06,-1.7026408540002319e-06,0.12947751007821592,0.0,0.0,-0.1600000000000075,0.1600000000000075,-0.015,0.112,1.0,0.0,0.0,0.02402904488653078,0.10000162058494788,0.0,-3.7307489712361253e-06,2.467396109179232e-06,0.0,-1.180422794040801e-05,0.0052810900987391805,0.04155705927815257,-0.017719609298106564,-0.0584433918305181,-0.06799534560752456,1.3921192978224275,-1.4463871366942135e-06,-0.08925887676525243,0.340124748319751,0.340124748319751,-7.587848945447843e-06,-1.7858394708985496e-06,0.12883934391716526,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.02402971284962745,0.1000002200612157,0.0,1.788791264213404e-05,2.8148228674376744e-07,0.0,-2.3322771746714448e-05,0.005179327302186355,0.04082220892903423,-0.017821372094659393,-0.059178242179636444,-0.06902124174854835,1.4000204366497842,-1.4827684540127003e-06,-0.09040688826213962,0.34205228072487753,0.34205228072487753,-7.464237948271765e-06,-1.750720999000934e-06,0.12915684094535032,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
