topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789530368.5236723,1789530368.5236723,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.5229025,1.0,0.05891163832306514,0.05891163832306514,0.05891154976394709,0.05891163832306514,0.05891154976394709,0.16,0.16,0.0,0.057220245534701356,0.05722024722060022,0.057220245534701356,0.05722024722060022,0.16,0.16,0.0,0.05621773388304197,0.05621773554550329,0.05621773388304197,0.05621773554550329,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.5336752,1789530368.5336752,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.532833,1.0,0.06253582328739019,0.06253582328739019,0.0625357264784566,0.06253582328739019,0.0625357264784566,0.16,0.16,0.0,0.06064797594140444,0.060647977671457305,0.06064797594140444,0.060647977671457305,0.16,0.16,0.0,0.061897916060306084,0.06189791771701466,0.061897916060306084,0.06189791771701466,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.54373,1789530368.54373,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.5428102,1.0,0.06602249631838518,0.06602249631838518,0.06602239157582236,0.06602249631838518,0.06602239157582236,0.16,0.16,0.0,0.06413426529817158,0.06413426700550241,0.06413426529817158,0.06413426700550241,0.16,0.16,0.0,0.06304425958916836,0.06304426127343284,0.06304425958916836,0.06304426127343284,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.553826,1789530368.553826,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.552808,1.0,0.06979236079436817,0.06979236079436817,0.06979224599556334,0.06979236079436817,0.06979224599556334,0.16,0.16,0.0,0.06767696957383042,0.0676769713290012,0.06767696957383042,0.0676769713290012,0.16,0.16,0.0,0.06888001281162398,0.06888001449309694,0.06888001281162398,0.06888001449309694,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.5636756,1789530368.5636756,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.5627816,1.0,0.07325469768248634,0.07325469768248634,0.07325457343169993,0.07325469768248634,0.07325457343169993,0.16,0.16,0.0,0.07119332581286593,0.0711933275312963,0.07119332581286593,0.0711933275312963,0.16,0.16,0.0,0.0700140873408255,0.0700140890366782,0.0700140873408255,0.0700140890366782,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.5736904,1789530368.5736904,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.5727897,1.0,0.07706733921170347,0.07706733921170347,0.07706720295766722,0.07706733921170347,0.07706720295766722,0.16,0.16,0.0,0.07476873113623278,0.07476873290364291,0.07476873113623278,0.07476873290364291,0.16,0.16,0.0,0.07590943187780624,0.0759094335707772,0.07590943187780624,0.0759094335707772,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.5840113,1789530368.5840113,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.5828686,1.0,0.08056366014095849,0.08056366014095849,0.08056351245047146,0.08056366014095849,0.08056351245047146,0.16,0.16,0.0,0.07836146702693993,0.07836146874094992,0.07836146702693993,0.07836146874094992,0.16,0.16,0.0,0.07709980843895045,0.07709981013124301,0.07709980843895045,0.07709981013124301,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.5936005,1789530368.5936005,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.5927556,1.0,0.08430940930440241,0.08430940930440241,0.08430924762841578,0.08430940930440241,0.08430924762841578,0.16,0.16,0.0,0.08184118102938953,0.08184118278579464,0.08184118102938953,0.08184118278579464,0.16,0.16,0.0,0.08290942877295827,0.0829094304560009,0.08290942877295827,0.0829094304560009,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.6035917,1789530368.6035917,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.6027536,1.0,0.08754723037222509,0.08754723037222509,0.0875470555567002,0.08754723037222509,0.0875470555567002,0.16,0.16,0.0,0.08545227228640068,0.08545227397241312,0.08545227228640068,0.08545227397241312,0.16,0.16,0.0,0.08411505179571221,0.08411505346116846,0.08411505179571221,0.08411505346116846,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.6134884,1789530368.6134884,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.6127493,1.0,0.09140672622171038,0.09140672622171038,0.09140653448353196,0.09140672622171038,0.09140653448353196,0.16,0.16,0.0,0.0889794852558461,0.08897948698555656,0.0889794852558461,0.08897948698555656,0.16,0.16,0.0,0.08995925720311668,0.08995925886034281,0.08995925720311668,0.08995925886034281,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.6234934,1789530368.6234934,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.622756,1.0,0.09474248465775116,0.09474248465775116,0.09474227719631713,0.09474248465775116,0.09474227719631713,0.16,0.16,0.0,0.09252302954778076,0.09252303116415898,0.09252302954778076,0.09252303116415898,0.16,0.16,0.0,0.09115092232752178,0.0911509239252308,0.09115092232752178,0.0911509239252308,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530368.6334126,1789530368.6334126,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530368.6327448,1.0,0.0985019009098397,0.0985019009098397,0.09850167368648508,0.0985019009098397,0.09850167368648508,0.16,0.16,0.0,0.09598394785556312,0.09598394950838572,0.09598394785556312,0.09598394950838572,0.16,0.16,0.0,0.0968699983277181,0.09686999991058708,0.0968699983277181,0.09686999991058708,0.16,0.16,0.0]"
