topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789530368.5237043,1789530368.5237043,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.5229025,2.0,0.004336675280016237,0.0,0.0,0.004,0.0,0.057220245534701356,0.05722024722060022,0.057220245534701356,0.05722024722060022,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.5336986,1789530368.5336986,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.532833,2.0,0.0049562912129330425,0.0,0.0,0.004,0.0,0.06064797594140444,0.060647977671457305,0.06064797594140444,0.060647977671457305,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.5437448,1789530368.5437448,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.5428102,2.0,0.0053862751887516595,0.0,0.0,0.004,0.0,0.06413426529817158,0.06413426700550241,0.06413426529817158,0.06413426700550241,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.553844,1789530368.553844,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.552808,2.0,0.0060893241120853585,0.0,0.0,0.004,0.0,0.06767696957383042,0.0676769713290012,0.06767696957383042,0.0676769713290012,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.5636783,1789530368.5636783,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.5627816,2.0,0.006569743603422841,0.0,0.0,0.004,0.0,0.07119332581286593,0.0711933275312963,0.07119332581286593,0.0711933275312963,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.5737054,1789530368.5737054,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.5727897,2.0,0.007352399601084571,0.0,0.0,0.004,0.0,0.07476873113623278,0.07476873290364291,0.07476873113623278,0.07476873290364291,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.5840294,1789530368.5840294,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.5828686,2.0,0.007894303518683775,0.0,0.0,0.004,0.0,0.07836146702693993,0.07836146874094992,0.07836146702693993,0.07836146874094992,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.5936234,1789530368.5936234,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.5927556,2.0,0.008769139602822596,0.0,0.0,0.004,0.0,0.08184118102938953,0.08184118278579464,0.08184118102938953,0.08184118278579464,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.6036396,1789530368.6036396,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.6027536,2.0,0.009361086345898786,0.0,0.0,0.004,0.0,0.08545227228640068,0.08545227397241312,0.08545227228640068,0.08545227397241312,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.6135051,1789530368.6135051,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.6127493,2.0,0.010314745412254873,0.0,0.0,0.004,0.0,0.0889794852558461,0.08897948698555656,0.0889794852558461,0.08897948698555656,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530368.6235557,1789530368.6235557,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530368.622756,2.0,0.010969800595419596,0.0,0.0,0.004,0.0,0.09252302954778076,0.09252303116415898,0.09252302954778076,0.09252303116415898,0.0,0.0]"
