topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789530280.4792585,1789530280.4792585,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.4783618,1.0,0.04270245084950587,0.04043105641127489,0.04043099751000719,0.04043105641127489,0.04043099751000719,0.16,0.16,0.0,0.04270244920922059,0.04270245084950587,0.04270244920922059,0.04270245084950587,0.16,0.16,0.0,0.041945214934730246,0.04194521656190239,0.041945214934730246,0.04194521656190239,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.4893427,1789530280.4893427,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.4884932,1.0,0.04614343179342471,0.045994453695146,0.04599438965784816,0.045994453695146,0.04599438965784816,0.16,0.16,0.0,0.0461434302459135,0.04614343179342471,0.0461434302459135,0.04614343179342471,0.16,0.16,0.0,0.045345992706866546,0.04534599422010754,0.045345992706866546,0.04534599422010754,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.4996247,1789530280.4996247,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.4985228,1.0,0.04936810723408607,0.0470708374703494,0.04707076844633615,0.0470708374703494,0.04707076844633615,0.16,0.16,0.0,0.04936810554155168,0.04936810723408607,0.04936810554155168,0.04936810723408607,0.16,0.16,0.0,0.04871257326326326,0.048712574942721916,0.04871257326326326,0.048712574942721916,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5098417,1789530280.5098417,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.5084343,1.0,0.0528113223393582,0.05267112279276282,0.05267104765755671,0.05267112279276282,0.05267104765755671,0.16,0.16,0.0,0.052811320762870345,0.0528113223393582,0.052811320762870345,0.0528113223393582,0.16,0.16,0.0,0.052091911835455515,0.052091913377929,0.052091911835455515,0.052091913377929,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5194814,1789530280.5194814,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.51842,1.0,0.05619332788371084,0.05381377717869897,0.05381369609237544,0.05381377717869897,0.05381369609237544,0.16,0.16,0.0,0.05619332614027539,0.05619332788371084,0.05619332614027539,0.05619332788371084,0.16,0.16,0.0,0.05564607163082618,0.055646073361598374,0.05564607163082618,0.055646073361598374,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5293076,1789530280.5293076,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.5284138,1.0,0.05980311518089121,0.05932409412908432,0.0593240057481389,0.05932409412908432,0.0593240057481389,0.16,0.16,0.0,0.059803113571404304,0.05980311518089121,0.059803113571404304,0.05980311518089121,0.16,0.16,0.0,0.058950527518103535,0.05895052909152439,0.058950527518103535,0.05895052909152439,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5394382,1789530280.5394382,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.538428,1.0,0.06321724468789977,0.060463547195577005,0.06046345176512291,0.060463547195577005,0.06046345176512291,0.16,0.16,0.0,0.06321724288514619,0.06321724468789977,0.06321724288514619,0.06321724468789977,0.16,0.16,0.0,0.06261742512932318,0.06261742691779913,0.06261742512932318,0.06261742691779913,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.548996,1789530280.548996,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.5483766,1.0,0.0668899246415769,0.06649124742398997,0.06649114270284971,0.06649124742398997,0.06649114270284971,0.16,0.16,0.0,0.06688992301328138,0.0668899246415769,0.06688992301328138,0.0668899246415769,0.16,0.16,0.0,0.06616880620305543,0.06616880779605444,0.06616880620305543,0.06616880779605444,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5593925,1789530280.5593925,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.5584078,1.0,0.07035831326278665,0.06766603357980205,0.06766592041869868,0.06766603357980205,0.06766592041869868,0.16,0.16,0.0,0.07035831141175185,0.07035831326278665,0.07035831141175185,0.07035831326278665,0.16,0.16,0.0,0.06987695982338762,0.06987696166110705,0.06987695982338762,0.06987696166110705,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5692928,1789530280.5692928,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.5683656,1.0,0.07441906998959819,0.07367339705383573,0.07367327282747503,0.07367339705383573,0.07367327282747503,0.16,0.16,0.0,0.07441906835210702,0.07441906998959819,0.07441906835210702,0.07441906998959819,0.16,0.16,0.0,0.07345282445110403,0.07345282605208346,0.07345282445110403,0.07345282605208346,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5791435,1789530280.5791435,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.57836,1.0,0.07779746215466786,0.07484013623475715,0.07484000202879267,0.07484013623475715,0.07484000202879267,0.16,0.16,0.0,0.07779746026264435,0.07779746215466786,0.07779746026264435,0.07779746215466786,0.16,0.16,0.0,0.07718514398423504,0.07718514586189337,0.07718514398423504,0.07718514586189337,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.5891058,1789530280.5891058,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.5883613,1.0,0.08155723636045117,0.08090967648437745,0.08090952897885435,0.08090967648437745,0.08090952897885435,0.16,0.16,0.0,0.08155723473930598,0.08155723636045117,0.08155723473930598,0.08155723636045117,0.16,0.16,0.0,0.08077952891703376,0.08077953050701785,0.08077952891703376,0.08077953050701785,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.599054,1789530280.599054,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.5983584,1.0,0.08494896630678517,0.08207835852917841,0.08207819916129969,0.08207835852917841,0.08207819916129969,0.16,0.16,0.0,0.08494896439375771,0.08494896630678517,0.08494896439375771,0.08494896630678517,0.16,0.16,0.0,0.08450049626424397,0.08450049816833646,0.08450049626424397,0.08450049816833646,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789530280.6089768,1789530280.6089768,formal_execution_limiter_v1:header4+3x7,"[1.0,1789530280.6083584,1.0,0.08907947004537603,0.0880916142842281,0.08809143922150309,0.0880916142842281,0.08809143922150309,0.16,0.16,0.0,0.08907946846327966,0.08907947004537603,0.08907946846327966,0.08907947004537603,0.16,0.16,0.0,0.08805797179153725,0.08805797334186234,0.08805797179153725,0.08805797334186234,0.16,0.16,0.0]"
