topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/v5_exploration_quality_state,1789530938.079728,1789530938.079728,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.0671377,1789530938.079561,0.00013447411161714008,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.0899053,1789530938.0899053,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.0751636,1789530938.089722,0.0002080996546618346,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.09983,1789530938.09983,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.0871432,1789530938.0997183,0.00016693029931214945,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.110356,1789530938.110356,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.0951664,1789530938.1101825,0.00025036578695302413,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.1197777,1789530938.1197777,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1071403,1789530938.119678,0.00020308955366063307,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.1298194,1789530938.1298194,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1151671,1789530938.1297321,0.0002961389793538949,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.1398656,1789530938.1398656,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1271367,1789530938.1397345,0.00024215817180992056,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.149732,1789530938.149732,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.135168,1789530938.1496332,0.00034489817523846453,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.159958,1789530938.159958,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1471548,1789530938.1598492,0.0002832258148106768,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.1699157,1789530938.1699157,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.155131,1789530938.1698039,0.00039704842015288665,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.1798787,1789530938.1798787,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1671216,1789530938.179776,0.0003277275882127156,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.189869,1789530938.189869,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1751297,1789530938.1897686,0.0004503091143814983,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.1998587,1789530938.1998587,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1871223,1789530938.1997645,0.00037316179481095886,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2097783,1789530938.2097783,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.1951275,1789530938.2096977,0.0005047275671500465,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.220117,1789530938.220117,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2071223,1789530938.2199595,0.0004198660222161493,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2302403,1789530938.2302403,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2152224,1789530938.2301924,0.0005568814255336732,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2399411,1789530938.2399411,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2271457,1789530938.2398717,0.0004670612074667882,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2502406,1789530938.2502406,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2351658,1789530938.2500916,0.0006134875152537721,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2601855,1789530938.2601855,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2471547,1789530938.2600598,0.0005122227259537637,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2701652,1789530938.2701652,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2551494,1789530938.270093,0.0006680359824732119,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.28021,1789530938.28021,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2671573,1789530938.2800984,0.0005571653705529605,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2898622,1789530938.2898622,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2751698,1789530938.2897344,0.000719483145699853,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.2998462,1789530938.2998462,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2871447,1789530938.2997801,0.0005983772422163039,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3098216,1789530938.3098216,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.2951622,1789530938.309717,0.000766816526144294,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.319799,1789530938.319799,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.3071249,1789530938.319718,0.0006397361746048513,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3297687,1789530938.3297687,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.315233,1789530938.3296988,0.0008063484682583095,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3396676,1789530938.3396676,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.3272443,1789530938.339538,0.0006716879695873112,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3498263,1789530938.3498263,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.3352373,1789530938.349663,0.0008492005263725207,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3597164,1789530938.3597164,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.3471234,1789530938.3595822,0.0007118120390277632,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3697834,1789530938.3697834,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.3552392,1789530938.3696144,0.0008861964443462599,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3800642,1789530938.3800642,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.3672342,1789530938.3799198,0.0007367974322972103,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789530938.3900843,1789530938.3900843,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789530938.3752377,1789530938.3899207,0.0009198083214774434,0.01,0.0]"
