topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/risk_disturbance_state,1789530851.036005,1789530851.036005,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.0351777,2.0,2.0,2.8,0.3,0.3,0.290150254,0.15499999999999894,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.1600000000000075,0.1550000000000075,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.0460935,1789530851.0460935,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.045122,2.0,2.0,2.8,0.3,0.3,0.300094291,0.15499999999999894,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16000000000000322,0.15500000000000322,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16000000000000322,0.15500000000000322,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.05569,1789530851.05569,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.0550869,2.0,2.0,2.8,0.3,0.3,0.310058873,0.15499999999999894,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.0658233,1789530851.0658233,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.0650256,2.0,2.0,2.8,0.3,0.3,0.319998408,0.15499999999999894,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.1600000000000075,0.1550000000000075,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.15999999999999895,0.15499999999999894,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.0756917,1789530851.0756917,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.075022,2.0,2.0,2.8,0.3,0.3,0.32999497,0.155,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.0857544,1789530851.0857544,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.085022,2.0,2.0,2.8,0.3,0.3,0.339994636,0.155,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.0957594,1789530851.0957594,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.0950222,2.0,2.0,2.8,0.3,0.3,0.34999499,0.155,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.1057324,1789530851.1057324,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.1050227,2.0,2.0,2.8,0.3,0.3,0.359995664,0.155,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.1156554,1789530851.1156554,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.115021,2.0,2.0,2.8,0.3,0.3,0.369993947,0.155,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.1258388,1789530851.1258388,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.125134,2.0,2.0,2.8,0.3,0.3,0.38010657,0.155,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107]"
/multi_agv/risk_disturbance_state,1789530851.1357853,1789530851.1357853,risk_disturbance_state_v1:header11+3x10,"[0.0,1789530851.1350563,2.0,2.0,2.8,0.3,0.3,0.39002874299999996,0.155,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.16,0.155,0.107,0.107,0.107]"
