topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789530851.0360093,1789530851.0360093,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.0351777,2.0,0.009725365658429087,0.0,0.0,0.004,0.0,0.0869958153662371,0.08699581723673408,0.0869958153662371,0.08699581723673408,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.046199,1789530851.046199,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.045122,2.0,0.011413165142298325,0.0,0.0,0.004,0.0,0.09314373979306545,0.093143741240165,0.09314373979306545,0.093143741240165,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.0556922,1789530851.0556922,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.0550869,2.0,0.011413165142298325,0.0,0.0,0.004,0.0,0.09419441533475963,0.09419441718964171,0.09419441533475963,0.09419441718964171,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.0658271,1789530851.0658271,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.0650256,2.0,0.01324515267187313,0.0,0.0,0.004,0.0,0.10023038395456543,0.10023038530325837,0.10023038395456543,0.10023038530325837,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.0757046,1789530851.0757046,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.075022,2.0,0.01324515267187313,0.0,0.0,0.004,0.0,0.10129583479189366,0.10129583659800401,0.10129583479189366,0.10129583659800401,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.0857565,1789530851.0857565,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.085022,2.0,0.015221623191780186,0.0,0.0,0.004,0.0,0.10710876409591973,0.10710876529984191,0.10710876409591973,0.10710876529984191,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.0957618,1789530851.0957618,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.0950222,2.0,0.015221623191780186,0.0,0.0,0.004,0.0,0.10816615013946061,0.1081661518552947,0.10816615013946061,0.1081661518552947,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.1057348,1789530851.1057348,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.1050227,2.0,0.01733750593452828,0.0,0.0,0.004,0.0,0.11371038929256204,0.11371039028946785,0.11371038929256204,0.11371039028946785,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.1156666,1789530851.1156666,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.115021,2.0,0.01733750593452828,0.0,0.0,0.004,0.0,0.11477078109157036,0.11477078266103218,0.11477078109157036,0.11477078266103218,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530851.1258423,1789530851.1258423,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530851.125134,2.0,0.01958962413624247,0.0,0.0,0.004,0.0,0.12002033014534731,0.12002033086410739,0.12002033014534731,0.12002033086410739,0.0,0.0]"
