topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789531027.623089,1789531027.623089,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.6222558,1.0,0.048737329595956634,0.04725753915817692,0.047257466974047854,0.04725753915817692,0.047257466974047854,0.16,0.16,0.0,0.04873732781013022,0.048737329595956634,0.04873732781013022,0.048737329595956634,0.16,0.16,0.0,0.04630608104815033,0.04630608285436326,0.04630608104815033,0.04630608285436326,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.6335032,1789531027.6335032,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.6322129,1.0,0.052254419462782975,0.05040209611179201,0.05040201861202042,0.05040209611179201,0.05040201861202042,0.16,0.16,0.0,0.052254417666527095,0.052254419462782975,0.052254417666527095,0.052254419462782975,0.16,0.16,0.0,0.05205109467368664,0.05205109641138929,0.05205109467368664,0.05205109641138929,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.6430943,1789531027.6430943,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.6422017,1.0,0.055438613251573364,0.05374888097045391,0.053748796477405894,0.05374888097045391,0.053748796477405894,0.16,0.16,0.0,0.05543861141280753,0.055438613251573364,0.05543861141280753,0.055438613251573364,0.16,0.16,0.0,0.053160282588227484,0.053160284445443004,0.053160282588227484,0.053160284445443004,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.6530876,1789531027.6530876,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.652203,1.0,0.059090341530336765,0.056997811084772726,0.056997720086848544,0.056997811084772726,0.056997720086848544,0.16,0.16,0.0,0.059090339682817475,0.059090341530336765,0.059090339682817475,0.059090341530336765,0.16,0.16,0.0,0.05844639290455265,0.058446394688513294,0.05844639290455265,0.058446394688513294,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.6630635,1789531027.6630635,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.6622012,1.0,0.062319446320466015,0.06044078797652326,0.0604406885492096,0.06044078797652326,0.0604406885492096,0.16,0.16,0.0,0.06231944442479298,0.062319446320466015,0.06231944442479298,0.062319446320466015,0.16,0.16,0.0,0.059560468883038724,0.05956047079440218,0.059560468883038724,0.05956047079440218,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.6731055,1789531027.6731055,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.672203,1.0,0.06606380304997245,0.06375402898793937,0.06375392172141604,0.06375402898793937,0.06375392172141604,0.16,0.16,0.0,0.06606380115297772,0.06606380304997245,0.06606380115297772,0.06606380304997245,0.16,0.16,0.0,0.06520056608714977,0.0652005679156637,0.06520056608714977,0.0652005679156637,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.6830971,1789531027.6830971,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.6822016,1.0,0.06932692810974439,0.06727608499689496,0.06727596762412781,0.06727608499689496,0.06727596762412781,0.16,0.16,0.0,0.06932692616055985,0.06932692810974439,0.06932692616055985,0.06932692810974439,0.16,0.16,0.0,0.06632731992578648,0.06632732188805208,0.06632731992578648,0.06632732188805208,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.6934009,1789531027.6934009,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.692294,1.0,0.07316681718406809,0.07066605617301491,0.07066592926550333,0.07066605617301491,0.07066592926550333,0.16,0.16,0.0,0.0731668152407427,0.07316681718406809,0.0731668152407427,0.07316681718406809,0.16,0.16,0.0,0.07201331742439493,0.07201331929422974,0.07201331742439493,0.07201331929422974,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.7033663,1789531027.7033663,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.7022336,1.0,0.0763921469950488,0.07420080588860715,0.07420066703042051,0.07420080588860715,0.07420066703042051,0.16,0.16,0.0,0.07639214499935941,0.0763921469950488,0.07639214499935941,0.0763921469950488,0.16,0.16,0.0,0.07311269920927677,0.07311270121558144,0.07311269920927677,0.07311270121558144,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789531027.7132304,1789531027.7132304,formal_execution_limiter_v1:header4+3x7,"[1.0,1789531027.7122388,1.0,0.08026494432411924,0.07759487361400075,0.0775947234728735,0.07759487361400075,0.0775947234728735,0.16,0.16,0.0,0.08026494235187559,0.08026494432411924,0.08026494235187559,0.08026494432411924,0.16,0.16,0.0,0.07885723218299016,0.07885723407701097,0.07885723218299016,0.07885723407701097,0.16,0.16,0.0]"
