stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_risk_inner_upper,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_risk_inner_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_risk_inner_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi
1789531027.5864372,nan,nan,nan,nan,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789531027.596445,0.09995417465995271,0.09995417465995271,-0.15,0.52,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789531027.6064305,0.0999520144644352,0.0999520144644352,-0.15,0.52,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789531027.6164353,0.09994993116436751,0.09994993116436751,-0.15,0.52,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789531027.626408,0.0999478638566761,0.0999478638566761,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.16000000000000322,0.16000000000000322,nan,-0.16000000000000322,0.16000000000000322,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.6364057,0.09994585828723461,0.09994585828723461,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.6464033,0.0999438797550835,0.0999438797550835,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.16000000000000322,0.16000000000000322,nan,-0.16000000000000322,0.16000000000000322,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.6564035,0.09994193709753581,0.09994193709753581,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.666403,0.09994003747213949,0.09994003747213949,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.6764033,0.09993817670027531,0.09993817670027531,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.686437,0.09993635721108751,0.09993635721108751,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.16000000000000322,0.16000000000000322,nan,-0.16000000000000322,0.16000000000000322,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.696411,0.09993452906710505,0.09993452906710505,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789531027.7064881,0.09993281687601459,0.09993281687601459,-0.15,0.52,True,True,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,nan,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
