topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789530796.598268,1789530796.598268,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.597206,2.0,0.0029832172350167754,0.0,0.0,0.004,0.0,0.047424251131221146,0.04742425288228082,0.047424251131221146,0.04742425288228082,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.608086,1789530796.608086,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6071906,2.0,0.003836315288187295,0.0,0.0,0.004,0.0,0.05312025547812998,0.05312025704899568,0.05312025547812998,0.05312025704899568,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.6185238,1789530796.6185238,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6171515,2.0,0.003836315288187295,0.0,0.0,0.004,0.0,0.054146418886243365,0.05414642068958623,0.054146418886243365,0.05414642068958623,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.6281662,1789530796.6281662,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6272562,2.0,0.00482052923490979,0.0,0.0,0.004,0.0,0.0600567139168033,0.06005671551682472,0.0600567139168033,0.06005671551682472,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.6380482,1789530796.6380482,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6371558,2.0,0.00482052923490979,0.0,0.0,0.004,0.0,0.06101573027468291,0.06101573213317656,0.06101573027468291,0.06101573213317656,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.648079,1789530796.648079,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6471615,2.0,0.005937657223901393,0.0,0.0,0.004,0.0,0.06704887314124879,0.06704887475886388,0.06704887314124879,0.06704887475886388,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.6580045,1789530796.6580045,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6571548,2.0,0.005937657223901393,0.0,0.0,0.004,0.0,0.06808427286143628,0.06808427477082526,0.06808427286143628,0.06808427477082526,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.6679454,1789530796.6679454,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6671534,2.0,0.007201168348143423,0.0,0.0,0.004,0.0,0.07419280614755829,0.07419280776976063,0.07419280614755829,0.07419280776976063,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.6779478,1789530796.6779478,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6771522,2.0,0.007201168348143423,0.0,0.0,0.004,0.0,0.07523405844584893,0.07523406039457278,0.07523405844584893,0.07523406039457278,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.6879365,1789530796.6879365,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6871517,2.0,0.008601487787335403,0.0,0.0,0.004,0.0,0.08136694354231297,0.08136694514893883,0.08136694354231297,0.08136694514893883,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.697889,1789530796.697889,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.6971493,2.0,0.008601487787335403,0.0,0.0,0.004,0.0,0.08240954215587595,0.08240954412770107,0.08240954215587595,0.08240954412770107,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7084692,1789530796.7084692,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.707283,2.0,0.010145221290569738,0.0,0.0,0.004,0.0,0.0885587184194684,0.08855871998812391,0.0885587184194684,0.08855871998812391,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7180178,1789530796.7180178,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.7171884,2.0,0.010145221290569738,0.0,0.0,0.004,0.0,0.08952859935392836,0.08952860132801356,0.08952859935392836,0.08952860132801356,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7281282,1789530796.7281282,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.7271564,2.0,0.011834131062235426,0.0,0.0,0.004,0.0,0.09556205837031209,0.09556205985254701,0.09556205837031209,0.09556205985254701,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7383058,1789530796.7383058,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.737184,2.0,0.011834131062235426,0.0,0.0,0.004,0.0,0.09663054046134735,0.09663054240250608,0.09663054046134735,0.09663054240250608,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.748199,1789530796.748199,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.7472136,2.0,0.01366666481753411,0.0,0.0,0.004,0.0,0.10247319745619132,0.10247319881297029,0.10247319745619132,0.10247319881297029,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7582016,1789530796.7582016,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.7571843,2.0,0.01366666481753411,0.0,0.0,0.004,0.0,0.10351036242899012,0.10351036429643817,0.10351036242899012,0.10351036429643817,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.768055,1789530796.768055,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.7671576,2.0,0.015632066753567493,0.0,0.0,0.004,0.0,0.1091375910664721,0.10913759223872978,0.1091375910664721,0.10913759223872978,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7783923,1789530796.7783923,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.7772794,2.0,0.015632066753567493,0.0,0.0,0.004,0.0,0.11023892426801388,0.11023892602019014,0.11023892426801388,0.11023892602019014,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7880142,1789530796.7880142,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.7871845,2.0,0.01773590432726336,0.0,0.0,0.004,0.0,0.11557572658283433,0.11557572750143796,0.11557572658283433,0.11557572750143796,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.7980726,1789530796.7980726,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.797212,2.0,0.01773590432726336,0.0,0.0,0.004,0.0,0.11666064411402027,0.11666064567529044,0.11666064411402027,0.11666064567529044,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.808161,1789530796.808161,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8072042,2.0,0.019973923232399653,0.0,0.0,0.004,0.0,0.12178316076127067,0.12178316133287113,0.12178316076127067,0.12178316133287113,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.8187525,1789530796.8187525,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8171496,2.0,0.019973923232399653,0.0,0.0,0.004,0.0,0.12283494865489877,0.12283494993946517,0.12283494865489877,0.12283494993946517,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.8285801,1789530796.8285801,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8272493,2.0,0.022342938965948318,0.0,0.0,0.004,0.0,0.1277286087054107,0.12772860882035308,0.1277286087054107,0.12772860882035308,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.8381534,1789530796.8381534,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8372254,2.0,0.022342938965948318,0.0,0.0,0.004,0.0,0.12878153404381013,0.12878153495903708,0.12878153404381013,0.12878153495903708,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.8482661,1789530796.8482661,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8472233,2.0,0.024836134566688307,0.0,0.0,0.004,0.0,0.13324881132984706,0.13324881085494966,0.13324881132984706,0.13324881085494966,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.8580883,1789530796.8580883,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8572237,2.0,0.024836134566688307,0.0,0.0,0.004,0.0,0.13431817253377062,0.13431817295737816,0.13431817253377062,0.13431817295737816,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.868099,1789530796.868099,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.867228,2.0,0.027439986584306533,0.0,0.0,0.004,0.0,0.13850700799521934,0.138507006789552,0.13850700799521934,0.138507006789552,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.878141,1789530796.878141,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.877215,2.0,0.027439986584306533,0.0,0.0,0.004,0.0,0.13957538871728198,0.13957538851555795,0.13957538871728198,0.13957538851555795,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.8881602,1789530796.8881602,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8872223,2.0,0.030158189348465828,0.0,0.0,0.004,0.0,0.1433679294836644,0.1433679273654413,0.1433679294836644,0.1433679273654413,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.8983736,1789530796.8983736,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.8972185,2.0,0.030158189348465828,0.0,0.0,0.004,0.0,0.14443820614232405,0.14443820514833539,0.14443820614232405,0.14443820514833539,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.908199,1789530796.908199,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.9071937,2.0,0.03298310740485273,0.0,0.0,0.004,0.0,0.147791947750225,0.14779194449688124,0.147791947750225,0.14779194449688124,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.91838,1789530796.91838,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.9172108,2.0,0.03298310740485273,0.0,0.0,0.004,0.0,0.14886106062338003,0.14886105863018814,0.14886106062338003,0.14886105863018814,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.9282541,1789530796.9282541,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.9271789,2.0,0.03590908250427717,0.0,0.0,0.004,0.0,0.1517338571742891,0.15173385256875593,0.1517338571742891,0.15173385256875593,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.9381726,1789530796.9381726,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.937175,2.0,0.03590908250427717,0.0,0.0,0.004,0.0,0.1527998799965316,0.1527998767977557,0.1527998799965316,0.1527998767977557,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789530796.9481351,1789530796.9481351,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789530796.9472265,2.0,0.03888706283434491,0.0,0.0,0.004,0.0,0.1552456088918474,0.15524560269427096,0.1552456088918474,0.15524560269427096,0.0,0.0]"
