topic,bag_stamp,header_stamp,robot_id,command_seq,control_mode,linear_velocity_reference,angular_velocity_reference,wheel_left_raw,wheel_right_raw,experiment_id,method_id
/agv1/chassis_command,1789537788.0566556,1789537788.0556705,1,139,1,0.021811620578677766,-2.752241793765127e-07,0.021811639222960776,0.021811601934394756,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv2/chassis_command,1789537788.05666,1789537788.0556705,2,139,1,0.022409802010568452,1.0931473627478218e-08,0.02240980124927613,0.022409802771860773,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv1/chassis_command,1789537788.0668492,1789537788.0657551,1,140,1,0.02452791179788662,-2.902777817448095e-07,0.024527931461933314,0.024527892133839928,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv2/chassis_command,1789537788.0668566,1789537788.0657551,2,140,1,0.02535085973769813,1.0911359353949325e-08,0.025350858977806614,0.02535086049758965,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv3/chassis_command,1789537788.06686,1789537788.0657551,3,140,1,0.02501809235190461,1.0760133563666207e-08,0.025018091615896177,0.02501809308791304,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv1/chassis_command,1789537788.076855,1789537788.0756788,1,141,1,0.027242550702988887,-3.1047720039159203e-07,0.02724257173538802,0.027242529670589752,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv2/chassis_command,1789537788.0768566,1789537788.0756788,2,141,1,0.02798018862009648,1.0976102062893266e-08,0.027980187855696136,0.027980189384496826,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv3/chassis_command,1789537788.0768607,1789537788.0756788,3,141,1,0.027962368070678627,1.0986471216855346e-08,0.02796236731918838,0.027962368822168876,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv1/chassis_command,1789537788.0867321,1789537788.0856986,1,142,1,0.030143553903711075,-3.294428962231206e-07,0.03014357622088759,0.030143531586534558,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv2/chassis_command,1789537788.0867815,1789537788.0856986,2,142,1,0.03114810479376062,1.0972780587824986e-08,0.03114810402959159,0.03114810555792965,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv3/chassis_command,1789537788.0867856,1789537788.0856986,3,142,1,0.03080224286032581,1.0822291268979904e-08,0.030802242120065704,0.030802243600585918,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv1/chassis_command,1789537788.0968707,1789537788.0956736,1,143,1,0.03311397229158537,-3.548494213141956e-07,0.03311399632985502,0.03311394825331573,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv2/chassis_command,1789537788.0968761,1789537788.0956736,2,143,1,0.03399825655719624,1.1093267803344442e-08,0.03399825578463621,0.03399825732975627,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv3/chassis_command,1789537788.0969787,1789537788.0956736,3,143,1,0.03401540023404706,1.1105634149332557e-08,0.0340153994744059,0.03401540099368822,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv1/chassis_command,1789537788.1069486,1789537788.1057703,1,144,1,0.03621172788173644,-3.791462860460747e-07,0.036211753565928415,0.036211702197544465,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv2/chassis_command,1789537788.1069515,1789537788.1057703,2,144,1,0.037392499635028734,1.1124174081029374e-08,0.03739249886031632,0.037392500409741146,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv3/chassis_command,1789537788.1069527,1789537788.1057703,3,144,1,0.037033623960331025,1.0973696156960519e-08,0.03703362320971461,0.03703362471094744,candidate_B_spatial_composite_fake_validation,M1b_R1
/agv1/chassis_command,1789537788.1165655,1789537788.1156685,1,145,1,0.039302146160311496,-4.100248266732672e-07,0.039302173936282804,0.03930211838434019,candidate_B_spatial_composite_fake_validation,M1b_R1
