topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/candidate_B_spatial_composite_state,1789540607.432228,1789540607.432228,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.4314451,1789540607.4320917,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.174457096502813,3.6623176102393526e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.029658304420929545,0.029658259570802856,0.0296582819958662,-3.3103550580058037e-07,0.0296582819958662,0.0296582819958662,-3.3103550580058037e-07,0.029658304420929545,0.029658259570802856,0.0,0.0,0.0,0.0,0.16,0.0,0.02673539336084321,0.026735351615313294,0.02673539336084321,0.026735351615313294,0.135484339,2.0,0.0,0.17252509054045387,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.030091457728117717,0.03009145928471949,0.030091458506418603,1.1175701332550964e-08,0.030091458506418603,0.030091458506418603,1.1175701332550964e-08,0.030091457728117717,0.03009145928471949,0.0,0.0,0.0,0.0,0.16,0.0,0.027239286121636813,0.027239287665661645,0.027239286121636817,0.027239287665661645,0.139284482,3.0,0.0,0.17258733114968208,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0294119968477283,0.02941199839539707,0.029411997621562685,1.1313133097081648e-08,0.029411997621562685,0.029411997621562685,1.1313133097081648e-08,0.0294119968477283,0.02941199839539707,0.0,0.0,0.0,0.0,0.16,0.0,0.02674337356563083,0.026743375078306434,0.02674337356563083,0.026743375078306434,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.441965,1789540607.441965,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.4413078,1789540607.441886,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17475454235682608,4.224452774725691e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03243406721684827,0.03243401965178047,0.03243404343431437,-3.510742876423912e-07,0.03243404343431437,0.03243404343431437,-3.510742876423912e-07,0.03243406721684827,0.03243401965178047,0.0,0.0,0.0,0.0,0.16,0.0,0.029658304420929545,0.029658259570802856,0.029658304420929545,0.029658259570802856,0.135484339,2.0,0.0,0.17242292347224683,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03303482217429587,0.03303482373197548,0.03303482295313567,1.1183439733780583e-08,0.03303482295313567,0.03303482295313567,1.1183439733780583e-08,0.03303482217429587,0.03303482373197548,0.0,0.0,0.0,0.0,0.16,0.0,0.030091457728117717,0.03009145928471949,0.030091457728117717,0.03009145928471949,0.139284482,3.0,0.0,0.1724405555410098,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03224020877582045,0.032240210301759616,0.03224020953879003,1.115429426193344e-08,0.03224020953879003,0.03224020953879003,1.115429426193344e-08,0.03224020877582045,0.032240210301759616,0.0,0.0,0.0,0.0,0.16,0.0,0.0294119968477283,0.02941199839539707,0.0294119968477283,0.02941199839539707,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.4521828,1789540607.4521828,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.4513385,1789540607.4519756,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17498089657930466,4.6226016509322726e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03561182167117134,0.03561177021282953,0.03561179594200044,-3.798102584377846e-07,0.03561179594200044,0.03561179594200044,-3.798102584377846e-07,0.03561182167117134,0.03561177021282953,0.0,0.0,0.0,0.0,0.16,0.0,0.03243406721684827,0.03243401965178047,0.03243406721684827,0.03243401965178047,0.135484339,2.0,0.0,0.1722508020089283,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03612175027669766,0.036121751855471854,0.036121751066084756,1.1334889372029395e-08,0.036121751066084756,0.036121751066084756,1.1334889372029395e-08,0.03612175027669766,0.036121751855471854,0.0,0.0,0.0,0.0,0.16,0.0,0.03303482217429587,0.03303482373197548,0.03303482217429587,0.03303482373197548,0.139284482,3.0,0.0,0.17232963609022056,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03544203511955596,0.03544203668857532,0.03544203590406564,1.1469201403090932e-08,0.03544203590406564,0.03544203590406564,1.1469201403090932e-08,0.03544203511955596,0.03544203668857532,0.0,0.0,0.0,0.0,0.16,0.0,0.03224020877582045,0.032240210301759616,0.03224020877582045,0.032240210301759616,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.4620714,1789540607.4620714,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.4612749,1789540607.4618537,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1753589749942015,5.247550999097113e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.038720564332475164,0.038720509348888994,0.03872053684068208,-4.0582982930725595e-07,0.03872053684068208,0.03872053684068208,-4.0582982930725595e-07,0.038720564332475164,0.038720509348888994,0.0,0.0,0.0,0.0,0.16,0.0,0.03561182167117134,0.03561177021282953,0.03561182167117134,0.03561177021282953,0.135484339,2.0,0.0,0.17212664311497444,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.039253634628870056,0.039253636208772515,0.039253635418821285,1.1342989801686558e-08,0.039253635418821285,0.039253635418821285,1.1342989801686558e-08,0.039253634628870056,0.039253636208772515,0.0,0.0,0.0,0.0,0.16,0.0,0.03612175027669766,0.036121751855471854,0.03612175027669766,0.036121751855471854,0.139284482,3.0,0.0,0.17215021992455593,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03837272243755762,0.03837272398394174,0.03837272321074968,1.1303742554375008e-08,0.03837272321074968,0.03837272321074968,1.1303742554375008e-08,0.03837272243755762,0.03837272398394174,0.0,0.0,0.0,0.0,0.16,0.0,0.03544203511955596,0.03544203668857532,0.03544203511955596,0.03544203668857532,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.4722323,1789540607.4722323,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.471336,1789540607.4720318,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1756312321236658,5.678861973991316e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04204040961016534,0.04204034985674875,0.04204037973345705,-4.410355988798299e-07,0.04204037973345705,0.04204037973345705,-4.410355988798299e-07,0.04204040961016534,0.04204034985674875,0.0,0.0,0.0,0.0,0.16,0.0,0.038720564332475164,0.038720509348888994,0.038720564332475164,0.038720509348888994,0.135484339,2.0,0.0,0.17192065199810816,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04247971983091799,0.042479721439762134,0.042479720635340064,1.1550778077655356e-08,0.042479720635340064,0.042479720635340064,1.1550778077655356e-08,0.04247971983091799,0.042479721439762134,0.0,0.0,0.0,0.0,0.16,0.0,0.039253634628870056,0.039253636208772515,0.039253634628870056,0.039253636208772515,0.139284482,3.0,0.0,0.17201763252762278,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.041734255799378554,0.04173425739699758,0.041734256598188066,1.1678258931986466e-08,0.041734256598188066,0.041734256598188066,1.1678258931986466e-08,0.041734255799378554,0.04173425739699758,0.0,0.0,0.0,0.0,0.16,0.0,0.03837272243755762,0.03837272398394174,0.03837272243755762,0.03837272398394174,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.482062,1789540607.482062,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.481306,1789540607.4819505,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17608615852555265,6.365534548822428e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.045286234092029545,0.045286169975461366,0.045286202033745455,-4.73239701746845e-07,0.045286202033745455,0.045286202033745455,-4.73239701746845e-07,0.045286234092029545,0.045286169975461366,0.0,0.0,0.0,0.0,0.16,0.0,0.04204040961016534,0.04204034985674875,0.04204040961016534,0.04204034985674875,0.135484339,2.0,0.0,0.1717735824979676,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04578596733695368,0.04578596894603058,0.04578596814149213,1.1552449177362736e-08,0.04578596814149213,0.04578596814149213,1.1552449177362736e-08,0.04578596733695368,0.04578596894603058,0.0,0.0,0.0,0.0,0.16,0.0,0.04247971983091799,0.042479721439762134,0.04247971983091799,0.042479721439762134,0.139284482,3.0,0.0,0.1718042057988196,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0448189835254407,0.04481898509926392,0.04481898431235231,1.150431665021057e-08,0.04481898431235231,0.04481898431235231,1.150431665021057e-08,0.0448189835254407,0.04481898509926392,0.0,0.0,0.0,0.0,0.16,0.0,0.041734255799378554,0.04173425739699758,0.041734255799378554,0.04173425739699758,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.4920833,1789540607.4920833,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.4913735,1789540607.4919412,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17640847426573295,6.835893786393086e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04875503714951774,0.0487549672143311,0.04875500218192442,-5.161864991774329e-07,0.04875500218192442,0.04875500218192442,-5.161864991774329e-07,0.04875503714951774,0.0487549672143311,0.0,0.0,0.0,0.0,0.16,0.0,0.045286234092029545,0.045286169975461366,0.04528623409202954,0.045286169975461366,0.135484339,2.0,0.0,0.17153208990560226,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049126831887323655,0.04912683353154941,0.04912683270943653,1.1804802171344791e-08,0.04912683270943653,0.04912683270943653,1.1804802171344791e-08,0.049126831887323655,0.04912683353154941,0.0,0.0,0.0,0.0,0.16,0.0,0.04578596733695368,0.04578596894603058,0.04578596733695368,0.04578596894603057,0.139284482,3.0,0.0,0.1716481722608012,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04833363976328755,0.048333641394904404,0.04833364057909598,1.1926775933399657e-08,0.04833364057909598,0.04833364057909598,1.1926775933399657e-08,0.04833363976328755,0.048333641394904404,0.0,0.0,0.0,0.0,0.16,0.0,0.0448189835254407,0.04481898509926392,0.0448189835254407,0.04481898509926392,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.5021243,1789540607.5021243,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.501309,1789540607.5019815,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1769391019250232,7.584328058548905e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05209948171765361,0.05209940644760582,0.05209944408262972,-5.555627192589559e-07,0.05209944408262972,0.05209944408262972,-5.555627192589559e-07,0.05209948171765361,0.05209940644760582,0.0,0.0,0.0,0.0,0.16,0.0,0.04875503714951774,0.0487549672143311,0.048755037149517746,0.0487549672143311,0.135484339,2.0,0.0,0.171361003198756,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.052555341392986385,0.05255534303423097,0.05255534221360868,1.1783398703974151e-08,0.05255534221360868,0.05255534221360868,1.1783398703974151e-08,0.052555341392986385,0.05255534303423097,0.0,0.0,0.0,0.0,0.16,0.0,0.049126831887323655,0.04912683353154941,0.049126831887323655,0.04912683353154941,0.139284482,3.0,0.0,0.1713999570768979,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.051513504980485014,0.051513506584889096,0.051513505782687055,1.1727856283015623e-08,0.051513505782687055,0.051513505782687055,1.1727856283015623e-08,0.051513504980485014,0.051513506584889096,0.0,0.0,0.0,0.0,0.16,0.0,0.04833363976328755,0.048333641394904404,0.04833363976328755,0.048333641394904404,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.512148,1789540607.512148,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.5113423,1789540607.5119867,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17731565679912903,8.101481407846257e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.055690391997453806,0.055690309698622834,0.05569035084803832,-6.07441653993139e-07,0.05569035084803832,0.05569035084803832,-6.07441653993139e-07,0.055690391997453806,0.055690309698622834,0.0,0.0,0.0,0.0,0.16,0.0,0.05209948171765361,0.05209940644760582,0.05209948171765361,0.05209940644760582,0.135484339,2.0,0.0,0.1710832850602134,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.055987986509678705,0.055987988189612925,0.055987987349645815,1.2061172898727773e-08,0.055987987349645815,0.055987987349645815,1.2061172898727773e-08,0.055987986509678705,0.055987988189612925,0.0,0.0,0.0,0.0,0.16,0.0,0.052555341392986385,0.05255534303423097,0.052555341392986385,0.05255534303423097,0.139284482,3.0,0.0,0.17121936153348932,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.055151306127887725,0.0551513077939251,0.055151306960906414,1.2178382707304274e-08,0.055151306960906414,0.055151306960906414,1.2178382707304274e-08,0.055151306127887725,0.0551513077939251,0.0,0.0,0.0,0.0,0.16,0.0,0.051513504980485014,0.051513506584889096,0.051513504980485014,0.051513506584889096,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540607.5217342,1789540607.5217342,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540607.5212755,1789540607.5216908,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17790942989433425,8.896301698347058e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05892747068247167,0.058927382044504206,0.05892742636348794,-6.542303569553687e-07,0.05892742636348794,0.05892742636348794,-6.542303569553687e-07,0.05892747068247167,0.058927382044504206,0.0,0.0,0.0,0.0,0.16,0.0,0.055690391997453806,0.055690309698622834,0.055690391997453806,0.055690309698622834,0.135484339,2.0,0.0,0.1708881092737306,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0595403048263737,0.059540306503613964,0.05954030566499383,1.204183150383173e-08,0.05954030566499383,0.05954030566499383,1.204183150383173e-08,0.0595403048263737,0.059540306503613964,0.0,0.0,0.0,0.0,0.16,0.0,0.055987986509678705,0.055987988189612925,0.055987986509678705,0.055987988189612925,0.139284482,3.0,0.0,0.17093432266203515,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05842060934939845,0.058420610987736,0.05842061016856723,1.1975902788506059e-08,0.05842061016856723,0.05842061016856723,1.1975902788506059e-08,0.05842060934939845,0.058420610987736,0.0,0.0,0.0,0.0,0.16,0.0,0.055151306127887725,0.0551513077939251,0.055151306127887725,0.0551513077939251,0.136802843]"
