topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/candidate_B_spatial_composite_state,1789540782.8434052,1789540782.8434052,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.8425417,1789540782.843227,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1748310744547687,4.473591581858524e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0342945169974209,0.03429446321651169,0.034294490106966294,-3.9695295861577977e-07,0.034294490106966294,0.034294490106966294,-3.9695295861577977e-07,0.0342945169974209,0.03429446321651169,0.0,0.0,0.0,0.0,0.16,0.0,0.033144684620182996,0.03314463462790998,0.032744475691757105,0.032744428484868617,0.135484339,2.0,0.0,0.17234638333743676,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.035001629946982596,0.035001631724320234,0.035001630835651415,1.2760485681210203e-08,0.035001630835651415,0.035001630835651415,1.2760485681210203e-08,0.035001629946982596,0.035001631724320234,0.0,0.0,0.0,0.0,0.16,0.0,0.032027266935010026,0.032027268577044396,0.029410638450742235,0.02941064019873506,0.139284482,3.0,0.0,0.17221897395282976,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.036422209657989375,0.03642221136925996,0.03642221051362467,1.2509027926933512e-08,0.03642221051362467,0.03642221051362467,1.2509027926933512e-08,0.036422209657989375,0.03642221136925996,0.0,0.0,0.0,0.0,0.16,0.0,0.033508166161652975,0.03350816776474605,0.033508166161652975,0.03350816776474605,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.853511,1789540782.853511,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.8525488,1789540782.8533008,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17541402574526493,5.517977597548019e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0390965694063717,0.03909651176684972,0.03909654058661071,-4.254330972880558e-07,0.03909654058661071,0.03909654058661071,-4.254330972880558e-07,0.0390965694063717,0.03909651176684972,0.0,0.0,0.0,0.0,0.16,0.0,0.0342945169974209,0.03429446321651169,0.0342945169974209,0.03429446321651169,0.135484339,2.0,0.0,0.17217205821855508,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037903114521297916,0.037903116190670806,0.03790311535598436,1.1985347297504988e-08,0.03790311535598436,0.03790311535598436,1.1985347297504988e-08,0.037903114521297916,0.037903116190670806,0.0,0.0,0.0,0.0,0.16,0.0,0.035001629946982596,0.035001631724320234,0.032027266935010026,0.032027268577044396,0.139284482,3.0,0.0,0.17209114367842562,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03962007361473716,0.03962007524737687,0.039620074431057015,1.1934252740534337e-08,0.039620074431057015,0.039620074431057015,1.1934252740534337e-08,0.03962007361473716,0.03962007524737687,0.0,0.0,0.0,0.0,0.16,0.0,0.036422209657989375,0.03642221136925996,0.036422209657989375,0.03642221136925995,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.8634665,1789540782.8634665,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.8625176,1789540782.863274,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17541402574526493,5.517977597548019e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.040162023369421734,0.04016196138960805,0.04016199237951489,-4.574684730473932e-07,0.04016199237951489,0.04016199237951489,-4.574684730473932e-07,0.040162023369421734,0.04016196138960805,0.0,0.0,0.0,0.0,0.16,0.0,0.0390965694063717,0.03909651176684972,0.038302031997420896,0.038301978216511684,0.135484339,2.0,0.0,0.17204760968744245,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04095528616889112,0.04095528799278719,0.040955287080839155,1.3094754344827523e-08,0.040955287080839155,0.040955287080839155,1.3094754344827523e-08,0.04095528616889112,0.04095528799278719,0.0,0.0,0.0,0.0,0.16,0.0,0.037903114521297916,0.037903116190670806,0.035001629946982596,0.035001631724320234,0.139284482,3.0,0.0,0.17189039430021674,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.042570215111542485,0.04257021687042128,0.04257021599098188,1.2857033918605082e-08,0.04257021599098188,0.04257021599098188,1.2857033918605082e-08,0.042570215111542485,0.04257021687042128,0.0,0.0,0.0,0.0,0.16,0.0,0.03962007361473716,0.03962007524737687,0.03962007361473716,0.03962007524737687,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.8731542,1789540782.8731542,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.8724825,1789540782.8730216,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1761110190405631,6.653797778784779e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04522241301195389,0.0452223461451604,0.04522237957855715,-4.935389136828937e-07,0.04522237957855715,0.04522237957855715,-4.935389136828937e-07,0.04522241301195389,0.0452223461451604,0.0,0.0,0.0,0.0,0.16,0.0,0.040162023369421734,0.04016196138960805,0.040162023369421734,0.04016196138960805,0.135484339,2.0,0.0,0.17184223209032995,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04399083308508955,0.04399083478845179,0.04399083393677067,1.2229375580561021e-08,0.04399083393677067,0.04399083393677067,1.2229375580561021e-08,0.04399083308508955,0.04399083478845179,0.0,0.0,0.0,0.0,0.16,0.0,0.04095528616889112,0.04095528799278719,0.037903114521297916,0.037903116190670806,0.139284482,3.0,0.0,0.17174239812639905,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.045943781520221834,0.04594378318898524,0.045943782354603536,1.2198309396524298e-08,0.045943782354603536,0.045943782354603536,1.2198309396524298e-08,0.045943781520221834,0.04594378318898524,0.0,0.0,0.0,0.0,0.16,0.0,0.042570215111542485,0.04257021687042128,0.042570215111542485,0.04257021687042128,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.8831298,1789540782.8831298,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.8824847,1789540782.883031,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1761110190405631,6.653797778784779e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04632348430726786,0.04632341228616833,0.0463234482967181,-5.315824696804313e-07,0.0463234482967181,0.0463234482967181,-5.315824696804313e-07,0.04632348430726786,0.04632341228616833,0.0,0.0,0.0,0.0,0.16,0.0,0.04522241301195389,0.0452223461451604,0.04416668836942173,0.04416662638960805,0.135484339,2.0,0.0,0.17169457792073828,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.047225012229210016,0.04722501410979462,0.04722501316950232,1.3501752511867302e-08,0.04722501316950232,0.04722501316950232,1.3501752511867302e-08,0.047225012229210016,0.04722501410979462,0.0,0.0,0.0,0.0,0.16,0.0,0.04399083308508955,0.04399083478845179,0.04399083308508955,0.04399083478845179,0.139284482,3.0,0.0,0.1715036535338045,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04902481908020982,0.04902482089582286,0.04902481998801634,1.3271749293373455e-08,0.04902481998801634,0.04902481998801634,1.3271749293373455e-08,0.04902481908020982,0.04902482089582286,0.0,0.0,0.0,0.0,0.16,0.0,0.045943781520221834,0.04594378318898524,0.045943781520221834,0.04594378318898524,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.89338,1789540782.89338,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.8924804,1789540782.8930676,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17692700486361568,7.891824444991448e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.051604251178865454,0.05160417304146335,0.0516042121101644,-5.767264517868845e-07,0.0516042121101644,0.0516042121101644,-5.767264517868845e-07,0.051604251178865454,0.05160417304146335,0.0,0.0,0.0,0.0,0.16,0.0,0.04632348430726786,0.04632341228616833,0.04632348430726786,0.04632341228616833,0.135484339,2.0,0.0,0.17145042406983513,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05055856080510427,0.050558562550414916,0.05055856167775959,1.2530546267217045e-08,0.05055856167775959,0.05055856167775959,1.2530546267217045e-08,0.05055856080510427,0.050558562550414916,0.0,0.0,0.0,0.0,0.16,0.0,0.047225012229210016,0.04722501410979462,0.04399083308508955,0.04399083478845179,0.139284482,3.0,0.0,0.17133365987211957,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05254537633671024,0.05254537804696122,0.05254537719183573,1.2501574857626757e-08,0.05254537719183573,0.05254537719183573,1.2501574857626757e-08,0.05254537633671024,0.05254537804696122,0.0,0.0,0.0,0.0,0.16,0.0,0.04902481908020982,0.04902482089582286,0.04902481908020982,0.04902482089582286,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.903626,1789540782.903626,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.9025958,1789540782.9032872,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17692700486361568,7.891824444991448e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.052748890039018316,0.05274880571422793,0.05274884787662312,-6.223951122974255e-07,0.05274884787662312,0.05274884787662312,-6.223951122974255e-07,0.052748890039018316,0.05274880571422793,0.0,0.0,0.0,0.0,0.16,0.0,0.051604251178865454,0.05160417304146335,0.05036211630726786,0.050362044286168334,0.135484339,2.0,0.0,0.17127986404052978,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05390259368170641,0.05390259563189145,0.05390259465679893,1.4001452374521516e-08,0.05390259465679893,0.05390259465679893,1.4001452374521516e-08,0.05390259368170641,0.05390259563189145,0.0,0.0,0.0,0.0,0.16,0.0,0.05055856080510427,0.050558562550414916,0.047225012229210016,0.04722501410979462,0.139284482,3.0,0.0,0.17106278633950425,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0557425787749516,0.05574258065922549,0.05574257971708854,1.3773645696063882e-08,0.05574257971708854,0.05574257971708854,1.3773645696063882e-08,0.0557425787749516,0.05574258065922549,0.0,0.0,0.0,0.0,0.16,0.0,0.05254537633671024,0.05254537804696122,0.05254537633671024,0.05254537804696122,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.913435,1789540782.913435,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.9124792,1789540782.913182,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17786467458508667,9.24001245237596e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05813945273746344,0.058139361006286895,0.05813940687187517,-6.770611069933098e-07,0.05813940687187517,0.05813940687187517,-6.770611069933098e-07,0.05813945273746344,0.058139361006286895,0.0,0.0,0.0,0.0,0.16,0.0,0.052748890039018316,0.05274880571422793,0.052748890039018316,0.05274880571422793,0.135484339,2.0,0.0,0.1710070917947831,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.057047979952983045,0.05704798174087534,0.05704798084692919,1.2836263357381755e-08,0.05704798084692919,0.05704798084692919,1.2836263357381755e-08,0.057047979952983045,0.05704798174087534,0.0,0.0,0.0,0.0,0.16,0.0,0.05390259368170641,0.05390259563189145,0.05055856080510427,0.050558562550414916,0.139284482,3.0,0.0,0.17086698679898366,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05930577558284926,0.05930577733747798,0.05930577646016362,1.2825966782696633e-08,0.05930577646016362,0.05930577646016362,1.2825966782696633e-08,0.05930577558284926,0.05930577733747798,0.0,0.0,0.0,0.0,0.16,0.0,0.0557425787749516,0.05574258065922549,0.0557425787749516,0.05574258065922549,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.9236412,1789540782.9236412,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.9225867,1789540782.9233203,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17786467458508667,9.24001245237596e-10,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05932120964984467,0.05932111056920036,0.059321160109522514,-7.313069912388597e-07,0.059321160109522514,0.059321160109522514,-7.313069912388597e-07,0.05932120964984467,0.05932111056920036,0.0,0.0,0.0,0.0,0.16,0.0,0.05813945273746344,0.058139361006286895,0.05676471503901832,0.05676463071422793,0.135484339,2.0,0.0,0.1708131679911713,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.060566651719583156,0.060566653740504434,0.060566652730043795,1.4509306769333556e-08,0.060566652730043795,0.060566652730043795,1.4509306769333556e-08,0.060566651719583156,0.060566653740504434,0.0,0.0,0.0,0.0,0.16,0.0,0.057047979952983045,0.05704798174087534,0.05390259368170642,0.053902595631891446,0.139284482,3.0,0.0,0.17055733906340062,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06258677673565134,0.06258677868985114,0.06258677771275124,1.4284789402943717e-08,0.06258677771275124,0.06258677771275124,1.4284789402943717e-08,0.06258677673565134,0.06258677868985114,0.0,0.0,0.0,0.0,0.16,0.0,0.05930577558284926,0.05930577733747798,0.05930577558284926,0.05930577733747798,0.136802843]"
/multi_agv/candidate_B_spatial_composite_state,1789540782.9336333,1789540782.9336333,"candidate_B_v2_spatial_composite:header14+3x33;robots=1,2,3","[1789540782.9325361,1789540782.9333577,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.17893540347067904,1.0720318781373232e-09,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06489184642249562,0.06489173822534966,0.06489179232392264,-7.98595223355545e-07,0.06489179232392264,0.06489179232392264,-7.98595223355545e-07,0.06489184642249562,0.06489173822534966,0.0,0.0,0.0,0.0,0.16,0.0,0.05932120964984467,0.05932111056920036,0.05932120964984467,0.05932111056920036,0.135484339,2.0,0.0,0.1705048060631899,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06384367783902602,0.0638436796664154,0.0638436787527207,1.3119834689881291e-08,0.0638436787527207,0.0638436787527207,1.3119834689881291e-08,0.06384367783902602,0.0638436796664154,0.0,0.0,0.0,0.0,0.16,0.0,0.060566651719583156,0.060566653740504434,0.057047979952983045,0.05704798174087534,0.139284482,3.0,0.0,0.1703411951889867,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06628129174449675,0.06628129354061822,0.06628129264255748,1.3129270082302583e-08,0.06628129264255748,0.06628129264255748,1.3129270082302583e-08,0.06628129174449675,0.06628129354061822,0.0,0.0,0.0,0.0,0.16,0.0,0.06258677673565134,0.06258677868985114,0.06258677673565134,0.06258677868985114,0.136802843]"
