topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_algorithm_state,1789540782.8731825,1789540782.8731825,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09994996914010061,0.018946989571438016,0.00011736190713923485,1789540782.8730574,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0029059382836753903,0.026581022312589644,-0.015018853483893613,-0.07335672231704946,-0.08839456208186788,1.5264382570733468,4.949761284631608e-05,-0.1071681289367349,0.2616834884188492,0.2616834884188492,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0027589200011869483,0.02514718282567231,-0.015229163175702928,-0.074823235634955,-0.0906412271032149,1.5457513671620133,-3.069943582684834e-05,-0.10967768107284356,0.26354204573581136,0.26354204573581136,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.002963725428631263,0.027388115441668387,-0.014982623247868952,-0.07255992756965916,-0.08718066724544142,1.5159909189385012,2.0701693927252188e-05,-0.10590894630527761,0.2603331540933488,0.2603331540933488,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.8832347,1789540782.8832347,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09994789548698929,0.019944521990446256,0.00012196784984020428,1789540782.883063,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0029059382836753903,0.026581022312589644,-0.016011695483068186,-0.07335496657232735,-0.0883921949369928,1.5264262208221855,5.065208529514496e-05,-0.10840681429082803,0.2644642766269027,0.2644642766269027,0.0,0.0,0.0,0.0,0.0,-0.1600000000000075,0.1600000000000075,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0030619632164998354,0.027700025439466494,-0.015921388763741374,-0.07226791210681771,-0.08673511409460673,1.5121034869378986,-2.8940055721886853e-05,-0.10663685004928344,0.2622239381486084,0.2622239381486084,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0034550615705268104,0.03003208349915852,-0.015484921396802446,-0.06991389748994212,-0.08321416603235367,1.4826204225756612,1.990419681014788e-05,-0.10257031777835672,0.25813678389077893,0.25813678389077893,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.8933012,1789540782.8933012,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09994586932504836,0.020941535851865072,0.00012650149706039192,1789540782.8930752,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.003721924106727968,0.031813372945153025,-0.016192204851166524,-0.06812092759866015,-0.08057715574216079,1.4609867245326849,4.476446528446027e-05,-0.10081741180611895,0.25781908651451924,0.25781908651451924,0.0,0.0,0.0,0.0,0.0,-0.1600000000000075,0.1600000000000075,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.003564911233273396,0.030552266203403844,-0.01641728420267987,-0.06941316208800641,-0.08247029492751451,1.4763776942682851,-2.692431720024544e-05,-0.10299190018086435,0.25973878400060135,0.25973878400060135,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.003806265915151438,0.03287977383470851,-0.01613097566233957,-0.06706418379103592,-0.07903849883204715,1.4484817207066671,1.892912788577629e-05,-0.09920221840997162,0.2558375342726011,0.2558375342726011,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.9035115,1789540782.9035115,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09994382484832472,0.02195019148935967,0.0001309114925915366,1789540782.903298,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.003721924106727968,0.031813372945153025,-0.017188229386075633,-0.06811933290461328,-0.08057506122986262,1.4609764380931278,4.56311236661733e-05,-0.10206034796245717,0.2607432358098721,0.2607432358098721,0.0,0.0,0.0,0.0,0.0,-0.1600000000000075,0.1600000000000075,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.003917645972396114,0.03324272148561873,-0.017062816536778574,-0.06672018491964012,-0.07853825800536894,1.4443812945721437,-2.5018510864297002e-05,-0.09986677867634217,0.25768303725960473,0.25768303725960473,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.004368259601691467,0.0356962537396517,-0.016565731951925455,-0.06424574198046826,-0.07500183280742982,1.4164510336047516,1.7911457252324358e-05,-0.09570899774733664,0.2527114667699,0.2527114667699,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.913414,1789540782.913414,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.0999419436079268,0.022936146443755856,0.00013536865399115945,1789540782.91319,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.004659593828198973,0.03737393070530744,-0.017258236599058528,-0.0625571756992555,-0.07262698635086826,1.3980913214394068,3.932434887724354e-05,-0.09419978209969142,0.25227241752349927,0.25227241752349927,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0044841783871833844,0.036039883759249686,-0.017506181128878272,-0.06392046247786738,-0.07453936455022495,1.4127705174672285,-2.307652862340034e-05,-0.09642209096132279,0.2546346516557164,0.2546346516557164,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.004776338916186131,0.03871371258762824,-0.01716604560857372,-0.061226309315665924,-0.07077473360754392,1.3839372461678063,1.6759397406320105e-05,-0.09223229061826108,0.24949246474780767,0.24949246474780767,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.9236424,1789540782.9236424,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09993998832984759,0.02394398830658273,0.00013941392842676335,1789540782.923328,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.004659593828198973,0.03737393070530744,-0.018243324771575878,-0.06255582639180916,-0.07262526104123102,1.398083149828772,3.9899035537880586e-05,-0.09542941700570086,0.2553044489787446,0.2553044489787446,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.004888782124757948,0.038943514437084215,-0.018088636405983287,-0.06101432444074746,-0.07047959326803244,1.3816412800336428,-2.102543557830704e-05,-0.09309038877551154,0.2515831053277649,0.2515831053277649,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0054249204240385054,0.041698105907604296,-0.01750318177671297,-0.058240128941227834,-0.0666880865618235,1.3535079093828528,1.5556782353270023e-05,-0.08856706378271471,0.2452208152189006,0.2452208152189006,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.9335647,1789540782.9335647,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09993815458547754,0.024936509894568807,0.0001436565247308036,1789540782.9333668,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.005730322713791349,0.04325417480622087,-0.018179550013251996,-0.05667413750354144,-0.06458148163201888,1.338238815465285,3.334505692281079e-05,-0.08730591914858388,0.24470811057924083,0.24470811057924083,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.005535353342328091,0.04193542113460633,-0.01845103805314735,-0.05801985922759431,-0.06638849436793247,1.3512578714023284,-1.9028487209005207e-05,-0.08945229193436666,0.24741408534199258,0.24741408534199258,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.005880035121584286,0.04486787181947861,-0.018055665675645115,-0.055068500498101226,-0.06244435027334767,1.3229588747807688,1.4275543783207226e-05,-0.08501393236790405,0.24098441541279672,0.24098441541279672,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.9435809,1789540782.9435809,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09993633935848516,0.025933013626526853,0.0001475989738303163,1789540782.9433696,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.005730322713791349,0.04325417480622087,-0.01917127094401017,-0.0566728752952823,-0.06457991121490779,1.3382316523723823,3.3767058455820686e-05,-0.0885439998949205,0.24790839205535792,0.24790839205535792,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.005990195182181233,0.04495761235929318,-0.018989741943496476,-0.05499515257434028,-0.06234590397292919,1.322211081257582,-1.7046775541617718e-05,-0.08608308140229978,0.2434598668300402,0.2434598668300402,0.0,0.0,0.0,0.0,0.0,-0.16000000000000322,0.16000000000000322,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.006608863758134558,0.04797702024450523,-0.01831913514209264,-0.05195762847679078,-0.05837336403830095,1.2946629754948429,1.3002848152458766e-05,-0.08127228296591675,0.23559741045380592,0.23559741045380592,0.0,0.0,0.0,0.0,0.0,-0.16000000000000322,0.16000000000000322]"
/multi_agv/formal_algorithm_state,1789540782.9538608,1789540782.9538608,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09993455680253636,0.026930693202264336,0.00015150835727307838,1789540782.9535966,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.006927876043403558,0.049376091283932964,-0.018969450197066327,-0.05054972585292495,-0.056559928604186537,1.2824007133344053,2.7238960789401763e-05,-0.08027174135051945,0.23508781034942008,0.23508781034942008,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.006719093104358989,0.048079406727111425,-0.019258336131655087,-0.05187084461806588,-0.05825985118839169,1.293842497910217,-1.5104366265915388e-05,-0.08233277135296055,0.23811873918252793,0.23811873918252793,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.007118068574926152,0.05127171095019558,-0.018806216828170456,-0.04866123864322466,-0.05415285869580039,1.2663761475498978,1.16576836270687e-05,-0.07766062973101345,0.23023322984264008,0.23023322984264008,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
/multi_agv/formal_algorithm_state,1789540782.9637232,1789540782.9637232,formal_algorithm_state_v2:header10+3x29,"[1.0,2.0,4.0,-0.15,0.52,0.09993275620363995,0.027939424570355694,0.00015535042237933245,1789540782.9636033,1.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.006927876043403558,0.049376091283932964,-0.019966395391900465,-0.050548540056379994,-0.05655849312693566,1.2823944133712517,2.754085480538371e-05,-0.08151648736681125,0.2384570065762971,0.2384570065762971,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.007229476582414144,0.05123240974518839,-0.01974657574841673,-0.04871533948341353,-0.054220407121907614,1.2667806702875186,-1.3250726697601771e-05,-0.07890362680742853,0.23312250850898122,0.23312250850898122,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.007933327912557363,0.05449195401792507,-0.018988427928100748,-0.04543933582076913,-0.05011520622098823,1.2403183429519633,1.037674341431461e-05,-0.07385074113111417,0.22363342594613403,0.22363342594613403,0.0,0.0,0.0,0.0,0.0,-0.15999999999999895,0.15999999999999895]"
