topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789540782.8731534,1789540782.8731534,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.8724825,1.0,0.04594378318898524,0.04522241301195389,0.0452223461451604,0.04522241301195389,0.0452223461451604,0.16,0.16,0.0,0.04399083308508955,0.04399083478845179,0.04399083308508955,0.04399083478845179,0.16,0.16,0.0,0.045943781520221834,0.04594378318898524,0.045943781520221834,0.04594378318898524,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.8831277,1789540782.8831277,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.8824847,1.0,0.04902482089582286,0.04632348430726786,0.04632341228616833,0.04632348430726786,0.04632341228616833,0.16,0.16,0.0,0.047225012229210016,0.04722501410979462,0.047225012229210016,0.04722501410979462,0.16,0.16,0.0,0.04902481908020982,0.04902482089582286,0.04902481908020982,0.04902482089582286,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.8933043,1789540782.8933043,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.8924804,1.0,0.05254537804696122,0.051604251178865454,0.05160417304146335,0.051604251178865454,0.05160417304146335,0.16,0.16,0.0,0.05055856080510427,0.050558562550414916,0.05055856080510427,0.050558562550414916,0.16,0.16,0.0,0.05254537633671024,0.05254537804696122,0.05254537633671024,0.05254537804696122,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.9035127,1789540782.9035127,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.9025958,1.0,0.05574258065922549,0.052748890039018316,0.05274880571422793,0.052748890039018316,0.05274880571422793,0.16,0.16,0.0,0.05390259368170641,0.05390259563189145,0.05390259368170641,0.05390259563189145,0.16,0.16,0.0,0.0557425787749516,0.05574258065922549,0.0557425787749516,0.05574258065922549,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.9134135,1789540782.9134135,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.9124792,1.0,0.05930577733747798,0.05813945273746344,0.058139361006286895,0.05813945273746344,0.058139361006286895,0.16,0.16,0.0,0.057047979952983045,0.05704798174087534,0.057047979952983045,0.05704798174087534,0.16,0.16,0.0,0.05930577558284926,0.05930577733747798,0.05930577558284926,0.05930577733747798,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.9236362,1789540782.9236362,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.9225867,1.0,0.06258677868985114,0.05932120964984467,0.05932111056920036,0.05932120964984467,0.05932111056920036,0.16,0.16,0.0,0.060566651719583156,0.060566653740504434,0.060566651719583156,0.060566653740504434,0.16,0.16,0.0,0.06258677673565134,0.06258677868985114,0.06258677673565134,0.06258677868985114,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.9335668,1789540782.9335668,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.9325361,1.0,0.06628129354061822,0.06489184642249562,0.06489173822534966,0.06489184642249562,0.06489173822534966,0.16,0.16,0.0,0.06384367783902602,0.0638436796664154,0.06384367783902602,0.0638436796664154,0.16,0.16,0.0,0.06628129174449675,0.06628129354061822,0.06628129174449675,0.06628129354061822,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.9435835,1789540782.9435835,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.9425285,1.0,0.06953037636024068,0.06602876982215147,0.06602865307874103,0.06602876982215147,0.06602865307874103,0.16,0.16,0.0,0.0673628599116325,0.06736286200036905,0.0673628599116325,0.06736286200036905,0.16,0.16,0.0,0.06953037433791079,0.06953037636024068,0.06953037433791079,0.06953037636024068,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.953873,1789540782.953873,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.952531,1.0,0.07333834181787659,0.07172908787510049,0.0717289600238464,0.07172908787510049,0.0717289600238464,0.16,0.16,0.0,0.07072363656701047,0.07072363842554491,0.07072363656701047,0.07072363842554491,0.16,0.16,0.0,0.07333833998780294,0.07333834181787659,0.07333833998780294,0.07333834181787659,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789540782.9637358,1789540782.9637358,formal_execution_limiter_v1:header4+3x7,"[1.0,1789540782.9626458,1.0,0.07661754045994439,0.07290849306189333,0.07290835490663104,0.07290849306189333,0.07290835490663104,0.16,0.16,0.0,0.07433378514064203,0.07433378730023248,0.07433378514064203,0.07433378730023248,0.16,0.16,0.0,0.07661753836594272,0.07661754045994439,0.07661753836594272,0.07661754045994439,0.16,0.16,0.0]"
