topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/v5_exploration_quality_state,1789540782.874306,1789540782.874306,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.860184,1789540782.8742232,0.00020122754869535166,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.8843765,1789540782.8843765,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.8772733,1789540782.8842006,7.174988478158386e-05,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.8942862,1789540782.8942862,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.8802094,1789540782.8941572,0.0002372752402659701,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9046013,1789540782.9046013,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.8972847,1789540782.9043248,8.546779840884095e-05,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9144,1789540782.9144,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9002037,1789540782.9141474,0.0002808530746026606,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9243555,1789540782.9243555,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9172826,1789540782.9241576,0.00010007310833504509,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9342973,1789540782.9342973,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9202778,1789540782.9341745,0.00032227320695503214,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9442854,1789540782.9442854,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9372904,1789540782.944162,0.00011525834042221606,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9545608,1789540782.9545608,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9402745,1789540782.9543417,0.00036897442141895225,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.964515,1789540782.964515,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.95729,1789540782.9643664,0.0001334414119776049,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9744513,1789540782.9744513,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9602728,1789540782.974301,0.00041787908405244433,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9844146,1789540782.9844146,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9772873,1789540782.9843214,0.00015265092992751284,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540782.9943292,1789540782.9943292,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9802194,1789540782.9942217,0.0004707716886988522,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0042953,1789540783.0042953,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540782.9972758,1789540783.0041924,0.00016889453736575164,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0142887,1789540783.0142887,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.0002337,1789540783.0142074,0.0005196808411686362,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.024367,1789540783.024367,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.017256,1789540783.0242763,0.0001914378581309868,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0342443,1789540783.0342443,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.020222,1789540783.0341632,0.000571987925753428,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0442145,1789540783.0442145,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.0372913,1789540783.0441356,0.0002100702784439415,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0543532,1789540783.0543532,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.040271,1789540783.0542057,0.0006227768935321468,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0643344,1789540783.0643344,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.057313,1789540783.064245,0.00023201406365523246,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0744996,1789540783.0744996,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.0602942,1789540783.074395,0.0006737109877815433,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0844262,1789540783.0844262,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.0773137,1789540783.084281,0.00025347373236271,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.0944326,1789540783.0944326,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.080295,1789540783.094395,0.0007245645126061174,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.1044967,1789540783.1044967,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.097311,1789540783.1044126,0.0002764039324939343,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.1145253,1789540783.1145253,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.1001956,1789540783.1143727,0.0007781958915265492,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.124361,1789540783.124361,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.1173453,1789540783.1241717,0.00029479609069174546,0.01,0.0]"
/multi_agv/v5_exploration_quality_state,1789540783.1342611,1789540783.1342611,EFFECT_EXPLORATION_ONLY_NOT_FORMAL_PAPER_EVIDENCE:quality_v1,"[1789540783.120222,1789540783.134124,0.0008247472155551954,0.01,0.0]"
