topic,bag_stamp,header_stamp,experiment_id,method_id,block_id,run_id,phase,run_active,evaluation_active,manual_abort,abort_reason
/multi_agv/experiment_state,1789378592.4071915,1789378592.3823864,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378592.4826052,1789378592.4823852,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378592.5824142,1789378592.5823598,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378592.682634,1789378592.6824574,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378592.7826738,1789378592.7823873,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378592.8824186,1789378592.8823605,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378592.9825344,1789378592.9823968,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378593.082598,1789378593.0823863,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378593.182639,1789378593.1823866,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378593.28252,1789378593.2823818,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378593.3825982,1789378593.3823833,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378593.4825404,1789378593.482384,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378593.5826256,1789378593.5823817,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378593.682519,1789378593.6823905,exp2c_v3_nominal_headroom_fake,M1_R1,stage1_no_disturbance_M1_R1,stage1_no_disturbance_M1_R1,2,True,True,False,
