topic,bag_stamp,header_stamp,experiment_id,method_id,block_id,run_id,phase,run_active,evaluation_active,manual_abort,abort_reason
/multi_agv/experiment_state,1789378816.3214962,1789378816.2584941,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378816.358575,1789378816.358501,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378816.4585476,1789378816.458495,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378816.558614,1789378816.5585387,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378816.6586351,1789378816.6585524,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378816.7586951,1789378816.7585392,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378816.9087903,1789378816.9085917,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378816.9586146,1789378816.9584932,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.1088061,1789378817.108641,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.1585584,1789378817.1584957,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.3088508,1789378817.308633,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.3585582,1789378817.3584924,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.4585888,1789378817.458497,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.558557,1789378817.558493,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.6585824,1789378817.6584945,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.7585526,1789378817.7584932,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.8586936,1789378817.8584938,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378817.9585917,1789378817.9584935,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.108695,1789378818.108539,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.2087724,1789378818.2086015,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.2587101,1789378818.2585423,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.358707,1789378818.3585536,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.4586122,1789378818.4584959,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.5585785,1789378818.5584934,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.6586313,1789378818.6585262,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.7585764,1789378818.7584963,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.8586957,1789378818.858566,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378818.9585307,1789378818.958492,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378819.0585291,1789378819.0584764,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
/multi_agv/experiment_state,1789378819.1586647,1789378819.1585362,exp2c_v3_nominal_headroom_fake,M1_R1,stage2_yaw_0p020_M1_R1,stage2_yaw_0p020_M1_R1,2,True,True,False,
