topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv3/chassis_feedback,1789388766.0828738,1789388766.0825562,1789388766.0825496,3,149,135,366,0.0177487226351687,0.017748724217519034,0.0177487226351687,0.017748724217519034,0.016202991492503975,0.016120596774453468,0.01626011384664115,0.01614027253996964,0.0177487226351687,0.017748724217519034,0.017748723426343867,1.1566648027154227e-08,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789388766.0832784,1789388766.0832105,1789388766.0832098,2,150,135,373,0.017509029527299942,0.01750903116186761,0.017509029527299942,0.01750903116186761,0.015896342923694573,0.015794551680499168,0.01592527377469979,0.015889698959065224,0.01750902952729994,0.01750903116186761,0.017509030344583773,1.1735461447298527e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789388766.0871918,1789388766.087066,1789388766.087065,1,155,136,385,0.020422458988661633,0.020422421987760692,0.020422458988661633,0.020422421987760692,0.01894211554401918,0.018814682644151273,0.016847879037968607,0.01674368815470204,0.018122056313761882,0.01812202086150056,0.01812203858763122,-2.6167054866073685e-07,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789388766.0914035,1789388766.091232,1789388766.0912309,2,151,136,375,0.01974912582322231,0.019749127423092885,0.01974912582322231,0.019749127423092885,0.0179301129191451,0.017815298336331928,0.017962745168453042,0.017922618707801364,0.01974912582322231,0.019749127423092885,0.019749126623157597,1.1486351913176616e-08,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789388766.0945637,1789388766.0945196,1789388766.0945187,3,150,137,369,0.022552479166561955,0.022552480744251518,0.022552479166561955,0.022552480744251518,0.020588390251060074,0.020483694708763937,0.018469949762081946,0.018333821180196157,0.020160868398864867,0.020160869971358183,0.020160869185111525,1.1494595299568589e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789388766.095233,1789388766.0950847,1789388766.0950832,1,156,137,387,0.02299471393013748,0.022994674512886594,0.02299471393013748,0.022994674512886594,0.021327917877477696,0.021184436582732346,0.018986538433696146,0.018869124350984822,0.020422458988661633,0.020422421987760692,0.020422440488211163,-2.7310094445961835e-07,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789388766.1026986,1789388766.1025293,1789388766.1025286,3,151,137,371,0.022552479166561955,0.022552480744251518,0.022552479166561955,0.022552480744251518,0.020588390251060074,0.020483694708763937,0.020660972978735977,0.02050869579151747,0.022552479166561955,0.022552480744251518,0.022552479955406737,1.1532578766119004e-08,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789388766.1033137,1789388766.1032302,1789388766.1032288,2,152,137,378,0.022189180716555554,0.022189182344769742,0.022189180716555554,0.022189182344769742,0.02014542412623321,0.0200164237559734,0.02018208817321752,0.020137003832289033,0.022189180716555554,0.022189182344769742,0.022189181530662648,1.1689846313791291e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789388766.1072874,1789388766.1070886,1789388766.1070876,1,157,138,390,0.02552629563871189,0.02552625415242817,0.02552629563871189,0.02552625415242817,0.023675995220150552,0.02351671957712523,0.02137793593067291,0.02124573535176736,0.02299471393013748,0.02299467451288659,0.022994694221512034,-2.9093584673951424e-07,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789388766.1114523,1789388766.1112297,1789388766.111228,2,153,138,380,0.024658679522303693,0.024658681124190177,0.024658679522303693,0.024658681124190177,0.022387467284857108,0.022244109898964148,0.022428211780840333,0.022378109683435638,0.024658679522303693,0.024658681124190177,0.024658680323246935,1.1500825228830292e-08,0.0,False,False,False,False,False,False,False
