topic,bag_stamp,header_stamp,frame_id,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,orientation_x,orientation_y,orientation_z,orientation_w
/agv3/imu,1789388766.0829034,1789388766.0825562,agv3/imu_link,0.0,0.0,1.1566648083771724e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.0833175,1789388766.0832105,agv2/imu_link,0.0,0.0,1.1735461491468868e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.087208,1789388766.087066,agv1/imu_link,0.0,0.0,-2.616705501168326e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.0914102,1789388766.091232,agv2/imu_link,0.0,0.0,1.1486352313738735e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.0946093,1789388766.0945196,agv3/imu_link,0.0,0.0,1.1494595497651972e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.095242,1789388766.0950847,agv1/imu_link,0.0,0.0,-2.731009374201676e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.10269,1789388766.1025293,agv3/imu_link,0.0,0.0,1.1532578447770447e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.1033263,1789388766.1032302,agv2/imu_link,0.0,0.0,1.1689846424189909e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.107295,1789388766.1070886,agv1/imu_link,0.0,0.0,-2.9093584430484043e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.1114542,1789388766.1112297,agv2/imu_link,0.0,0.0,1.1500825181087748e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.1145718,1789388766.1145182,agv3/imu_link,0.0,0.0,1.1513825448616899e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.1152892,1789388766.1150823,agv1/imu_link,0.0,0.0,-3.0620722668572853e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.122993,1789388766.1225317,agv3/imu_link,0.0,0.0,1.1629342822061517e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.1233099,1789388766.1232095,agv2/imu_link,0.0,0.0,1.1785277642673009e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.127411,1789388766.127192,agv1/imu_link,0.0,0.0,-3.289189294264361e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.1314175,1789388766.1312392,agv2/imu_link,0.0,0.0,1.1611290595681112e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.1347415,1789388766.1345584,agv3/imu_link,0.0,0.0,1.163013418903347e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.1352203,1789388766.1350286,agv1/imu_link,0.0,0.0,-3.475872176750272e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.1427362,1789388766.1425312,agv3/imu_link,0.0,0.0,1.1792747223182687e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.1434655,1789388766.143231,agv2/imu_link,0.0,0.0,1.194559740014256e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.1474054,1789388766.1471817,agv1/imu_link,0.0,0.0,-3.75219400439164e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.15145,1789388766.1512315,agv2/imu_link,0.0,0.0,1.1833318325216169e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.1546388,1789388766.1545186,agv3/imu_link,0.0,0.0,1.1854558223944878e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv1/imu,1789388766.1551726,1789388766.155033,agv1/imu_link,0.0,0.0,-4.008186635928723e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv3/imu,1789388766.1628485,1789388766.1625347,agv3/imu_link,0.0,0.0,1.2085173750620015e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/agv2/imu,1789388766.1634786,1789388766.1632142,agv2/imu_link,0.0,0.0,1.2238324131885747e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
