topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789391775.5179014,1789391775.5179014,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5169148,2.0,0.0009903223568594535,0.0,0.0,0.004,0.0,0.02602233903813395,0.02602234059178345,0.02602233903813395,0.02602234059178345,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.5275462,1789391775.5275462,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5269392,2.0,0.0011668361429420595,0.0,0.0,0.004,0.0,0.028956026971205032,0.028956028562550678,0.028956026971205032,0.028956028562550678,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.537785,1789391775.537785,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5369015,2.0,0.0014573685849326795,0.0,0.0,0.004,0.0,0.03176920626212114,0.031769207835881816,0.03176920626212114,0.031769207835881816,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.547528,1789391775.547528,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5469253,2.0,0.0016650985482022553,0.0,0.0,0.004,0.0,0.03465690628255885,0.03465690790317562,0.03465690628255885,0.03465690790317562,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.557546,1789391775.557546,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5569687,2.0,0.002022737579099952,0.0,0.0,0.004,0.0,0.037732015437962146,0.03773201704570023,0.037732015437962146,0.03773201704570023,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.5674276,1789391775.5674276,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5668619,2.0,0.002276387598252593,0.0,0.0,0.004,0.0,0.040736169019909424,0.04073617068034603,0.040736169019909424,0.04073617068034603,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.5778308,1789391775.5778308,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5769312,2.0,0.0027048987747879264,0.0,0.0,0.004,0.0,0.04400222446051787,0.04400222610756994,0.04400222446051787,0.04400222610756994,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.5880709,1789391775.5880709,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5869339,2.0,0.0030078599622822754,0.0,0.0,0.004,0.0,0.047195945154513363,0.047195946863649516,0.047195945154513363,0.047195946863649516,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.59782,1789391775.59782,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.5969412,2.0,0.0035094408964395736,0.0,0.0,0.004,0.0,0.050516464179305914,0.05051646587522335,0.050516464179305914,0.05051646587522335,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6073582,1789391775.6073582,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.6068394,2.0,0.0038605482046663426,0.0,0.0,0.004,0.0,0.05379702500062435,0.053797026762527185,0.05379702500062435,0.053797026762527185,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.617589,1789391775.617589,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.6168413,2.0,0.00443996356796901,0.0,0.0,0.004,0.0,0.0572605158505171,0.0572605175944544,0.0572605158505171,0.0572605175944544,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6276634,1789391775.6276634,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.626896,2.0,0.004856544091105716,0.0,0.0,0.004,0.0,0.061030339259279795,0.06103034107758491,0.061030339259279795,0.06103034107758491,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6377206,1789391775.6377206,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.6368113,2.0,0.005517829902276607,0.0,0.0,0.004,0.0,0.06438374131853514,0.06438374310294157,0.06438374131853514,0.06438374310294157,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6477559,1789391775.6477559,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.6468108,2.0,0.005976121891732172,0.0,0.0,0.004,0.0,0.06787136920271768,0.06787137106541459,0.06787136920271768,0.06787137106541459,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6577911,1789391775.6577911,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.656807,2.0,0.006719279034482147,0.0,0.0,0.004,0.0,0.07140622072857249,0.07140622255489536,0.07140622072857249,0.07140622255489536,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6677082,1789391775.6677082,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.66681,2.0,0.007234460999879497,0.0,0.0,0.004,0.0,0.07496205409617478,0.0749620560042454,0.07496205409617478,0.0749620560042454,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6777508,1789391775.6777508,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.6768095,2.0,0.008062946980148769,0.0,0.0,0.004,0.0,0.07848262774074767,0.07848262959583506,0.07848262774074767,0.07848262959583506,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6876428,1789391775.6876428,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.6868074,2.0,0.008634325070262926,0.0,0.0,0.004,0.0,0.08205529496952456,0.08205529690722867,0.08205529496952456,0.08205529690722867,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.6980507,1789391775.6980507,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.6968741,2.0,0.00954780214102717,0.0,0.0,0.004,0.0,0.08558586242437634,0.08558586429096791,0.08558586242437634,0.08558586429096791,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789391775.7079854,1789391775.7079854,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789391775.7069862,2.0,0.010175937624125962,0.0,0.0,0.004,0.0,0.08917764282673431,0.08917764478009223,0.08917764282673431,0.08917764478009223,0.0,0.0]"
