topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789391509.4082692,1789391509.4082692,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.407821,1.0,0.01723939966703794,0.01645297644945386,0.016452942570917287,0.01645297644945386,0.016452942570917287,0.16,0.16,0.0,0.016788575043301404,0.016788576626209334,0.016788575043301404,0.016788576626209334,0.16,0.16,0.0,0.01723939813682203,0.01723939966703794,0.01723939813682203,0.01723939966703794,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.4183953,1789391509.4183953,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4178882,1.0,0.020440131286431462,0.020440131286431462,0.020440096085804535,0.020440131286431462,0.020440096085804535,0.16,0.16,0.0,0.019305574625844625,0.019305576114907658,0.019305574625844625,0.019305576114907658,0.16,0.16,0.0,0.01992492488939608,0.019924926351115875,0.01992492488939608,0.019924926351115875,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.4282591,1789391509.4282591,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4278126,1.0,0.022479648469453273,0.0214554475293361,0.02145540992990487,0.0214554475293361,0.02145540992990487,0.16,0.16,0.0,0.02178844021194165,0.02178844178733543,0.02178844021194165,0.02178844178733543,0.16,0.16,0.0,0.022479646946392894,0.022479648469453273,0.022479646946392894,0.022479648469453273,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.438242,1789391509.438242,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4378161,1.0,0.025862699151084127,0.025862699151084127,0.025862659606829846,0.025862699151084127,0.025862659606829846,0.16,0.16,0.0,0.024487340886838595,0.024487342367500286,0.024487340886838595,0.024487342367500286,0.16,0.16,0.0,0.02538411408637833,0.02538411553957497,0.02538411408637833,0.02538411553957497,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.448271,1789391509.448271,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.447872,1.0,0.028227553265497023,0.026964605685439947,0.026964563258230916,0.026964605685439947,0.026964563258230916,0.16,0.16,0.0,0.027274364111159213,0.02727436569503552,0.027274364111159213,0.02727436569503552,0.16,0.16,0.0,0.028227551734651718,0.028227553265497023,0.028227551734651718,0.028227553265497023,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.4585514,1789391509.4585514,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4579492,1.0,0.0317732335593672,0.0317732335593672,0.03177318836316988,0.0317732335593672,0.03177318836316988,0.16,0.16,0.0,0.030167357108812184,0.030167358598574768,0.030167357108812184,0.030167358598574768,0.16,0.16,0.0,0.03135275309791844,0.031352754559559624,0.03135275309791844,0.031352754559559624,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.4684367,1789391509.4684367,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4678512,1.0,0.03429431199133264,0.0327898028899495,0.03278975441076638,0.0327898028899495,0.03278975441076638,0.16,0.16,0.0,0.03306953914158612,0.03306954074883541,0.03306953914158612,0.03306954074883541,0.16,0.16,0.0,0.03429431043842807,0.03429431199133264,0.03429431043842807,0.03429431199133264,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.4783633,1789391509.4783633,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4777994,1.0,0.037953750261616966,0.037953750261616966,0.0379536981878106,0.037953750261616966,0.0379536981878106,0.16,0.16,0.0,0.03614979590602714,0.03614979740828221,0.03614979590602714,0.03614979740828221,0.16,0.16,0.0,0.037631866928854854,0.03763186840198311,0.037631866928854854,0.03763186840198311,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.4883008,1789391509.4883008,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4878168,1.0,0.04081084771665128,0.03907413473676887,0.0390740786752753,0.03907413473676887,0.0390740786752753,0.16,0.16,0.0,0.03932893780520921,0.03932893944508607,0.03932893780520921,0.03932893944508607,0.16,0.16,0.0,0.040810846133055245,0.04081084771665128,0.040810846133055245,0.04081084771665128,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789391509.4983177,1789391509.4983177,formal_execution_limiter_v1:header4+3x7,"[1.0,1789391509.4978507,1.0,0.044629447530859886,0.044629447530859886,0.04462938681605025,0.044629447530859886,0.04462938681605025,0.16,0.16,0.0,0.042554575490624795,0.04255457701031396,0.042554575490624795,0.04255457701031396,0.16,0.16,0.0,0.04432295018605201,0.04432295167530628,0.04432295018605201,0.04432295167530628,0.16,0.16,0.0]"
