topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789558658.3894558,1789558658.389353,1789558658.389342,1,62783,72195,459645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.3979723,1789558658.3949857,1789558658.3949432,2,60582,72196,169760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.3996441,1789558658.3976393,1789558658.3976295,3,56857,72196,170729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.4015148,1789558658.401386,1789558658.3973608,1,62784,72197,459647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4039934,1789558658.4029834,1789558658.4029443,2,60583,72196,169762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4095697,1789558658.4096408,1789558658.4056358,3,56858,72197,170731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.4095812,1789558658.4093876,1789558658.4053292,1,62785,72197,459649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.415658,1789558658.4150157,1789558658.4109538,2,60584,72198,169764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4174054,1789558658.417629,1789558658.4136372,3,56859,72198,170733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.42156,1789558658.421407,1789558658.4213905,1,62786,72199,459653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4244273,1789558658.4228969,1789558658.4189684,2,60585,72198,169766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.42958,1789558658.4293876,1789558658.429372,1,62787,72199,459655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4309347,1789558658.4296396,1789558658.4296298,3,56860,72199,170737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4353974,1789558658.4350383,1789558658.4349923,2,60586,72200,169770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4381015,1789558658.4376416,1789558658.4376318,3,56861,72200,170739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.4415004,1789558658.4414089,1789558658.4373827,1,62788,72201,459657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4433703,1789558658.443018,1789558658.4429722,2,60587,72201,169772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.4494874,1789558658.4493487,1789558658.4453304,1,62789,72201,459659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4505892,1789558658.4496415,1789558658.4456327,3,56862,72201,170741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4551284,1789558658.45503,1789558658.450952,2,60588,72202,169774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4587605,1789558658.4576454,1789558658.4536371,3,56863,72202,170743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.4615047,1789558658.461408,1789558658.4613888,1,62790,72203,459663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4638138,1789558658.4630222,1789558658.458965,2,60589,72203,169776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4694219,1789558658.469648,1789558658.469638,3,56864,72203,170747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.469456,1789558658.4693875,1789558658.4693782,1,62791,72203,459665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4750733,1789558658.4749966,1789558658.474958,2,60590,72204,169780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4772153,1789558658.4776535,1789558658.4776437,3,56865,72204,170749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.4815364,1789558658.4813764,1789558658.4773216,1,62792,72205,459667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4862468,1789558658.4830093,1789558658.4829679,2,60591,72205,169782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.4895332,1789558658.489642,1789558658.4856327,3,56866,72205,170751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.489553,1789558658.4893982,1789558658.4853666,1,62793,72205,459669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.4967139,1789558658.4950275,1789558658.4909642,2,60592,72206,169784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.499661,1789558658.4976273,1789558658.4935958,3,56867,72206,170753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789558658.5015295,1789558658.5013974,1789558658.5013807,1,62794,72207,459673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.293333053588867,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789558658.5035236,1789558658.5030572,1789558658.498948,2,60593,72206,169786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259560585021973,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789558658.5093756,1789558658.5096414,1789558658.5096316,3,56868,72207,170757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887252807617188,False,False,False,False,False,False,False
