topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789626982.3753436,1789626982.3753436,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.3743293,2.0,0.008187593697325378,0.0,0.0,0.004,0.0,-1.473774785691746e-07,-1.391145036206397e-07,-1.473774785691746e-07,-1.391145036206397e-07,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.3850315,1789626982.3850315,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.3842409,2.0,0.008187593697325385,0.0,0.0,0.004,0.0,-1.1417330023846841e-06,-1.0777653991415835e-06,-1.1417330023846841e-06,-1.0777653991415835e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.3949,1789626982.3949,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.3942344,2.0,0.008187593697325385,0.0,0.0,0.004,0.0,-3.809513767529899e-06,-3.5961850730475176e-06,-3.809513767529899e-06,-3.5961850730475176e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4050038,1789626982.4050038,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.4043133,2.0,0.008187593697325385,0.0,0.0,0.004,0.0,-8.972643915532634e-06,-8.470509340597756e-06,-8.972643915532634e-06,-8.470509340597756e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4147577,1789626982.4147577,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.4141998,2.0,0.00820507044710294,0.0,0.0,0.004,0.0,-1.7183637472156874e-05,-1.6218590019410936e-05,-1.7183637472156874e-05,-1.6218590019410936e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.424845,1789626982.424845,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.424233,2.0,0.00820507044710294,0.0,0.0,0.004,0.0,-2.9359955832793263e-05,-2.771199322994351e-05,-2.9359955832793263e-05,-2.771199322994351e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4348986,1789626982.4348986,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.434218,2.0,0.00818845669666813,0.0,0.0,0.004,0.0,-4.5937743662545746e-05,-4.336431578419495e-05,-4.5937743662545746e-05,-4.336431578419495e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4448247,1789626982.4448247,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.444184,2.0,0.00818845669666813,0.0,0.0,0.004,0.0,-6.75774908824054e-05,-6.379354702505498e-05,-6.75774908824054e-05,-6.379354702505498e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4552133,1789626982.4552133,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.4541824,2.0,0.00818845669666813,0.0,0.0,0.004,0.0,-9.493592389017183e-05,-8.962227370295233e-05,-9.493592389017183e-05,-8.962227370295233e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4649959,1789626982.4649959,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.4642358,2.0,0.008180418953145356,0.0,0.0,0.004,0.0,-0.00012861969435996206,-0.00012143082912892594,-0.00012861969435996206,-0.00012143082912892594,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4749177,1789626982.4749177,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.4742062,2.0,0.008180418953145356,0.0,0.0,0.004,0.0,-0.00016873561845892274,-0.0001593074768783148,-0.00016873561845892274,-0.0001593074768783148,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4847813,1789626982.4847813,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.4841995,2.0,0.008180418953145356,0.0,0.0,0.004,0.0,-0.0002160429526328674,-0.00020397456185634703,-0.0002160429526328674,-0.00020397456185634703,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.4948554,1789626982.4948554,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.4942248,2.0,0.008180418953145356,0.0,0.0,0.004,0.0,-0.00027108289186010515,-0.00025593700009833294,-0.00027108289186010515,-0.00025593700009833294,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.5050569,1789626982.5050569,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.5042555,2.0,0.008180418953145356,0.0,0.0,0.004,0.0,-0.0003341115240276212,-0.00031544668311170494,-0.0003341115240276212,-0.00031544668311170494,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.5149016,1789626982.5149016,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.5142195,2.0,0.008180902183109455,0.0,0.0,0.004,0.0,-0.0004050295441905072,-0.0003823181303656163,-0.0004050295441905072,-0.0003823181303656163,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626982.5248744,1789626982.5248744,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626982.524232,2.0,0.008180902183109455,0.0,0.0,0.004,0.0,-0.0004848210448508571,-0.00045763580227894653,-0.0004848210448508571,-0.00045763580227894653,0.0,0.0]"
