topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789626091.5020761,1789626091.5018933,1,4481,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv2/capability_report,1789626091.513972,1789626091.5146775,2,4298,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv1/capability_report,1789626091.5139763,1789626091.513832,1,4482,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv3/capability_report,1789626091.5197866,1789626091.5210402,3,4198,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv1/capability_report,1789626091.5219307,1789626091.5218327,1,4483,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv2/capability_report,1789626091.5220728,1789626091.5227175,2,4299,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv3/capability_report,1789626091.5276127,1789626091.5290406,3,4199,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv2/capability_report,1789626091.533664,1789626091.5347104,2,4300,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv1/capability_report,1789626091.5340407,1789626091.533832,1,4484,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv3/capability_report,1789626091.53962,1789626091.541194,3,4200,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv1/capability_report,1789626091.5419278,1789626091.541835,1,4485,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv2/capability_report,1789626091.5429807,1789626091.542603,2,4301,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv3/capability_report,1789626091.5478256,1789626091.5491943,3,4201,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv2/capability_report,1789626091.552885,1789626091.5547156,2,4302,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv1/capability_report,1789626091.5539067,1789626091.5538206,1,4486,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv2/capability_report,1789626091.5609782,1789626091.5627935,2,4303,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv1/capability_report,1789626091.5618985,1789626091.5618303,1,4487,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv3/capability_report,1789626091.563627,1789626091.5610495,3,4202,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv3/capability_report,1789626091.5674622,1789626091.56904,3,4203,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv2/capability_report,1789626091.5734951,1789626091.5747237,2,4304,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv1/capability_report,1789626091.5739331,1789626091.5738423,1,4488,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv3/capability_report,1789626091.5799925,1789626091.5811958,3,4204,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv1/capability_report,1789626091.5820053,1789626091.581832,1,4489,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.002490997314453
/agv2/capability_report,1789626091.5849202,1789626091.5826013,2,4305,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv3/capability_report,1789626091.5879903,1789626091.5891764,3,4205,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv1/capability_report,1789626091.593991,1789626091.5938482,1,4490,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.639047622680664
/agv2/capability_report,1789626091.5948362,1789626091.594763,2,4306,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.444029808044434
/agv2/capability_report,1789626091.601319,1789626091.6027422,2,4307,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv1/capability_report,1789626091.6019342,1789626091.6018465,1,4491,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.639047622680664
/agv3/capability_report,1789626091.6103294,1789626091.60104,3,4206,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv3/capability_report,1789626091.611875,1789626091.6090376,3,4207,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv2/capability_report,1789626091.6138432,1789626091.6146958,2,4308,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv1/capability_report,1789626091.6139815,1789626091.613876,1,4492,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.639047622680664
/agv1/capability_report,1789626091.6219876,1789626091.6218479,1,4493,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.639047622680664
/agv3/capability_report,1789626091.6220458,1789626091.621041,3,4208,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv2/capability_report,1789626091.6236284,1789626091.622578,2,4309,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv3/capability_report,1789626091.6276,1789626091.6291592,3,4209,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv2/capability_report,1789626091.6336992,1789626091.634742,2,4310,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv1/capability_report,1789626091.6340063,1789626091.6338692,1,4494,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.639047622680664
/agv3/capability_report,1789626091.639543,1789626091.6410923,3,4210,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv2/capability_report,1789626091.641341,1789626091.6427402,2,4311,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv1/capability_report,1789626091.641955,1789626091.6418521,1,4495,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.639047622680664
/agv3/capability_report,1789626091.6504266,1789626091.64904,3,4211,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.958168983459473
/agv2/capability_report,1789626091.6537151,1789626091.6547155,2,4312,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
