topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789626091.502076,1789626091.5018933,1789626091.5018709,1,4481,50208,586640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.513981,1789626091.513832,1789626091.509829,1,4482,50209,586642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.5159173,1789626091.5146775,1789626091.5106678,2,4298,50209,586075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.5198026,1789626091.5210402,1789626091.5171914,3,4198,50210,585854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.5219154,1789626091.5218327,1789626091.517825,1,4483,50210,586644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.5220754,1789626091.5227175,1789626091.5185974,2,4299,50210,586077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.5276191,1789626091.5290406,1789626091.5251806,3,4199,50211,585856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.5324178,1789626091.5347104,1789626091.5346673,2,4300,50211,586081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.5340354,1789626091.533832,1789626091.533818,1,4484,50211,586648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.5396264,1789626091.541194,1789626091.5411842,3,4200,50212,585860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.5419211,1789626091.541835,1789626091.5418193,1,4485,50212,586650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.542987,1789626091.542603,1789626091.5346673,2,4301,50212,586081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.5478349,1789626091.5491943,1789626091.5491846,3,4201,50213,585862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.5523667,1789626091.5547156,1789626091.5507054,2,4302,50213,586085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.5538929,1789626091.5538206,1789626091.549817,1,4486,50213,586652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.560471,1789626091.5627935,1789626091.558675,2,4303,50214,586087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.561893,1789626091.5618303,1789626091.5578206,1,4487,50214,586654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.5636356,1789626091.5610495,1789626091.5571806,3,4202,50214,585864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.5674787,1789626091.56904,1789626091.5651722,3,4203,50215,585866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.5727255,1789626091.5747237,1789626091.5746777,2,4304,50215,586091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.573925,1789626091.5738423,1789626091.5738232,1,4488,50215,586658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.579994,1789626091.5811958,1789626091.581186,3,4204,50216,585870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.5819802,1789626091.581832,1789626091.5818174,1,4489,50216,586660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.002490997314453,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.5849278,1789626091.5826013,1789626091.5746777,2,4305,50216,586091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.5879846,1789626091.5891764,1789626091.5891666,3,4205,50217,585872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.593987,1789626091.5938482,1789626091.589817,1,4490,50217,586662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.639047622680664,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.5948627,1789626091.594763,1789626091.5906904,2,4306,50217,586095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.444029808044434,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.6013412,1789626091.6027422,1789626091.5986397,2,4307,50218,586097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.328791618347168,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.60193,1789626091.6018465,1789626091.5978374,1,4491,50218,586664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.639047622680664,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.6103342,1789626091.60104,1789626091.597181,3,4206,50218,585874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.6119843,1789626091.6090376,1789626091.6051857,3,4207,50218,585876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789626091.613828,1789626091.6146958,1789626091.6146615,2,4308,50219,586101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.328791618347168,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.6139796,1789626091.613876,1789626091.6138465,1,4492,50219,586668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.639047622680664,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789626091.6219773,1789626091.6218479,1789626091.6218288,1,4493,50220,586670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.639047622680664,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789626091.6220653,1789626091.621041,1789626091.6210313,3,4208,50220,585880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.958168983459473,False,False,False,False,False,False,False
