topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789626091.6939988,1789626091.6939988,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.6934383,1.0,1.3614197788834867e-07,-1.3167209880750647e-07,-1.2934416032643286e-07,-1.3167209880750647e-07,-1.2934416032643286e-07,0.16,0.16,0.00719351515947548,-9.219748197337142e-08,-7.930282008705867e-08,-9.219748197337142e-08,-7.930282008705867e-08,0.16,0.16,0.0005310945993258566,1.3614197788834867e-07,1.3268627825698183e-07,1.3614197788834867e-07,1.3268627825698183e-07,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.7043245,1789626091.7043245,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7035232,1.0,1.1039560979906116e-06,-1.0676784233259833e-06,-1.0488149211226176e-06,-1.0676784233259833e-06,-1.0488149211226176e-06,0.16,0.16,0.00719351515947548,-7.471544714253595e-07,-6.426678267831976e-07,-7.471544714253595e-07,-6.426678267831976e-07,0.16,0.16,0.0005310945993258566,1.1039560979906116e-06,1.0759542424836984e-06,1.1039560979906116e-06,1.0759542424836984e-06,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.7140784,1789626091.7140784,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7134566,1.0,3.6524802414272082e-06,-3.532351739209039e-06,-3.469982501501511e-06,-3.532351739209039e-06,-3.469982501501511e-06,0.16,0.16,0.00719351515947548,-2.47055943587182e-06,-2.1250905974256013e-06,-2.47055943587182e-06,-2.1250905974256013e-06,0.16,0.16,0.0005310945993258566,3.6524802414272082e-06,3.559896462010622e-06,3.6524802414272082e-06,3.559896462010622e-06,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.7242274,1789626091.7242274,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7234538,1.0,8.55323822037327e-06,-8.257221021382835e-06,-8.122176087466126e-06,-8.257221021382835e-06,-8.122176087466126e-06,0.16,0.16,0.00719351515947548,-5.7917495015050034e-06,-4.979618520673708e-06,-5.7917495015050034e-06,-4.979618520673708e-06,0.16,0.16,0.0005310945993258566,8.55323822037327e-06,8.337020621440214e-06,8.55323822037327e-06,8.337020621440214e-06,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.733947,1789626091.733947,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.733396,1.0,1.643811727711107e-05,-1.587086801666001e-05,-1.5612225368266447e-05,-1.587086801666001e-05,-1.5612225368266447e-05,0.16,0.16,0.00719351515947548,-1.1126559172088225e-05,-9.567252170347502e-06,-1.1126559172088225e-05,-9.567252170347502e-06,0.16,0.16,0.0005310945993258566,1.643811727711107e-05,1.6034672629926362e-05,1.643811727711107e-05,1.6034672629926362e-05,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.7441068,1789626091.7441068,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7434626,1.0,2.8145739004828763e-05,-2.717352777018599e-05,-2.67309197959934e-05,-2.717352777018599e-05,-2.67309197959934e-05,0.16,0.16,0.00719351515947548,-1.904164629363766e-05,-1.6373248182668383e-05,-1.904164629363766e-05,-1.6373248182668383e-05,0.16,0.16,0.0005310945993258566,2.8145739004828763e-05,2.7455335575418325e-05,2.8145739004828763e-05,2.7455335575418325e-05,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.7540503,1789626091.7540503,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7534199,1.0,4.4052497859310646e-05,-4.248258598029686e-05,-4.181690830842827e-05,-4.248258598029686e-05,-4.181690830842827e-05,0.16,0.16,0.00719351515947548,-2.975837849660248e-05,-2.558776468365862e-05,-2.975837849660248e-05,-2.558776468365862e-05,0.16,0.16,0.0005310945993258566,4.4052497859310646e-05,4.297861327723526e-05,4.4052497859310646e-05,4.297861327723526e-05,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.7639117,1789626091.7639117,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7634337,1.0,6.492789009957048e-05,-6.261115159537341e-05,-6.163049204075051e-05,-6.261115159537341e-05,-6.163049204075051e-05,0.16,0.16,0.00719351515947548,-4.384040946430807e-05,-3.7696369723372645e-05,-4.384040946430807e-05,-3.7696369723372645e-05,0.16,0.16,0.0005310945993258566,6.492789009957048e-05,6.334587138849027e-05,6.492789009957048e-05,6.334587138849027e-05,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.774116,1789626091.774116,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7733996,1.0,9.111658678043706e-05,-8.786066154803817e-05,-8.648505728352621e-05,-8.786066154803817e-05,-8.648505728352621e-05,0.16,0.16,0.00719351515947548,-6.149734424109033e-05,-5.2878898785418504e-05,-6.149734424109033e-05,-5.2878898785418504e-05,0.16,0.16,0.0005310945993258566,9.111658678043706e-05,8.889743761845699e-05,9.111658678043706e-05,8.889743761845699e-05,0.16,0.16,-0.007707679951514861]"
/multi_agv/formal_execution_limiter_state,1789626091.7840421,1789626091.7840421,formal_execution_limiter_v1:header4+3x7,"[1.0,1789626091.7834704,1.0,0.00012356553277972267,-0.00011914232256493488,-0.00011727757592791114,-0.00011914232256493488,-0.00011727757592791114,0.16,0.16,0.00719351515947548,-7.687229527894862e-05,-6.518928369966198e-05,-7.687229527894862e-05,-6.518928369966198e-05,0.16,0.16,0.0005310945993258566,0.00012356553277972267,0.00012055729399371519,0.00012356553277972267,0.00012055729399371517,0.16,0.16,-0.007707679951514861]"
