topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789626091.6940851,1789626091.6940851,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.6934383,2.0,0.0005245451692314773,0.0,0.0,0.004,0.0,-9.219748197337142e-08,-7.930282008705867e-08,-9.219748197337142e-08,-7.930282008705867e-08,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.7043364,1789626091.7043364,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7035232,2.0,0.0005245451692314843,0.0,0.0,0.004,0.0,-7.471544714253595e-07,-6.426678267831976e-07,-7.471544714253595e-07,-6.426678267831976e-07,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.7141352,1789626091.7141352,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7134566,2.0,0.0005245451692314843,0.0,0.0,0.004,0.0,-2.47055943587182e-06,-2.1250905974256013e-06,-2.47055943587182e-06,-2.1250905974256013e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.7242327,1789626091.7242327,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7234538,2.0,0.0005396253686954303,0.0,0.0,0.004,0.0,-5.7917495015050034e-06,-4.979618520673708e-06,-5.7917495015050034e-06,-4.979618520673708e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.7339587,1789626091.7339587,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.733396,2.0,0.0005396253686954233,0.0,0.0,0.004,0.0,-1.1126559172088225e-05,-9.567252170347502e-06,-1.1126559172088225e-05,-9.567252170347502e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.74411,1789626091.74411,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7434626,2.0,0.0005396253686954233,0.0,0.0,0.004,0.0,-1.904164629363766e-05,-1.6373248182668383e-05,-1.904164629363766e-05,-1.6373248182668383e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.7540643,1789626091.7540643,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7534199,2.0,0.0005326857798846826,0.0,0.0,0.004,0.0,-2.975837849660248e-05,-2.558776468365862e-05,-2.975837849660248e-05,-2.558776468365862e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.7639217,1789626091.7639217,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7634337,2.0,0.0005326857798846861,0.0,0.0,0.004,0.0,-4.384040946430807e-05,-3.7696369723372645e-05,-4.384040946430807e-05,-3.7696369723372645e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.7741497,1789626091.7741497,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7733996,2.0,0.0005326857798846896,0.0,0.0,0.004,0.0,-6.149734424109033e-05,-5.2878898785418504e-05,-6.149734424109033e-05,-5.2878898785418504e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789626091.784055,1789626091.784055,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789626091.7834704,2.0,0.0005326857798846896,0.0,0.0,0.004,0.0,-7.687229527894862e-05,-6.518928369966198e-05,-7.687229527894862e-05,-6.518928369966198e-05,0.0,0.0]"
