topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1789558326.9593236,1789558326.9593236,0.6661
/camera/world/agv2_confidence,1789558326.9593678,1789558326.9593678,0.6534
/camera/world/agv3_confidence,1789558326.9595537,1789558326.9595537,0.6555
/camera/world/agv1_confidence,1789558326.9873917,1789558326.9873917,0.6656
/camera/world/agv2_confidence,1789558326.9874775,1789558326.9874775,0.6538
/camera/world/agv3_confidence,1789558326.9876394,1789558326.9876394,0.6558
/camera/world/agv2_confidence,1789558327.0161445,1789558327.0161445,0.6543
/camera/world/agv1_confidence,1789558327.0162444,1789558327.0162444,0.6673
/camera/world/agv3_confidence,1789558327.01629,1789558327.01629,0.6561
/camera/world/agv1_confidence,1789558327.0469165,1789558327.0469165,0.6669
/camera/world/agv3_confidence,1789558327.0472019,1789558327.0472019,0.6554
/camera/world/agv2_confidence,1789558327.0472388,1789558327.0472388,0.6544
/camera/world/agv3_confidence,1789558327.078944,1789558327.078944,0.6558
/camera/world/agv2_confidence,1789558327.0790062,1789558327.0790062,0.6533
/camera/world/agv1_confidence,1789558327.0790102,1789558327.0790102,0.6669
/camera/world/agv2_confidence,1789558327.1102037,1789558327.1102037,0.6535
/camera/world/agv1_confidence,1789558327.1102612,1789558327.1102612,0.6662
/camera/world/agv3_confidence,1789558327.110531,1789558327.110531,0.6567
/camera/world/agv1_confidence,1789558327.1408055,1789558327.1408055,0.6666
/camera/world/agv2_confidence,1789558327.1409209,1789558327.1409209,0.6522
/camera/world/agv3_confidence,1789558327.1410196,1789558327.1410196,0.6558
/camera/world/agv1_confidence,1789558327.1701882,1789558327.1701882,0.6669
/camera/world/agv3_confidence,1789558327.1702564,1789558327.1702564,0.6549
/camera/world/agv2_confidence,1789558327.1702595,1789558327.1702595,0.6536
/camera/world/agv1_confidence,1789558327.2259727,1789558327.2259727,0.6666
/camera/world/agv2_confidence,1789558327.2260115,1789558327.2260115,0.6542
/camera/world/agv3_confidence,1789558327.2260375,1789558327.2260375,0.6554
/camera/world/agv1_confidence,1789558327.2491863,1789558327.2491863,0.666
/camera/world/agv2_confidence,1789558327.2491927,1789558327.2491927,0.653
/camera/world/agv3_confidence,1789558327.2494128,1789558327.2494128,0.6557
/camera/world/agv1_confidence,1789558327.2811913,1789558327.2811913,0.6667
/camera/world/agv2_confidence,1789558327.2811952,1789558327.2811952,0.6543
/camera/world/agv3_confidence,1789558327.2814991,1789558327.2814991,0.6555
/camera/world/agv3_confidence,1789558327.3130147,1789558327.3130147,0.6555
/camera/world/agv1_confidence,1789558327.3130522,1789558327.3130522,0.6665
/camera/world/agv2_confidence,1789558327.3131335,1789558327.3131335,0.6534
/camera/world/agv1_confidence,1789558327.3440158,1789558327.3440158,0.6667
/camera/world/agv3_confidence,1789558327.3440557,1789558327.3440557,0.6564
/camera/world/agv2_confidence,1789558327.3440833,1789558327.3440833,0.653
/camera/world/agv1_confidence,1789558327.3758433,1789558327.3758433,0.6667
/camera/world/agv3_confidence,1789558327.3760355,1789558327.3760355,0.6563
/camera/world/agv2_confidence,1789558327.376059,1789558327.376059,0.6538
/camera/world/agv2_confidence,1789558327.4088485,1789558327.4088485,0.6535
/camera/world/agv1_confidence,1789558327.4089227,1789558327.4089227,0.6663
/camera/world/agv3_confidence,1789558327.40911,1789558327.40911,0.6563
/camera/world/agv1_confidence,1789558327.4433916,1789558327.4433916,0.6667
/camera/world/agv2_confidence,1789558327.443473,1789558327.443473,0.6535
/camera/world/agv3_confidence,1789558327.4435399,1789558327.4435399,0.6562
/camera/world/agv1_confidence,1789558327.4750185,1789558327.4750185,0.6668
/camera/world/agv2_confidence,1789558327.4751003,1789558327.4751003,0.6539
/camera/world/agv3_confidence,1789558327.4751537,1789558327.4751537,0.6557
/camera/world/agv2_confidence,1789558327.5162737,1789558327.5162737,0.6531
/camera/world/agv3_confidence,1789558327.5162778,1789558327.5162778,0.6561
/camera/world/agv1_confidence,1789558327.516295,1789558327.516295,0.6672
/camera/world/agv1_confidence,1789558327.547394,1789558327.547394,0.6664
/camera/world/agv3_confidence,1789558327.5474508,1789558327.5474508,0.6557
/camera/world/agv2_confidence,1789558327.547493,1789558327.547493,0.655
/camera/world/agv1_confidence,1789558327.5808244,1789558327.5808244,0.6675
/camera/world/agv2_confidence,1789558327.5808482,1789558327.5808482,0.6547
/camera/world/agv3_confidence,1789558327.5809813,1789558327.5809813,0.6561
/camera/world/agv1_confidence,1789558327.6123269,1789558327.6123269,0.6657
/camera/world/agv2_confidence,1789558327.6123874,1789558327.6123874,0.6534
/camera/world/agv3_confidence,1789558327.6124027,1789558327.6124027,0.6556
/camera/world/agv1_confidence,1789558327.641314,1789558327.641314,0.6664
/camera/world/agv2_confidence,1789558327.6413488,1789558327.6413488,0.6541
/camera/world/agv3_confidence,1789558327.6415002,1789558327.6415002,0.6557
/camera/world/agv1_confidence,1789558327.6728046,1789558327.6728046,0.6665
/camera/world/agv3_confidence,1789558327.672805,1789558327.672805,0.6563
/camera/world/agv2_confidence,1789558327.6728532,1789558327.6728532,0.6537
/camera/world/agv2_confidence,1789558327.7042472,1789558327.7042472,0.6541
/camera/world/agv1_confidence,1789558327.70437,1789558327.70437,0.6655
/camera/world/agv3_confidence,1789558327.7044194,1789558327.7044194,0.6564
/camera/world/agv1_confidence,1789558327.7512496,1789558327.7512496,0.6652
/camera/world/agv2_confidence,1789558327.7514977,1789558327.7514977,0.653
/camera/world/agv3_confidence,1789558327.751705,1789558327.751705,0.655
/camera/world/agv1_confidence,1789558327.7837603,1789558327.7837603,0.6647
/camera/world/agv3_confidence,1789558327.7841868,1789558327.7841868,0.6562
/camera/world/agv2_confidence,1789558327.7842507,1789558327.7842507,0.6541
/camera/world/agv1_confidence,1789558327.8145578,1789558327.8145578,0.6624
/camera/world/agv2_confidence,1789558327.814565,1789558327.814565,0.6536
/camera/world/agv3_confidence,1789558327.8147402,1789558327.8147402,0.656
/camera/world/agv1_confidence,1789558327.8460846,1789558327.8460846,0.6642
/camera/world/agv2_confidence,1789558327.8462565,1789558327.8462565,0.6535
/camera/world/agv3_confidence,1789558327.8463094,1789558327.8463094,0.6554
/camera/world/agv1_confidence,1789558327.8792508,1789558327.8792508,0.6657
/camera/world/agv2_confidence,1789558327.8793104,1789558327.8793104,0.6531
/camera/world/agv3_confidence,1789558327.8793364,1789558327.8793364,0.6559
/camera/world/agv2_confidence,1789558327.908827,1789558327.908827,0.6535
/camera/world/agv1_confidence,1789558327.9089303,1789558327.9089303,0.6664
/camera/world/agv3_confidence,1789558327.9090116,1789558327.9090116,0.6541
/camera/world/agv2_confidence,1789558327.9411852,1789558327.9411852,0.6526
/camera/world/agv1_confidence,1789558327.9413276,1789558327.9413276,0.6671
/camera/world/agv3_confidence,1789558327.941383,1789558327.941383,0.6532
/camera/world/agv1_confidence,1789558327.9792922,1789558327.9792922,0.6638
/camera/world/agv2_confidence,1789558327.9794033,1789558327.9794033,0.6516
/camera/world/agv3_confidence,1789558327.9795518,1789558327.9795518,0.6567
/camera/world/agv1_confidence,1789558328.019602,1789558328.019602,0.6645
/camera/world/agv2_confidence,1789558328.0197542,1789558328.0197542,0.6517
/camera/world/agv3_confidence,1789558328.0199487,1789558328.0199487,0.6557
/camera/world/agv1_confidence,1789558328.0504868,1789558328.0504868,0.666
/camera/world/agv2_confidence,1789558328.0505633,1789558328.0505633,0.6541
/camera/world/agv3_confidence,1789558328.0506573,1789558328.0506573,0.6549
/camera/world/agv1_confidence,1789558328.0817206,1789558328.0817206,0.6665
/camera/world/agv2_confidence,1789558328.0819695,1789558328.0819695,0.6547
/camera/world/agv3_confidence,1789558328.0821586,1789558328.0821586,0.6532
