topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/candidate_B_spatial_composite_state,1789620624.5148118,1789620624.5148118,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.5141447,1789620624.5147357,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.16056051819191675,0.0002129787481971904,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.190432027643092e-06,6.189715553853534e-06,6.190073790748313e-06,-5.288240654575939e-09,6.190073790748313e-06,6.190073790748313e-06,-5.288240654575939e-09,6.190432027643092e-06,6.189715553853534e-06,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.135484339,6.190432027643092e-06,6.189715553853534e-06,1.0,2.0,0.0,0.17631361029386233,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.140132988532876e-06,-6.147642787273448e-06,-6.143887887903162e-06,-5.3916980791675327e-08,-6.143887887903162e-06,-6.143887887903162e-06,-5.3916980791675327e-08,-6.140132988532876e-06,-6.147642787273448e-06,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.139284482,-6.140132988532876e-06,-6.147642787273448e-06,1.0,3.0,0.0,0.17592833873384323,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.1472196467780545e-06,-6.1413761427616565e-06,-6.1442978947698555e-06,4.271478492883357e-08,-6.1442978947698555e-06,-6.1442978947698555e-06,4.271478492883357e-08,-6.1472196467780545e-06,-6.1413761427616565e-06,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.136802843,-6.1472196467780545e-06,-6.1413761427616565e-06,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.5254803,1789620624.5254803,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.5241678,1789620624.5252275,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.16056051819191675,0.0002129787481971904,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.295078252076304e-05,1.2945120757158776e-05,1.2947951638960908e-05,-4.178906319396257e-08,1.2947951638960908e-05,1.2947951638960908e-05,-4.178906319396257e-08,1.295078252076304e-05,1.2945120757158776e-05,0.0,0.0,0.0,0.0,0.16,0.0,6.190432027643092e-06,6.189715553853534e-06,0.0,0.0,0.135484339,1.295078252076304e-05,1.2945120757158776e-05,1.0,2.0,0.0,0.17631361029386233,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.255192535378135e-05,-1.2611377268438342e-05,-1.2581651311109846e-05,-4.268380353885547e-07,-1.2581651311109846e-05,-1.2581651311109846e-05,-4.268380353885547e-07,-1.255192535378135e-05,-1.2611377268438342e-05,0.0,0.0,0.0,0.0,0.16,0.0,-6.140132988532876e-06,-6.147642787273448e-06,0.0,0.0,0.139284482,-1.255192535378135e-05,-1.2611377268438342e-05,1.0,3.0,0.0,0.17592833873384323,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2608033317016088e-05,-1.2561772756416113e-05,-1.25849030367161e-05,3.381549650980175e-07,-1.25849030367161e-05,-1.25849030367161e-05,3.381549650980175e-07,-1.2608033317016088e-05,-1.2561772756416113e-05,0.0,0.0,0.0,0.0,0.16,0.0,-6.1472196467780545e-06,-6.1413761427616565e-06,0.0,0.0,0.136802843,-1.2608033317016088e-05,-1.2561772756416113e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.535048,1789620624.535048,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.5341613,1789620624.5349448,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1605766993443175,0.00020883671085569584,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0857775517610057e-05,2.083891026385399e-05,2.0848342890732024e-05,-1.3924305860964998e-07,2.0848342890732024e-05,2.0848342890732024e-05,-1.3924305860964998e-07,2.0857775517610057e-05,2.083891026385399e-05,0.0,0.0,0.0,0.0,0.16,0.0,1.295078252076304e-05,1.2945120757158776e-05,0.0,0.0,0.135484339,2.0857775517610057e-05,2.083891026385399e-05,1.0,2.0,0.0,0.1763064585087231,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.9534067632319354e-05,-1.9731220619056096e-05,-1.9632644125687725e-05,-1.415469863589984e-06,-1.9632644125687725e-05,-1.9632644125687725e-05,-1.415469863589984e-06,-1.9534067632319354e-05,-1.9731220619056096e-05,0.0,0.0,0.0,0.0,0.16,0.0,-6.140132988532876e-06,-6.147642787273448e-06,0.0,0.0,0.139284482,-1.9534067632319354e-05,-1.9731220619056096e-05,1.0,3.0,0.0,0.17592833873384323,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.9719843337158668e-05,-1.956621465363055e-05,-1.9643028995394608e-05,1.1229933542252389e-06,-1.9643028995394608e-05,-1.9643028995394608e-05,1.1229933542252389e-06,-1.9719843337158668e-05,-1.956621465363055e-05,0.0,0.0,0.0,0.0,0.16,0.0,-1.2608033317016088e-05,-1.2561772756416113e-05,0.0,0.0,0.136802843,-1.9719843337158668e-05,-1.956621465363055e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.5448334,1789620624.5448334,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.5441203,1789620624.5446572,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1605766993443175,0.00020883671085569584,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0498622775073964e-05,3.045417983348796e-05,3.047640130428096e-05,-3.280301023279594e-07,3.047640130428096e-05,3.047640130428096e-05,-3.280301023279594e-07,3.0498622775073964e-05,3.045417983348796e-05,0.0,0.0,0.0,0.0,0.16,0.0,2.0857775517610057e-05,2.083891026385399e-05,0.0,0.0,0.135484339,3.0498622775073964e-05,3.045417983348796e-05,1.0,2.0,0.0,0.1763064585087231,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.741021729994305e-05,-2.7869861259855413e-05,-2.7640039279899232e-05,-3.3000371133401765e-06,-2.7640039279899232e-05,-2.7640039279899232e-05,-3.3000371133401765e-06,-2.741021729994305e-05,-2.7869861259855413e-05,0.0,0.0,0.0,0.0,0.16,0.0,-1.9534067632319354e-05,-1.9731220619056096e-05,0.0,0.0,0.139284482,-2.741021729994305e-05,-2.7869861259855413e-05,1.0,3.0,0.0,0.1759787630247801,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.7853274862001306e-05,-2.7487794590077762e-05,-2.7670534726039534e-05,2.671583893351859e-06,-2.7670534726039534e-05,-2.7670534726039534e-05,2.671583893351859e-06,-2.7853274862001306e-05,-2.7487794590077762e-05,0.0,0.0,0.0,0.0,0.16,0.0,-1.9719843337158668e-05,-1.956621465363055e-05,0.0,0.0,0.136802843,-2.7853274862001306e-05,-2.7487794590077762e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.554783,1789620624.554783,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.5540917,1789620624.5546296,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1605766993443175,0.00020883671085569584,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2496418581958646e-05,4.2410967738007936e-05,4.245369315998329e-05,-6.307064313220037e-07,4.245369315998329e-05,4.245369315998329e-05,-6.307064313220037e-07,4.2496418581958646e-05,4.2410967738007936e-05,0.0,0.0,0.0,0.0,0.16,0.0,3.0498622775073964e-05,3.045417983348796e-05,0.0,0.0,0.135484339,4.2496418581958646e-05,4.2410967738007936e-05,1.0,2.0,0.0,0.1763064585087231,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.654946777089249e-05,-3.743327672835031e-05,-3.69913722496214e-05,-6.345351217645497e-06,-3.69913722496214e-05,-3.69913722496214e-05,-6.345351217645497e-06,-3.654946777089249e-05,-3.743327672835031e-05,0.0,0.0,0.0,0.0,0.16,0.0,-2.741021729994305e-05,-2.7869861259855413e-05,0.0,0.0,0.139284482,-3.654946777089249e-05,-3.743327672835031e-05,1.0,3.0,0.0,0.1759787630247801,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.74014726509727e-05,-3.6698722782711334e-05,-3.7050097716842016e-05,5.136953683494464e-06,-3.7050097716842016e-05,-3.7050097716842016e-05,5.136953683494464e-06,-3.74014726509727e-05,-3.6698722782711334e-05,0.0,0.0,0.0,0.0,0.16,0.0,-2.7853274862001306e-05,-2.7487794590077762e-05,0.0,0.0,0.136802843,-3.74014726509727e-05,-3.6698722782711334e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.5649898,1789620624.5649898,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.564184,1789620624.5648592,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.1605766993443175,0.00020883671085569584,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.761799161891455e-05,5.747170490828311e-05,5.754484826359883e-05,-1.0797315151786e-06,5.754484826359883e-05,5.754484826359883e-05,-1.0797315151786e-06,5.761799161891455e-05,5.747170490828311e-05,0.0,0.0,0.0,0.0,0.16,0.0,4.2496418581958646e-05,4.2410967738007936e-05,0.0,0.0,0.135484339,5.761799161891455e-05,5.747170490828311e-05,1.0,2.0,0.0,0.1763064585087231,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.742287885075874e-05,-4.893595091677586e-05,-4.81794148837673e-05,-1.0863177608092183e-05,-4.81794148837673e-05,-4.81794148837673e-05,-1.0863177608092183e-05,-4.742287885075874e-05,-4.893595091677586e-05,0.0,0.0,0.0,0.0,0.16,0.0,-3.654946777089249e-05,-3.743327672835031e-05,0.0,0.0,0.139284482,-4.742287885075874e-05,-4.893595091677586e-05,1.0,3.0,0.0,0.1759787630247801,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.888164610617663e-05,-4.7678545410678785e-05,-4.828009575842771e-05,8.794412960393279e-06,-4.828009575842771e-05,-4.828009575842771e-05,8.794412960393279e-06,-4.888164610617663e-05,-4.7678545410678785e-05,0.0,0.0,0.0,0.0,0.16,0.0,-3.74014726509727e-05,-3.6698722782711334e-05,0.0,0.0,0.136802843,-4.888164610617663e-05,-4.7678545410678785e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.574868,1789620624.574868,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.574181,1789620624.5747066,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.16058541105235963,0.00019117043947777237,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.598185868419613e-05,7.576190926028147e-05,7.58718839722388e-05,-1.6234306159522645e-06,7.58718839722388e-05,7.58718839722388e-05,-1.6234306159522645e-06,7.598185868419613e-05,7.576190926028147e-05,0.0,0.0,0.0,0.0,0.16,0.0,5.761799161891455e-05,5.747170490828311e-05,0.0,0.0,0.135484339,7.598185868419613e-05,7.576190926028147e-05,1.0,2.0,0.0,0.17627670658486913,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.003355543823608e-05,-6.237481407993038e-05,-6.120418475908323e-05,-1.6809185115785508e-05,-6.120418475908323e-05,-6.120418475908323e-05,-1.6809185115785508e-05,-6.003355543823608e-05,-6.237481407993038e-05,0.0,0.0,0.0,0.0,0.16,0.0,-3.654946777089249e-05,-3.743327672835031e-05,0.0,0.0,0.139284482,-6.003355543823608e-05,-6.237481407993038e-05,1.0,3.0,0.0,0.1759651172766031,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.227734448006507e-05,-6.0412635387699815e-05,-6.134498993388244e-05,1.3630631143866289e-05,-6.134498993388244e-05,-6.134498993388244e-05,1.3630631143866289e-05,-6.227734448006507e-05,-6.0412635387699815e-05,0.0,0.0,0.0,0.0,0.16,0.0,-4.888164610617663e-05,-4.7678545410678785e-05,0.0,0.0,0.136802843,-6.227734448006507e-05,-6.0412635387699815e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.5848608,1789620624.5848608,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.584169,1789620624.5847464,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.16058541105235963,0.00019117043947777237,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.824857731910653e-05,9.792512064840097e-05,9.808684898375375e-05,-2.387410036414275e-06,9.808684898375375e-05,9.808684898375375e-05,-2.387410036414275e-06,9.824857731910653e-05,9.792512064840097e-05,0.0,0.0,0.0,0.0,0.16,0.0,7.598185868419613e-05,7.576190926028147e-05,0.0,0.0,0.135484339,9.824857731910653e-05,9.792512064840097e-05,1.0,2.0,0.0,0.17627670658486913,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.476660231006556e-05,-7.820968698237265e-05,-7.64881446462191e-05,-2.471980096323358e-05,-7.64881446462191e-05,-7.64881446462191e-05,-2.471980096323358e-05,-7.476660231006556e-05,-7.820968698237265e-05,0.0,0.0,0.0,0.0,0.16,0.0,-6.003355543823608e-05,-6.237481407993038e-05,0.0,0.0,0.139284482,-7.476660231006556e-05,-7.820968698237265e-05,1.0,3.0,0.0,0.1759651172766031,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.8066598099349e-05,-7.532433332519935e-05,-7.669546571227417e-05,2.0045378546333638e-05,-7.669546571227417e-05,-7.669546571227417e-05,2.0045378546333638e-05,-7.8066598099349e-05,-7.532433332519935e-05,0.0,0.0,0.0,0.0,0.16,0.0,-6.227734448006507e-05,-6.0412635387699815e-05,0.0,0.0,0.136802843,-7.8066598099349e-05,-7.532433332519935e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.5948434,1789620624.5948434,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.5941453,1789620624.5946848,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.16058541105235963,0.00019117043947777237,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001248439955742202,0.00012439037681260623,0.00012461718619341322,-3.3481269123951794e-06,0.00012461718619341322,0.00012461718619341322,-3.3481269123951794e-06,0.0001248439955742202,0.00012439037681260623,0.0,0.0,0.0,0.0,0.16,0.0,9.824857731910653e-05,9.792512064840097e-05,0.0,0.0,0.135484339,0.0001248439955742202,0.00012439037681260623,1.0,2.0,0.0,0.17627670658486913,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.18755033191956e-05,-9.670415609288573e-05,-9.428982970604067e-05,-3.4667557393006105e-05,-9.428982970604067e-05,-9.428982970604067e-05,-3.4667557393006105e-05,-9.18755033191956e-05,-9.670415609288573e-05,0.0,0.0,0.0,0.0,0.16,0.0,-6.003355543823608e-05,-6.237481407993038e-05,0.0,0.0,0.139284482,-9.18755033191956e-05,-9.670415609288573e-05,1.0,3.0,0.0,0.1759651172766031,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.650380821724378e-05,-9.26579998169998e-05,-9.458090401712179e-05,2.8112050275475468e-05,-9.458090401712179e-05,-9.458090401712179e-05,2.8112050275475468e-05,-9.650380821724378e-05,-9.26579998169998e-05,0.0,0.0,0.0,0.0,0.16,0.0,-7.8066598099349e-05,-7.532433332519935e-05,0.0,0.0,0.136802843,-9.650380821724378e-05,-9.26579998169998e-05,1.0]"
/multi_agv/candidate_B_spatial_composite_state,1789620624.6046674,1789620624.6046674,"candidate_B_v2_spatial_composite:header14+3x36;robots=1,2,3","[1789620624.604138,1789620624.6045866,1.0,0.85,0.02,1.0,0.0,0.2625,1.0,1.5707963267948966,2.0,2.8,0.05,0.05,1.0,0.16058541105235963,0.00019117043947777237,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015628799747177726,0.00015567638033237504,0.00015598218890207615,-4.51430138654044e-06,0.00015598218890207615,0.00015598218890207615,-4.51430138654044e-06,0.00015628799747177726,0.00015567638033237504,0.0,0.0,0.0,0.0,0.16,0.0,0.0001248439955742202,0.00012439037681260623,0.0,0.0,0.135484339,0.00015628799747177726,0.00015567638033237504,1.0,2.0,0.0,0.17628895574672143,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.00011162480316797198,-0.00011816153843462184,-0.0001148931708012969,-4.693082224802228e-05,-0.0001148931708012969,-0.0001148931708012969,-4.693082224802228e-05,-0.00011162480316797198,-0.00011816153843462184,0.0,0.0,0.0,0.0,0.16,0.0,-9.18755033191956e-05,-9.670415609288573e-05,0.0,0.0,0.139284482,-0.00011162480316797198,-0.00011816153843462184,1.0,3.0,0.0,0.1759668059148909,NaN,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.00011784971568851324,-0.00011266555522485582,-0.00011525763545668453,3.789512227942095e-05,-0.00011525763545668453,-0.00011525763545668453,3.789512227942095e-05,-0.00011784971568851324,-0.00011266555522485582,0.0,0.0,0.0,0.0,0.16,0.0,-9.650380821724378e-05,-9.26579998169998e-05,0.0,0.0,0.136802843,-0.00011784971568851324,-0.00011266555522485582,1.0]"
