topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789620776.963585,1789620776.963478,1,32154,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.69223403930664
/agv2/capability_report,1789620776.9648373,1789620776.965387,2,31527,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.046813011169434
/agv3/capability_report,1789620776.9685607,1789620776.9691556,3,30746,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789620776.9716475,1789620776.9715173,1,32155,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.69223403930664
/agv3/capability_report,1789620776.9768758,1789620776.9771588,3,30747,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv2/capability_report,1789620776.9784052,1789620776.9775438,2,31528,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.046813011169434
/agv1/capability_report,1789620776.9836633,1789620776.983518,1,32156,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.69223403930664
/agv2/capability_report,1789620776.98553,1789620776.9855344,2,31529,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.046813011169434
/agv3/capability_report,1789620776.9885886,1789620776.9891937,3,30748,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789620776.991538,1789620776.991458,1,32157,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.69223403930664
/agv3/capability_report,1789620776.9965749,1789620776.9971616,3,30749,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789620777.0036626,1789620777.0034945,1,32158,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.69223403930664
/agv3/capability_report,1789620777.0092578,1789620777.0091653,3,30750,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.1620512008667
/agv1/capability_report,1789620777.0116482,1789620777.011495,1,32159,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.69223403930664
/agv2/capability_report,1789620777.0134406,1789620776.997604,2,31530,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.046813011169434
/agv2/capability_report,1789620777.0147977,1789620777.0055287,2,31531,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.046813011169434
/agv2/capability_report,1789620777.0179112,1789620777.0175495,2,31532,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.046813011169434
