topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789620776.9635925,1789620776.963478,1789620776.959451,1,32154,57939,151362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69223403930664,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789620776.9648316,1789620776.965387,1789620776.9653513,2,31527,57938,149147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.046813011169434,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789620776.9685535,1789620776.9691556,1789620776.9651625,3,30746,57939,148318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1620512008667,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789620776.9716363,1789620776.9715173,1789620776.967444,1,32155,57939,151364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69223403930664,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789620776.9768734,1789620776.9771588,1789620776.973148,3,30747,57940,148320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1620512008667,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789620776.9784076,1789620776.9775438,1789620776.9734364,2,31528,57940,149149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.046813011169434,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789620776.983649,1789620776.983518,1789620776.9754455,1,32156,57941,151366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69223403930664,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789620776.9855278,1789620776.9855344,1789620776.981485,2,31529,57940,149151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.046813011169434,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789620776.9885929,1789620776.9891937,1789620776.9891837,3,30748,57941,148324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1620512008667,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789620776.991531,1789620776.991458,1789620776.9914417,1,32157,57941,151370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69223403930664,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789620776.9965818,1789620776.9971616,1789620776.9971519,3,30749,57942,148326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1620512008667,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789620777.0036702,1789620777.0034945,1789620776.999442,1,32158,57943,151372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69223403930664,False,False,False,False,False,False,False
