topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/risk_disturbance_state,1789452538.981596,1789452538.981596,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452538.9807906,2.0,2.0,2.8,0.3,0.3,0.009921283000000001,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452538.9916155,1789452538.9916155,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452538.9907877,2.0,2.0,2.8,0.3,0.3,0.019915263000000002,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.0019212,1789452539.0019212,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0007942,2.0,2.0,2.8,0.3,0.3,0.029925325000000003,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.01133,1789452539.01133,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0108051,2.0,2.0,2.8,0.3,0.3,0.03993561700000001,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.021663,1789452539.021663,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0208197,2.0,2.0,2.8,0.3,0.3,0.04994955200000001,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999933,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.0312867,1789452539.0312867,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.030808,2.0,2.0,2.8,0.3,0.3,0.05993755500000001,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999933,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.0413592,1789452539.0413592,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.040802,2.0,2.0,2.8,0.3,0.3,0.06993172600000001,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999933,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.0514705,1789452539.0514705,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0508075,2.0,2.0,2.8,0.3,0.3,0.07993742300000001,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.1599999999999933,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000001044,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.0613315,1789452539.0613315,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0608075,2.0,2.0,2.8,0.3,0.3,0.089937685,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.15999999999998926,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.071174,1789452539.071174,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0707784,2.0,2.0,2.8,0.3,0.3,0.099909763,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.15999999999998926,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.082173,1789452539.082173,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0808458,2.0,2.0,2.8,0.3,0.3,0.109977083,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.15999999999998926,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.0916564,1789452539.0916564,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.0907924,2.0,2.0,2.8,0.3,0.3,0.119922242,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.15999999999998926,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000064,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.1017094,1789452539.1017094,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.1007802,2.0,2.0,2.8,0.3,0.3,0.129909819,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.15999999999999096,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.160000000000008,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.160000000000008,NaN,NaN,NaN,0.11]"
/multi_agv/risk_disturbance_state,1789452539.111605,1789452539.111605,risk_disturbance_state_v1:header11+3x10,"[0.0,1789452539.1108234,2.0,2.0,2.8,0.3,0.3,0.139953335,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.15999999999999096,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.160000000000008,NaN,NaN,NaN,0.11,0.0,0.0,0.0,0.0,0.0,0.160000000000008,NaN,NaN,NaN,0.11]"
