topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/state_projection_timing,1789453154.8561828,1789453154.8561149,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789453154.8561149,1.0,0.0,1789453154.8488424,0.007272314,1.0,-0.010460416161644446,0.0,1789453154.8487637,0.007351183000000001,1.0,0.0045681851793553,0.0,1789453154.847857,0.00825787,1.0,0.005981852552262197,0.0]"
/pose_provider/agv2/fusion_timing,1789453154.8584273,1789453154.8584273,,"[6046.0,1789453154.8567445,1789453154.8583279,1789453154.858348,1789453154.8583548,1.0,2.0013e-05]"
/pose_provider/agv2/estimator_timing,1789453154.858534,1789453154.858534,,"[5567.0,1789453154.8567445,1789453154.8584888,0.0017426800000000001,1.0]"
/pose_provider/agv1/fusion_timing,1789453154.861106,1789453154.861106,,"[6497.0,1789453154.8608792,1789453154.8610046,1789453154.8610194,1789453154.861026,1.0,1.4778000000000001e-05]"
/pose_provider/agv1/estimator_timing,1789453154.86115,1789453154.86115,,"[6474.0,1789453154.8608792,1789453154.861113,0.00023361900000000001,1.0]"
/multi_agv/state_projection_timing,1789453154.8662128,1789453154.8661377,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789453154.8661377,1.0,0.0,1789453154.8488424,0.017295336,1.0,-0.010460416161644446,0.0,1789453154.8487637,0.017374205,1.0,0.0045681851793553,0.0,1789453154.847857,0.018280892,1.0,0.005981852552262197,0.0]"
/pose_provider/agv1/fusion_timing,1789453154.8690736,1789453154.8690736,,"[6498.0,1789453154.8688543,1789453154.868964,1789453154.8689792,1789453154.8689973,1.0,1.5268e-05]"
/pose_provider/agv1/estimator_timing,1789453154.869171,1789453154.869171,,"[6475.0,1789453154.8688543,1789453154.8690813,0.00022682000000000003,1.0]"
/pose_provider/agv2/fusion_timing,1789453154.871289,1789453154.871289,,"[6047.0,1789453154.868747,1789453154.8711307,1789453154.8711812,1789453154.8711815,1.0,5.0440000000000005e-05]"
/pose_provider/agv2/estimator_timing,1789453154.8713028,1789453154.8713028,,"[5568.0,1789453154.868747,1789453154.8712525,0.00250532,1.0]"
/pose_provider/agv3/fusion_timing,1789453154.8713186,1789453154.8713186,,"[5771.0,1789453154.8599105,1789453154.8711066,1789453154.8711567,1789453154.8711605,1.0,5.0141e-05]"
/pose_provider/agv3/estimator_timing,1789453154.8713279,1789453154.8713279,,"[5148.0,1789453154.8599105,1789453154.8712847,0.011374203000000001,1.0]"
