topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1789458499.953873,1789458499.953873,0.5757
/camera/world/agv2_confidence,1789458499.953936,1789458499.953936,0.5671
/camera/world/agv3_confidence,1789458499.9541004,1789458499.9541004,0.5755
/camera/world/agv1_confidence,1789458499.9868944,1789458499.9868944,0.5671
/camera/world/agv3_confidence,1789458499.9869394,1789458499.9869394,0.5773
/camera/world/agv2_confidence,1789458499.9870672,1789458499.9870672,0.572
/camera/world/agv1_confidence,1789458500.0188563,1789458500.0188563,0.5801
/camera/world/agv2_confidence,1789458500.0190458,1789458500.0190458,0.5716
/camera/world/agv3_confidence,1789458500.0190678,1789458500.0190678,0.5754
/camera/world/agv1_confidence,1789458500.0500634,1789458500.0500634,0.601
/camera/world/agv2_confidence,1789458500.0501614,1789458500.0501614,0.5717
/camera/world/agv3_confidence,1789458500.0502734,1789458500.0502734,0.5755
/camera/world/agv1_confidence,1789458500.1156101,1789458500.1156101,0.5404
/camera/world/agv2_confidence,1789458500.1156266,1789458500.1156266,0.5723
/camera/world/agv3_confidence,1789458500.1158602,1789458500.1158602,0.5743
/camera/world/agv1_confidence,1789458500.1162987,1789458500.1162987,0.5716
/camera/world/agv2_confidence,1789458500.1164954,1789458500.1164954,0.5646
/camera/world/agv3_confidence,1789458500.1167583,1789458500.1167583,0.5761
/camera/world/agv2_confidence,1789458500.1511793,1789458500.1511793,0.5727
/camera/world/agv1_confidence,1789458500.151255,1789458500.151255,0.569
/camera/world/agv3_confidence,1789458500.1514323,1789458500.1514323,0.576
/camera/world/agv1_confidence,1789458500.1876009,1789458500.1876009,0.538
/camera/world/agv2_confidence,1789458500.187604,1789458500.187604,0.5698
/camera/world/agv3_confidence,1789458500.1878273,1789458500.1878273,0.5764
/camera/world/agv1_confidence,1789458500.2308025,1789458500.2308025,0.5718
/camera/world/agv2_confidence,1789458500.2308185,1789458500.2308185,0.571
/camera/world/agv3_confidence,1789458500.2310102,1789458500.2310102,0.5758
/camera/world/agv2_confidence,1789458500.2485814,1789458500.2485814,0.5723
/camera/world/agv1_confidence,1789458500.2487187,1789458500.2487187,0.5432
/camera/world/agv3_confidence,1789458500.2487378,1789458500.2487378,0.5762
/camera/world/agv1_confidence,1789458500.2906644,1789458500.2906644,0.5747
/camera/world/agv3_confidence,1789458500.290844,1789458500.290844,0.5767
/camera/world/agv2_confidence,1789458500.2908657,1789458500.2908657,0.5678
/camera/world/agv1_confidence,1789458500.3206553,1789458500.3206553,0.5669
/camera/world/agv2_confidence,1789458500.320861,1789458500.320861,0.5724
/camera/world/agv3_confidence,1789458500.3209753,1789458500.3209753,0.5763
/camera/world/agv1_confidence,1789458500.3674245,1789458500.3674245,0.5462
