topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/classic_additive_disturbance_state,1789461267.8264241,1789461267.8264241,classic_additive_candidate_A:header27+3x3,"[1789461267.8253407,1789461267.8261623,NaN,0.0,0.0,0.0,0.0,0.00955220691480177,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-1.4867229595464095e-07,-1.5616078492366516e-07,-1.4867229595464095e-07,-1.5616078492366516e-07,0.0,0.0,2.0,0.009200835116030448,-0.005865654695015866,0.027329575037333884,-0.009635166065520761,-0.00948700722914998,-0.008345600488199434,-0.0006311705323927374,0.01225270292667572,0.043799351435882095]"
/multi_agv/classic_additive_disturbance_state,1789461267.836103,1789461267.836103,classic_additive_candidate_A:header27+3x3,"[1789461267.8353152,1789461267.8359828,NaN,0.0,0.0,0.0,0.0,0.00955220691480177,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-1.1663640030456817e-06,-1.2250640682650324e-06,-1.1663640030456817e-06,-1.2250640682650324e-06,0.0,0.0,2.0,0.009200840066261607,-0.005865654559694451,0.027329575037323226,-0.009635161113612801,-0.009487007270477585,-0.008345600488199434,-0.0006311655850615596,0.012252703143504287,0.043799351435882095]"
/multi_agv/classic_additive_disturbance_state,1789461267.8460872,1789461267.8460872,classic_additive_candidate_A:header27+3x3,"[1789461267.8453126,1789461267.8459036,NaN,0.0,0.0,0.0,0.0,0.00955220691480177,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-3.8849507251478775e-06,-4.08031675269034e-06,-3.8849507251478775e-06,-4.08031675269034e-06,0.0,0.0,2.0,0.0092008565816363,-0.005865654108223879,0.02732957503728592,-0.009635144592643854,-0.009487007408358193,-0.008345600488199434,-0.0006311490793620534,0.012252703866905867,0.043799351435882095]"
/multi_agv/classic_additive_disturbance_state,1789461267.856193,1789461267.856193,classic_additive_candidate_A:header27+3x3,"[1789461267.8554082,1789461267.8560617,NaN,0.0,0.0,0.0,0.0,0.00950452246331529,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-9.162768897516325e-06,-9.500730402802851e-06,-9.162768897516325e-06,-9.500730402802851e-06,0.0,0.0,2.0,0.009121610352845408,-0.006180416469324881,0.02890186899163313,-0.009524664585384573,-0.009092615476542505,-0.0021932426673296757,-0.0006672312558847454,0.01227682492179587,0.04417564252585084]"
/multi_agv/classic_additive_disturbance_state,1789461267.8660424,1789461267.8660424,classic_additive_candidate_A:header27+3x3,"[1789461267.865363,1789461267.8659174,NaN,0.0,0.0,0.0,0.0,0.00950452246331529,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-1.758484786320238e-05,-1.8233011329241185e-05,-1.758484786320238e-05,-1.8233011329241185e-05,0.0,0.0,2.0,0.009121684591091663,-0.0061804143231032225,0.028901868991465268,-0.009524590316299878,-0.009092615639432892,-0.0021932426673296757,-0.000667157059077404,0.012276828201621298,0.04417564252585084]"
/multi_agv/classic_additive_disturbance_state,1789461267.8761022,1789461267.8761022,classic_additive_candidate_A:header27+3x3,"[1789461267.8753638,1789461267.8759327,NaN,0.0,0.0,0.0,0.0,0.00950452246331529,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-2.996381836711713e-05,-3.1067562931332095e-05,-2.996381836711713e-05,-3.1067562931332095e-05,0.0,0.0,2.0,0.009121811596297096,-0.006180410651393079,0.028901868991177495,-0.009524463258336679,-0.009092615918102285,-0.0021932426673296757,-0.0006670301247647535,0.01227683381267656,0.04417564252585084]"
/multi_agv/classic_additive_disturbance_state,1789461267.8861969,1789461267.8861969,classic_additive_candidate_A:header27+3x3,"[1789461267.8853648,1789461267.8859105,NaN,0.0,0.0,0.0,0.0,0.00950452246331529,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-4.692190389016853e-05,-4.864931063344364e-05,-4.692190389016853e-05,-4.864931063344364e-05,0.0,0.0,2.0,0.009122010359800833,-0.006180404905156391,0.0289018689907263,-0.00952426441226693,-0.009092616354220668,-0.0021932426673296757,-0.0006668314722084633,0.012276842593993828,0.04417564252585084]"
/multi_agv/classic_additive_disturbance_state,1789461267.8960388,1789461267.8960388,classic_additive_candidate_A:header27+3x3,"[1789461267.8953404,1789461267.8958771,NaN,0.0,0.0,0.0,0.0,0.009672923297326726,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-6.964409627096438e-05,-7.174595903881914e-05,-6.964409627096438e-05,-7.174595903881914e-05,0.0,0.0,2.0,0.009091924604921761,-0.006374315289074815,0.029889187922997194,-0.00966349593053509,-0.00900092684433469,0.0009693775640735591,-0.0007318445073199321,0.012422942493750151,0.04571354496856461]"
/multi_agv/classic_additive_disturbance_state,1789461267.9060416,1789461267.9060416,classic_additive_candidate_A:header27+3x3,"[1789461267.9053392,1789461267.9059122,NaN,0.0,0.0,0.0,0.0,0.009672923297326733,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-9.779406144773239e-05,-0.00010074408087334308,-9.779406144773239e-05,-0.00010074408087334308,0.0,0.0,2.0,0.009092334596799019,-0.006374303031100297,0.02988918792206727,-0.009663085755646492,-0.009000926446720231,0.0009693775640735591,-0.0007314347607412022,0.012422961237777263,0.04571354496856461]"
/multi_agv/classic_additive_disturbance_state,1789461267.9161742,1789461267.9161742,classic_additive_candidate_A:header27+3x3,"[1789461267.9153616,1789461267.9160209,NaN,0.0,0.0,0.0,0.0,0.009672923297326733,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.00013234845245040344,-0.000136362316406799,-0.00013234845245040344,-0.000136362316406799,0.0,0.0,2.0,0.009092890458081697,-0.006374286411908995,0.029889187920806946,-0.009662529646239546,-0.00900092590764008,0.0009693775640735591,-0.0007832172614450932,0.012515553782187359,0.04684008841441154]"
/multi_agv/classic_additive_disturbance_state,1789461267.9262965,1789461267.9262965,classic_additive_candidate_A:header27+3x3,"[1789461267.925362,1789461267.9261012,NaN,0.0,0.0,0.0,0.0,0.009890067163938386,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.00017557883019117085,-0.00018055920463555972,-0.00017557883019117085,-0.00018055920463555972,0.0,0.0,2.0,0.009177973350587917,-0.005958063179561309,0.027716005805171504,-0.009871750985944675,-0.00908078232096351,0.0017661416774150673,-0.0007824893474122524,0.012515587902702066,0.04684008841441154]"
/multi_agv/classic_additive_disturbance_state,1789461267.9363065,1789461267.9363065,classic_additive_candidate_A:header27+3x3,"[1789461267.9354208,1789461267.9361386,NaN,0.0,0.0,0.0,0.0,0.009890067163938386,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.00022509729512064418,-0.0002314803187381639,-0.00022509729512064418,-0.0002314803187381639,0.0,0.0,2.0,0.009178911941836811,-0.00595803715889818,0.02771600580304343,-0.009870812035542721,-0.009080780662642347,0.0017661416774150673,-0.0007815514253848994,0.012515631867210077,0.04684008841441154]"
/multi_agv/classic_additive_disturbance_state,1789461267.9460475,1789461267.9460475,classic_additive_candidate_A:header27+3x3,"[1789461267.9453197,1789461267.945927,NaN,0.0,0.0,0.0,0.0,0.009890067163938386,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.00028157662882361326,-0.0002895592802032996,-0.00028157662882361326,-0.0002895592802032996,0.0,0.0,2.0,0.00918006735097857,-0.005958005127369978,0.02771600580042419,-0.009869656184282215,-0.009080778621243141,0.0017661416774150673,-0.0007803968400571593,0.01251568598767469,0.04684008841441154]"
/multi_agv/classic_additive_disturbance_state,1789461267.9560528,1789461267.9560528,classic_additive_candidate_A:header27+3x3,"[1789461267.9553359,1789461267.9559402,NaN,0.0,0.0,0.0,0.0,0.009890067163938386,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.00034691167557475904,-0.0003567448017091635,-0.00034691167557475904,-0.0003567448017091635,0.0,0.0,2.0,0.009181507014816228,-0.0059579652154192015,0.027716005797159243,-0.00986821596955546,-0.009080776077617243,0.0017661416774150673,-0.0007789582027089756,0.012515753422899982,0.04684008841441154]"
/multi_agv/classic_additive_disturbance_state,1789461267.9662254,1789461267.9662254,classic_additive_candidate_A:header27+3x3,"[1789461267.965339,1789461267.9660075,NaN,0.0,0.0,0.0,0.0,0.009845234971974183,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.00041940379265290804,-0.0004333700556831993,-0.00041940379265290804,-0.0004333700556831993,0.0,0.0,2.0,0.009244710943034088,-0.005586863701388052,0.02580362124001032,-0.009842647965535746,-0.009172681754333977,-0.0005585934529743763,-0.0008212526413001539,0.012631634162835487,0.048071583173693755]"
/multi_agv/classic_additive_disturbance_state,1789461267.9762838,1789461267.9762838,classic_additive_candidate_A:header27+3x3,"[1789461267.9753644,1789461267.976122,NaN,0.0,0.0,0.0,0.0,0.009845234971974183,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0005021179432786662,-0.00051883789738131,-0.0005021179432786662,-0.00051883789738131,0.0,0.0,2.0,0.009246803641879799,-0.00558680969019295,0.02580362123526567,-0.009840554570135773,-0.009172682923691063,-0.0005585934529743763,-0.0008191616638979568,0.012631734756928394,0.048071583173693755]"
/multi_agv/classic_additive_disturbance_state,1789461267.9862423,1789461267.9862423,classic_additive_candidate_A:header27+3x3,"[1789461267.985361,1789461267.9861112,NaN,0.0,0.0,0.0,0.0,0.009845234971974183,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0005937221852855535,-0.0006134863114906188,-0.0005937221852855535,-0.0006134863114906188,0.0,0.0,2.0,0.009249271451040151,-0.005586745997644788,0.025803621229670146,-0.009838085939565784,-0.009172684302652081,-0.0005585934529743763,-0.0008549487203262455,0.01261893796470851,0.04797298037462916]"
/multi_agv/classic_additive_disturbance_state,1789461267.9963489,1789461267.9963489,classic_additive_candidate_A:header27+3x3,"[1789461267.9954493,1789461267.99625,NaN,0.0,0.0,0.0,0.0,0.009909687673191815,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0006977293000612763,-0.0007205600289994172,-0.0006977293000612763,-0.0007205600289994172,0.0,0.0,2.0,0.00921517641507975,-0.005902082681159862,0.027567080621134086,-0.009896187937544829,-0.009209760627434622,-0.00018545004619241467,-0.0008520323455311976,0.012619077979326,0.04797298037462916]"
/multi_agv/classic_additive_disturbance_state,1789461268.0062523,1789461268.0062523,classic_additive_candidate_A:header27+3x3,"[1789461268.0053468,1789461268.0062094,NaN,0.0,0.0,0.0,0.0,0.009909687673191801,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0008077508580053332,-0.0008341863084674416,-0.0008077508580053332,-0.0008341863084674416,0.0,0.0,2.0,0.009218491874547131,-0.005901991260463876,0.027567080613616544,-0.009892871217953823,-0.009209761242520431,-0.00018545004619241467,-0.0008487194417119122,0.01261923703122901,0.04797298037462916]"
/multi_agv/classic_additive_disturbance_state,1789461268.0161548,1789461268.0161548,classic_additive_candidate_A:header27+3x3,"[1789461268.0154185,1789461268.0160031,NaN,0.0,0.0,0.0,0.0,0.009909687673191801,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0009296800598277247,-0.0009601137651009088,-0.0009296800598277247,-0.0009601137651009088,0.0,0.0,2.0,0.009222376065337176,-0.0059018841575332395,0.027567080604809367,-0.009888985550879595,-0.009209761963117577,-0.00018545004619241467,-0.0008448382449638981,0.012619423366771,0.04797298037462916]"
/multi_agv/classic_additive_disturbance_state,1789461268.0263221,1789461268.0263221,classic_additive_candidate_A:header27+3x3,"[1789461268.0253458,1789461268.026155,NaN,0.0,0.0,0.0,0.0,0.009808233867089039,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.001054510895232294,-0.0010919436035781954,-0.001054510895232294,-0.0010919436035781954,0.0,0.0,2.0,0.009273859198473799,-0.005676705424210857,0.02628599189063061,-0.009795134319178226,-0.009252793353494528,-0.0014658780618341805,-0.0008499412200388579,0.012647098988814557,0.04825353258917153]"
/multi_agv/classic_additive_disturbance_state,1789461268.0360932,1789461268.0360932,classic_additive_candidate_A:header27+3x3,"[1789461268.0353703,1789461268.0359824,NaN,0.0,0.0,0.0,0.0,0.009808233867089032,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0011954550005894033,-0.001237908778268645,-0.0011954550005894033,-0.001237908778268645,0.0,0.0,2.0,0.009278858481465865,-0.005676573982826599,0.026285991879295676,-0.009790133313926218,-0.009252800684363665,-0.0014658780618341805,-0.0008449460304692472,0.012647340211607636,0.04825353258917153]"
/multi_agv/classic_additive_disturbance_state,1789461268.0460818,1789461268.0460818,classic_additive_candidate_A:header27+3x3,"[1789461268.0453455,1789461268.04598,NaN,0.0,0.0,0.0,0.0,0.009808233867089032,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0013460165476386647,-0.0013938412640439424,-0.0013460165476386647,-0.0013938412640439424,0.0,0.0,2.0,0.009284464254867071,-0.005676426595567904,0.026285991866584955,-0.009784525609328307,-0.0092528089045807,-0.0014658780618341805,-0.0008393448470860274,0.01264761069845932,0.04825353258917153]"
/multi_agv/classic_additive_disturbance_state,1789461268.0559077,1789461268.0559077,classic_additive_candidate_A:header27+3x3,"[1789461268.0553772,1789461268.0558584,NaN,0.0,0.0,0.0,0.0,0.009558076947057473,0.03,0.35,1.0,1.0,1.5707963267948966,8.0,0.5,0.5,0.139284482,0.0,0.0,0.0,-0.0014955100525862785,-0.0015385866291623964,-0.0014955100525862785,-0.0015385866291623964,0.0,0.0,2.0,0.009345081301657796,-0.005394176418866938,0.02468301570267537,-0.009503564150002421,-0.008888691283802822,0.0012245286471379568,-0.0006248654632708186,0.012347153626871527,0.044580689974129006]"
