topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789463558.9774513,1789463558.9773824,1789463558.9733288,1,7287,50755,70375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.062857627868652,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789463558.9859219,1789463558.9841194,1789463558.9802375,3,6818,50755,627581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.426300048828125,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789463558.9884782,1789463558.9896884,1789463558.9896476,2,7052,50755,71744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.144322395324707,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789463558.98949,1789463558.989368,1789463558.989354,1,7288,50756,70379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16036605834961,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789463558.994031,1789463558.9922447,1789463558.9880826,3,6819,50756,627583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.426300048828125,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789463558.997503,1789463558.9973872,1789463558.9973717,1,7289,50757,70381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16036605834961,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789463558.9992356,1789463558.9977038,1789463558.997658,2,7053,50756,71746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.144322395324707,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789463559.0054004,1789463559.0042453,1789463559.0042355,3,6820,50757,627587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.426300048828125,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789463559.0085626,1789463559.0097234,1789463559.0096781,2,7054,50758,71748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.144322395324707,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789463559.0094619,1789463559.0093496,1789463559.0053668,1,7290,50758,70383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16036605834961,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789463559.0120258,1789463559.0122476,1789463559.0122378,3,6821,50758,627589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.426300048828125,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789463559.0175183,1789463559.0173965,1789463559.01338,1,7291,50759,70385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16036605834961,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789463559.02269,1789463559.0177143,1789463559.0176594,2,7055,50758,71750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.144322395324707,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789463559.0246556,1789463559.0242016,1789463559.0202165,3,6822,50758,627591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.426300048828125,False,False,False,False,False,False,False
