topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/state_projection_timing,1789464618.4065528,1789464618.40644,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.40644,1.0,0.0,1789464618.3948824,0.01155742,1.0,-0.006931345230273774,0.0,1789464618.3977737,0.008666134,1.0,0.0015168909893359464,0.0,1789464618.397521,0.008918928000000001,1.0,0.005728818341684552,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.4107358,1789464618.4107358,,"[45016.0,1789464618.4057596,1789464618.4106572,1789464618.4106658,1789464618.4106677,1.0,8.714e-06]"
/pose_provider/agv2/estimator_timing,1789464618.4107714,1789464618.4107714,,"[42651.0,1789464618.4057596,1789464618.410733,0.0049733120000000006,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.4150183,1789464618.4150183,,"[45145.0,1789464618.4147947,1789464618.4148886,1789464618.4148986,1789464618.4149027,1.0,1.0012e-05]"
/pose_provider/agv1/estimator_timing,1789464618.41505,1789464618.41505,,"[45004.0,1789464618.4147947,1789464618.415022,0.00022693000000000002,1.0]"
/multi_agv/state_projection_timing,1789464618.4166198,1789464618.416552,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.416552,1.0,0.0,1789464618.4027383,0.013813605000000001,1.0,-0.006931345230273774,0.0,1789464618.4057596,0.010792505,1.0,0.0015168909893359464,0.0,1789464618.4055388,0.011013272000000001,1.0,0.005728818341684552,0.0]"
/pose_provider/agv1/fusion_timing,1789464618.4229252,1789464618.4229252,,"[45146.0,1789464618.422772,1789464618.4228482,1789464618.4228957,1789464618.4228976,1.0,4.7537e-05]"
/pose_provider/agv1/estimator_timing,1789464618.4230056,1789464618.4230056,,"[45005.0,1789464618.422772,1789464618.4229796,0.00020737200000000002,1.0]"
/pose_provider/agv2/fusion_timing,1789464618.424761,1789464618.424761,,"[45017.0,1789464618.4177241,1789464618.424604,1789464618.4246118,1789464618.4246151,1.0,7.734e-06]"
/pose_provider/agv2/estimator_timing,1789464618.424764,1789464618.424764,,"[42652.0,1789464618.4177241,1789464618.424699,0.006974671000000001,1.0]"
/multi_agv/state_projection_timing,1789464618.426642,1789464618.426556,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.426556,1.0,0.0,1789464618.4147947,0.011761433,1.0,-0.006779107810703015,0.0,1789464618.4177241,0.008832148,1.0,0.0015066650790791294,0.0,1789464618.417573,0.008983175000000001,1.0,0.005720277720931435,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.4291058,1789464618.4291058,,"[45018.0,1789464618.425761,1789464618.4289036,1789464618.428911,1789464618.4289112,1.0,7.4140000000000005e-06]"
/pose_provider/agv2/estimator_timing,1789464618.429108,1789464618.429108,,"[42653.0,1789464618.425761,1789464618.428964,0.0032029370000000003,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.4349325,1789464618.4349325,,"[45147.0,1789464618.4347742,1789464618.4348524,1789464618.4348586,1789464618.4348602,1.0,6.088e-06]"
/pose_provider/agv1/estimator_timing,1789464618.4349504,1789464618.4349504,,"[45006.0,1789464618.4347742,1789464618.4349244,0.00015010900000000002,1.0]"
/multi_agv/state_projection_timing,1789464618.436579,1789464618.4364376,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.4364376,1.0,0.0,1789464618.422772,0.013665784,1.0,-0.006779107810703025,0.0,1789464618.425761,0.010676757,1.0,0.0015066650790791433,0.0,1789464618.4255693,0.010868405000000001,1.0,0.005720277720931435,0.0]"
/pose_provider/agv1/fusion_timing,1789464618.4428802,1789464618.4428802,,"[45148.0,1789464618.4427352,1789464618.4428086,1789464618.4428144,1789464618.4428167,1.0,5.535e-06]"
/pose_provider/agv1/estimator_timing,1789464618.4428885,1789464618.4428885,,"[45007.0,1789464618.4427352,1789464618.442856,0.000120698,1.0]"
/pose_provider/agv2/fusion_timing,1789464618.446141,1789464618.446141,,"[45019.0,1789464618.437732,1789464618.4460495,1789464618.446061,1789464618.4460657,1.0,1.1367000000000001e-05]"
/pose_provider/agv2/estimator_timing,1789464618.4461625,1789464618.4461625,,"[42654.0,1789464618.437732,1789464618.446135,0.008402771,1.0]"
/multi_agv/state_projection_timing,1789464618.4464478,1789464618.446418,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.446418,1.0,0.0,1789464618.4347742,0.011644009,1.0,-0.006779107810703025,0.0,1789464618.437732,0.008686215,1.0,0.0015493725205030784,0.0,1789464618.4375656,0.008852658000000001,1.0,0.005787167374862887,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.4508502,1789464618.4508502,,"[45020.0,1789464618.4457586,1789464618.450791,1789464618.4507995,1789464618.4508014,1.0,8.765e-06]"
/pose_provider/agv2/estimator_timing,1789464618.450886,1789464618.450886,,"[42655.0,1789464618.4457586,1789464618.450845,0.005086146000000001,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.4549167,1789464618.4549167,,"[45149.0,1789464618.4547672,1789464618.45487,1789464618.4548752,1789464618.4548762,1.0,5.373e-06]"
/pose_provider/agv1/estimator_timing,1789464618.454976,1789464618.454976,,"[45008.0,1789464618.4547672,1789464618.4549127,0.000145196,1.0]"
/multi_agv/state_projection_timing,1789464618.456454,1789464618.4564204,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.4564204,1.0,0.0,1789464618.4427352,0.013685043000000001,1.0,-0.006817332049123024,0.0,1789464618.4457586,0.010661760000000001,1.0,0.0015493725205030853,0.0,1789464618.4455588,0.010861635000000001,1.0,0.005787167374862887,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.4604247,1789464618.4604247,,"[45021.0,1789464618.4577591,1789464618.460343,1789464618.4603515,1789464618.4603543,1.0,8.542e-06]"
/pose_provider/agv2/estimator_timing,1789464618.4604335,1789464618.4604335,,"[42656.0,1789464618.4577591,1789464618.460411,0.002651884,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.462972,1789464618.462972,,"[45150.0,1789464618.46272,1789464618.4628272,1789464618.4628341,1789464618.4628377,1.0,6.916e-06]"
/pose_provider/agv1/estimator_timing,1789464618.4630172,1789464618.4630172,,"[45009.0,1789464618.46272,1789464618.4628756,0.00015555,1.0]"
/multi_agv/state_projection_timing,1789464618.4665139,1789464618.4664352,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.4664352,1.0,0.0,1789464618.4547672,0.011667933,1.0,-0.0068173320491230205,0.0,1789464618.4577591,0.008676088,1.0,0.0015578398845854172,0.0,1789464618.4575737,0.008861538,1.0,0.005630683482242112,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.468228,1789464618.468228,,"[45022.0,1789464618.465797,1789464618.4681566,1789464618.4681652,1789464618.4681673,1.0,8.612e-06]"
/pose_provider/agv2/estimator_timing,1789464618.4683115,1789464618.4683115,,"[42657.0,1789464618.465797,1789464618.4682646,0.002467536,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.4748857,1789464618.4748857,,"[45151.0,1789464618.4747562,1789464618.4748313,1789464618.4748373,1789464618.4748385,1.0,5.9870000000000004e-06]"
/pose_provider/agv1/estimator_timing,1789464618.4748986,1789464618.4748986,,"[45010.0,1789464618.4747562,1789464618.4748704,0.00011401500000000001,1.0]"
/multi_agv/state_projection_timing,1789464618.4766579,1789464618.476471,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.476471,1.0,0.0,1789464618.46272,0.01375116,1.0,-0.006791673831603111,0.0,1789464618.465797,0.010674035,1.0,0.0015578398845854137,0.0,1789464618.465621,0.010850134,1.0,0.005630683482242115,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.4816358,1789464618.4816358,,"[45023.0,1789464618.4777882,1789464618.4815853,1789464618.4815907,1789464618.4815917,1.0,5.404e-06]"
/pose_provider/agv2/estimator_timing,1789464618.4816992,1789464618.4816992,,"[42658.0,1789464618.4777882,1789464618.4816735,0.0038852680000000003,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.4829485,1789464618.4829485,,"[45152.0,1789464618.482724,1789464618.4828992,1789464618.4829068,1789464618.4829085,1.0,7.743e-06]"
/pose_provider/agv1/estimator_timing,1789464618.4830096,1789464618.4830096,,"[45011.0,1789464618.482724,1789464618.4829824,0.000258273,1.0]"
/multi_agv/state_projection_timing,1789464618.4866436,1789464618.486464,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.486464,1.0,0.0,1789464618.4747562,0.011707813000000001,1.0,-0.006791673831603132,0.0,1789464618.4777882,0.008675872000000001,1.0,0.0015578398845854137,0.0,1789464618.4775667,0.008897441,1.0,0.005630683482242115,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.4895282,1789464618.4895282,,"[45024.0,1789464618.4858217,1789464618.4894888,1789464618.4894924,1789464618.489493,1.0,3.729e-06]"
/pose_provider/agv2/estimator_timing,1789464618.4896395,1789464618.4896395,,"[42659.0,1789464618.4858217,1789464618.4895623,0.003740488,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.494943,1789464618.494943,,"[45153.0,1789464618.4947407,1789464618.494819,1789464618.4948251,1789464618.4948285,1.0,6.161e-06]"
/pose_provider/agv1/estimator_timing,1789464618.4950974,1789464618.4950974,,"[45012.0,1789464618.4947407,1789464618.494975,0.00023430800000000002,1.0]"
/multi_agv/state_projection_timing,1789464618.4965806,1789464618.4964483,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464618.4964483,1.0,0.0,1789464618.482724,0.013724340000000002,1.0,-0.006791673831603132,0.0,1789464618.4858217,0.010626533,1.0,0.0015578398845854137,0.0,1789464618.4855745,0.010873923,1.0,0.005630683482242115,0.0]"
/pose_provider/agv2/fusion_timing,1789464618.5021307,1789464618.5021307,,"[45025.0,1789464618.497788,1789464618.5020123,1789464618.502075,1789464618.5020783,1.0,6.2517e-05]"
/pose_provider/agv2/estimator_timing,1789464618.5021985,1789464618.5021985,,"[42660.0,1789464618.497788,1789464618.502165,0.00437713,1.0]"
/pose_provider/agv1/fusion_timing,1789464618.5029335,1789464618.5029335,,"[45154.0,1789464618.5027287,1789464618.50282,1789464618.5028775,1789464618.502879,1.0,5.7346e-05]"
/pose_provider/agv1/estimator_timing,1789464618.5029528,1789464618.5029528,,"[45013.0,1789464618.5027287,1789464618.5029178,0.000188827,1.0]"
