topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789464619.3330617,1789464619.3330617,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.3322046,2.0,0.0021073694129233205,0.0,0.0,0.004,0.0,0.008726015414423827,0.007377123872166607,0.008726015414423827,0.007377123872166607,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.3427498,1789464619.3427498,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.3421683,2.0,0.002212701504485354,0.0,0.0,0.004,0.0,0.009051096232940451,0.007671329113890549,0.009051096232940451,0.007671329113890549,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.3528848,1789464619.3528848,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.3522232,2.0,0.0022147857732852726,0.0,0.0,0.004,0.0,0.009374084638167038,0.008032497412874779,0.009374084638167038,0.008032497412874779,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.3626912,1789464619.3626912,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.3621693,2.0,0.0023717325875052763,0.0,0.0,0.004,0.0,0.009555184951509966,0.008163152620218952,0.009555184951509966,0.008163152620218952,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.372938,1789464619.372938,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.3722212,2.0,0.002571174356274942,0.0,0.0,0.004,0.0,0.0096967100996846,0.008275140101496567,0.0096967100996846,0.008275140101496567,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.3827767,1789464619.3827767,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.3821685,2.0,0.0022939497100596777,0.0,0.0,0.004,0.0,0.010241140630074162,0.008774015867919528,0.010241140630074162,0.008774015867919528,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.3929174,1789464619.3929174,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.392198,2.0,0.0023820241708528552,0.0,0.0,0.004,0.0,0.010512952650406089,0.00901176376334789,0.010512952650406089,0.00901176376334789,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.4028032,1789464619.4028032,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.4021692,2.0,0.0025168618855036387,0.0,0.0,0.004,0.0,0.010691114488104614,0.00915015834929123,0.010691114488104614,0.00915015834929123,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.4127276,1789464619.4127276,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.4122045,2.0,0.002677405908512171,0.0,0.0,0.004,0.0,0.010829092262920493,0.009281756861190961,0.010829092262920493,0.009281756861190961,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.4225812,1789464619.4225812,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.4221675,2.0,0.0027318102479841895,0.0,0.0,0.004,0.0,0.011246248674686397,0.009669188921892294,0.011246248674686397,0.009669188921892294,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.4327662,1789464619.4327662,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.4322011,2.0,0.002748007075650902,0.0,0.0,0.004,0.0,0.011615077260868538,0.010006580739814008,0.011615077260868538,0.010006580739814008,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.4426665,1789464619.4426665,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.4421682,2.0,0.002814543147098126,0.0,0.0,0.004,0.0,0.011986232095772743,0.010340296437609666,0.011986232095772743,0.010340296437609666,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789464619.4528162,1789464619.4528162,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789464619.452291,2.0,0.0029623205418932846,0.0,0.0,0.004,0.0,0.012265607325252116,0.010566189524566094,0.012265607325252116,0.010566189524566094,0.0,0.0]"
