topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789464775.722856,1789464775.7227662,1,60877,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.433480262756348
/agv1/capability_report,1789464775.7348175,1789464775.734728,1,60878,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.433480262756348
/agv2/capability_report,1789464775.7381551,1789464775.7376838,2,60750,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.082271575927734
/agv3/capability_report,1789464775.7395065,1789464775.737558,3,60632,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.178094863891602
/agv1/capability_report,1789464775.7429135,1789464775.7427866,1,60879,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.947619438171387
/agv2/capability_report,1789464775.7462032,1789464775.7456653,2,60751,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.082271575927734
/agv3/capability_report,1789464775.74781,1789464775.7455719,3,60633,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.178094863891602
/agv1/capability_report,1789464775.7549524,1789464775.7547817,1,60880,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.947619438171387
/agv2/capability_report,1789464775.758757,1789464775.757671,2,60752,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.082271575927734
/agv3/capability_report,1789464775.7603729,1789464775.7575676,3,60634,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.178094863891602
/agv1/capability_report,1789464775.7629094,1789464775.7627816,1,60881,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.947619438171387
/agv2/capability_report,1789464775.7665787,1789464775.7655954,2,60753,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.082271575927734
/agv3/capability_report,1789464775.7686868,1789464775.7655704,3,60635,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.178094863891602
/agv1/capability_report,1789464775.7748473,1789464775.774732,1,60882,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.947619438171387
/agv2/capability_report,1789464775.778576,1789464775.7776146,2,60754,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.082271575927734
/agv3/capability_report,1789464775.7785854,1789464775.777576,3,60636,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.178094863891602
/agv1/capability_report,1789464775.7828665,1789464775.7827845,1,60883,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.947619438171387
/agv2/capability_report,1789464775.7863507,1789464775.7856667,2,60755,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.082271575927734
