topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789464776.0122688,1789464776.0122688,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.0112998,1.0,1.6969836148187172e-07,1.6645306554813377e-07,1.6969836148187172e-07,1.6645306554813377e-07,1.6969836148187172e-07,0.16,0.16,-0.011280153251739701,-1.1134338204029295e-07,-1.1519907485465578e-07,-1.1134338204029295e-07,-1.1519907485465578e-07,0.16,0.16,0.003999081861709445,-1.3569574471295565e-07,-1.4146656525294057e-07,-1.3569574471295565e-07,-1.4146656525294057e-07,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.0220509,1789464776.0220509,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.0212944,1.0,1.324791756541353e-06,1.2994788019847246e-06,1.324791756541353e-06,1.2994788019847246e-06,1.324791756541353e-06,0.16,0.16,-0.011280153251739701,-8.688614614204886e-07,-8.989354452314905e-07,-8.688614614204886e-07,-8.989354452314905e-07,0.16,0.16,0.003999081861709445,-1.0591616171582871e-06,-1.1041733884926813e-06,-1.0591616171582871e-06,-1.1041733884926813e-06,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.032291,1789464776.032291,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.0312972,1.0,4.397941579541398e-06,4.313979474616084e-06,4.397941579541398e-06,4.313979474616084e-06,4.397941579541398e-06,0.16,0.16,-0.011280153251739701,-2.883218249799962e-06,-2.982972508479673e-06,-2.883218249799962e-06,-2.982972508479673e-06,0.16,0.16,0.003999081861709445,-3.5155518371092172e-06,-3.6648541674014514e-06,-3.5155518371092172e-06,-3.6648541674014514e-06,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.0420578,1789464776.0420578,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.0412319,1.0,1.0190723170243456e-05,1.0050543415815776e-05,1.0190723170243456e-05,1.0050543415815776e-05,1.0190723170243456e-05,0.16,0.16,-0.011280153251739701,-6.7015964249003885e-06,-6.900777065629249e-06,-6.7015964249003885e-06,-6.900777065629249e-06,0.16,0.16,0.003999081861709445,-8.205610051485143e-06,-8.48917596264424e-06,-8.205610051485143e-06,-8.48917596264424e-06,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.0522997,1789464776.0522997,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.051233,1.0,1.9636114122257396e-05,1.9366205880724606e-05,1.9636114122257396e-05,1.9366205880724606e-05,1.9636114122257396e-05,0.16,0.16,-0.011280153251739701,-1.2908274902356532e-05,-1.329178606981376e-05,-1.2908274902356532e-05,-1.329178606981376e-05,0.16,0.16,0.003999081861709445,-1.5808649778458692e-05,-1.6354640046149594e-05,-1.5808649778458692e-05,-1.6354640046149594e-05,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.0620158,1789464776.0620158,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.0612671,1.0,3.3526742891102086e-05,3.306622005467699e-05,3.3526742891102086e-05,3.306622005467699e-05,3.3526742891102086e-05,0.16,0.16,-0.011280153251739701,-2.2031867580599033e-05,-2.2686222099660077e-05,-2.2031867580599033e-05,-2.2686222099660077e-05,0.16,0.16,0.003999081861709445,-2.698772072512039e-05,-2.791930034122745e-05,-2.698772072512039e-05,-2.791930034122745e-05,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.0721538,1789464776.0721538,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.071278,1.0,5.250087122545832e-05,5.176666496072637e-05,5.250087122545832e-05,5.176666496072637e-05,5.250087122545832e-05,0.16,0.16,-0.011280153251739701,-3.4270114846471426e-05,-3.54607032406857e-05,-3.4270114846471426e-05,-3.54607032406857e-05,0.16,0.16,0.003999081861709445,-4.198891462098832e-05,-4.346677538471282e-05,-4.198891462098832e-05,-4.346677538471282e-05,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.0820408,1789464776.0820408,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.0812657,1.0,7.709754536526129e-05,7.624956706045637e-05,7.709754536526129e-05,7.624956706045637e-05,7.709754536526129e-05,0.16,0.16,-0.011280153251739701,-5.0412851080662926e-05,-5.214934524328672e-05,-5.0412851080662926e-05,-5.214934524328672e-05,0.16,0.16,0.003999081861709445,-6.177705592277885e-05,-6.393624158842599e-05,-6.177705592277885e-05,-6.393624158842599e-05,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.0923274,1789464776.0923274,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.091315,1.0,0.00010843343083703765,0.00010724144600161575,0.00010843343083703765,0.00010724144600161575,0.00010843343083703765,0.16,0.16,-0.011280153251739701,-7.088067268609426e-05,-7.332162669441599e-05,-7.088067268609426e-05,-7.332162669441599e-05,0.16,0.16,0.003999081861709445,-8.687311505120865e-05,-8.990823751770507e-05,-8.687311505120865e-05,-8.990823751770507e-05,0.16,0.16,0.007062929558570911]"
/multi_agv/formal_execution_limiter_state,1789464776.1019928,1789464776.1019928,formal_execution_limiter_v1:header4+3x7,"[1.0,1789464776.1013298,1.0,0.00014673623563094147,0.00014512399630079397,0.00014673623563094147,0.00014512399630079397,0.00014673623563094147,0.16,0.16,-0.011280153251739701,-9.588956297489849e-05,-9.919111963564513e-05,-9.588956297489849e-05,-9.919111963564513e-05,0.16,0.16,0.003999081861709445,-0.0001175424560664641,-0.00012164766558045361,-0.0001175424560664641,-0.00012164766558045361,0.16,0.16,0.007062929558570911]"
