topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789453507.577744,1789453507.577744,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.5766208,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-1.252560652883793e-07,-1.304988563066595e-07,-1.252560652883793e-07,-1.304988563066595e-07,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.587323,1789453507.587323,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.5864823,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-9.54944009461998e-07,-9.948908140414632e-07,-9.54944009461998e-07,-9.948908140414632e-07,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.597522,1789453507.597522,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.5964816,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-3.1870923551030617e-06,-3.3203370439444536e-06,-3.1870923551030617e-06,-3.3203370439444536e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.6074977,1789453507.6074977,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.606628,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-7.542581689744252e-06,-7.857746923884484e-06,-7.542581689744252e-06,-7.857746923884484e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.6174834,1789453507.6174834,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.6164486,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-1.435635411738028e-05,-1.4955938440889959e-05,-1.435635411738028e-05,-1.4955938440889959e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.627661,1789453507.627661,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.6266294,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-2.470285075947429e-05,-2.57340644508006e-05,-2.470285075947429e-05,-2.57340644508006e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.6372826,1789453507.6372826,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.6364167,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-3.832052452642864e-05,-3.9919543015722755e-05,-3.832052452642864e-05,-3.9919543015722755e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.647155,1789453507.647155,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.6464734,2.0,0.005786027867861306,0.0,0.0,0.004,0.0,-5.6560506872526875e-05,-5.891973075907949e-05,-5.6560506872526875e-05,-5.891973075907949e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.6573157,1789453507.6573157,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.6564765,2.0,0.00573483225089539,0.0,0.0,0.004,0.0,-7.927592284698534e-05,-8.243246383226669e-05,-7.927592284698534e-05,-8.243246383226669e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789453507.6671784,1789453507.6671784,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789453507.6664705,2.0,0.005734832250895376,0.0,0.0,0.004,0.0,-0.00010724344738133573,-0.00011149729357019821,-0.00010724344738133573,-0.00011149729357019821,0.0,0.0]"
