topic,bag_stamp,header_stamp,layout_label,data_json
/pose_provider/agv2/fusion_timing,1789453861.6613083,1789453861.6613083,,"[1232.0,1789453861.6580224,1789453861.6611927,1789453861.6612065,1789453861.6612115,1.0,1.4024000000000002e-05]"
/pose_provider/agv2/estimator_timing,1789453861.661353,1789453861.661353,,"[1198.0,1789453861.6580224,1789453861.6613178,0.003295187,1.0]"
/pose_provider/agv3/estimator_timing,1789453861.6613994,1789453861.6613994,,"[2493.0,1789453861.6607707,1789453861.6613522,0.0005814370000000001,1.0]"
/pose_provider/agv1/fusion_timing,1789453861.6632237,1789453861.6632237,,"[2974.0,1789453861.663034,1789453861.663143,1789453861.6631672,1789453861.6631677,1.0,2.4286e-05]"
/pose_provider/agv1/estimator_timing,1789453861.6632795,1789453861.6632795,,"[2951.0,1789453861.663034,1789453861.6632462,0.000211985,1.0]"
/multi_agv/state_projection_timing,1789453861.6659405,1789453861.6657786,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789453861.6657786,1.0,0.0,1789453861.654984,0.010794544000000001,1.0,-0.0027123590157796806,0.0,1789453861.6580224,0.007756149,1.0,0.002753523567856228,0.0,1789453861.6607707,0.005007964,1.0,-0.0003769535342145469,0.0]"
/pose_provider/agv2/fusion_timing,1789453861.6726182,1789453861.6726182,,"[1233.0,1789453861.6699781,1789453861.672415,1789453861.67246,1789453861.672463,1.0,4.5037e-05]"
/pose_provider/agv2/estimator_timing,1789453861.6726425,1789453861.6726425,,"[1199.0,1789453861.6699781,1789453861.6725829,0.002604477,1.0]"
/pose_provider/agv3/estimator_timing,1789453861.6726766,1789453861.6726766,,"[2494.0,1789453861.6687272,1789453861.672631,0.0039037800000000004,1.0]"
/pose_provider/agv1/fusion_timing,1789453861.6752253,1789453861.6752253,,"[2975.0,1789453861.675014,1789453861.6751313,1789453861.6751409,1789453861.6751423,1.0,9.532000000000001e-06]"
/pose_provider/agv1/estimator_timing,1789453861.675243,1789453861.675243,,"[2952.0,1789453861.675014,1789453861.6752112,0.000196989,1.0]"
/multi_agv/state_projection_timing,1789453861.6758611,1789453861.6757388,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789453861.6757388,1.0,0.0,1789453861.663034,0.012704859,1.0,-0.002712359015779677,0.0,1789453861.6699781,0.0057606590000000004,1.0,0.0027535235678562316,0.0,1789453861.6687272,0.007011745000000001,1.0,-0.0003769535342145504,0.0]"
/pose_provider/agv2/fusion_timing,1789453861.680501,1789453861.680501,,"[1234.0,1789453861.6779826,1789453861.6804051,1789453861.6804154,1789453861.6804183,1.0,1.0304e-05]"
/pose_provider/agv2/estimator_timing,1789453861.6805897,1789453861.6805897,,"[1200.0,1789453861.6779826,1789453861.6804898,0.0025068770000000002,1.0]"
/pose_provider/agv1/fusion_timing,1789453861.6832185,1789453861.6832185,,"[2976.0,1789453861.6829898,1789453861.6831038,1789453861.683115,1789453861.6831188,1.0,1.1217000000000001e-05]"
/pose_provider/agv1/estimator_timing,1789453861.6832502,1789453861.6832502,,"[2953.0,1789453861.6829898,1789453861.6832018,0.00021175300000000002,1.0]"
/multi_agv/state_projection_timing,1789453861.6857963,1789453861.6857119,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789453861.6857119,1.0,0.0,1789453861.663034,0.022678002000000003,1.0,-0.002712359015779677,0.0,1789453861.6699781,0.015733802,1.0,0.0027535235678562316,0.0,1789453861.6687272,0.016984888,1.0,-0.0003769535342145504,0.0]"
/pose_provider/agv1/fusion_timing,1789453861.6951387,1789453861.6951387,,"[2977.0,1789453861.6949677,1789453861.6950495,1789453861.695061,1789453861.6950634,1.0,1.125e-05]"
/pose_provider/agv1/estimator_timing,1789453861.6953027,1789453861.6953027,,"[2954.0,1789453861.6949677,1789453861.6951349,0.000166699,1.0]"
/pose_provider/agv2/fusion_timing,1789453861.6957233,1789453861.6957233,,"[1235.0,1789453861.6900294,1789453861.695625,1789453861.6956575,1789453861.6956613,1.0,3.2543e-05]"
/pose_provider/agv3/estimator_timing,1789453861.6957254,1789453861.6957254,,"[2495.0,1789453861.6807814,1789453861.6956844,0.014902721,1.0]"
/multi_agv/state_projection_timing,1789453861.6957471,1789453861.6957095,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789453861.6957095,1.0,0.0,1789453861.675014,0.020695537,1.0,-0.002712359015779677,0.0,1789453861.6779826,0.017727016,1.0,0.0027535235678562316,0.0,1789453861.6807814,0.014928062,1.0,-0.0003544462910177251,0.0]"
/pose_provider/agv2/estimator_timing,1789453861.6958025,1789453861.6958025,,"[1201.0,1789453861.6900294,1789453861.695777,0.005747574,1.0]"
/pose_provider/agv3/estimator_timing,1789453861.6958084,1789453861.6958084,,"[2496.0,1789453861.6887767,1789453861.6957498,0.0069729200000000005,1.0]"
/pose_provider/agv2/fusion_timing,1789453861.6987462,1789453861.6987462,,"[1236.0,1789453861.6980002,1789453861.698706,1789453861.6987154,1789453861.698717,1.0,9.356e-06]"
/pose_provider/agv2/estimator_timing,1789453861.698797,1789453861.698797,,"[1202.0,1789453861.6980002,1789453861.698769,0.0007687480000000001,1.0]"
/pose_provider/agv3/estimator_timing,1789453861.7027948,1789453861.7027948,,"[2497.0,1789453861.7007792,1789453861.7027688,0.0019895390000000002,1.0]"
/pose_provider/agv1/fusion_timing,1789453861.703076,1789453861.703076,,"[2978.0,1789453861.7029703,1789453861.703032,1789453861.7030394,1789453861.7030406,1.0,7.514e-06]"
