topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789455326.2123528,1789455326.2123528,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2115357,1.0,1.0567017137148204e-07,-1.0567017137148204e-07,-9.656159149572953e-08,-1.0567017137148204e-07,-9.656159149572953e-08,0.16,0.16,0.0022769039711589916,9.325063255865241e-08,1.013196587643459e-07,9.325063255865241e-08,1.013196587643459e-07,0.16,0.16,-0.0014740219045563392,8.6961882139716e-08,9.659067991835629e-08,8.6961882139716e-08,9.659067991835629e-08,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.2224014,1789455326.2224014,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2215812,1.0,8.334793229928993e-07,-8.334793229928993e-07,-7.616553450078043e-07,-8.334793229928993e-07,-7.616553450078043e-07,0.16,0.16,0.0022769039711589916,7.354933667360897e-07,7.99120141598526e-07,7.354933667360897e-07,7.99120141598526e-07,0.16,0.16,-0.0014740219045563392,6.858262682496242e-07,7.617523256580784e-07,6.858262682496242e-07,7.617523256580784e-07,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.2320185,1789455326.2320185,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.231466,1.0,2.7287833445717724e-06,-2.7287833445717724e-06,-2.492453804278258e-06,-2.7287833445717724e-06,-2.492453804278258e-06,0.16,0.16,0.0022769039711589916,2.411304361978138e-06,2.6208173587737668e-06,2.411304361978138e-06,2.6208173587737668e-06,0.16,0.16,-0.0014740219045563392,2.2229965773786164e-06,2.4552016178063432e-06,2.2229965773786164e-06,2.4552016178063432e-06,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.2420907,1789455326.2420907,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2415159,1.0,6.404461423844735e-06,-6.404461423844735e-06,-5.849933042127244e-06,-6.404461423844735e-06,-5.849933042127244e-06,0.16,0.16,0.0022769039711589916,5.659191944992087e-06,6.150797453547437e-06,5.659191944992087e-06,6.150797453547437e-06,0.16,0.16,-0.0014740219045563392,5.2166744140868794e-06,5.761524980001664e-06,5.2166744140868794e-06,5.761524980001664e-06,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.2521017,1789455326.2521017,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2514658,1.0,1.192775708893147e-05,-1.192775708893147e-05,-1.1070806196394945e-05,-1.192775708893147e-05,-1.1070806196394945e-05,0.16,0.16,0.0022769039711589916,1.0882433370640872e-05,1.1608823125288674e-05,1.0882433370640872e-05,1.1608823125288674e-05,0.16,0.16,-0.0014740219045563392,9.981637010772047e-06,1.105635576913302e-05,9.981637010772047e-06,1.105635576913302e-05,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.2621057,1789455326.2621057,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2615087,1.0,2.0487759567936182e-05,-2.0487759567936182e-05,-1.8940734576178668e-05,-2.0487759567936182e-05,-1.8940734576178668e-05,0.16,0.16,0.0022769039711589916,1.8591134240146748e-05,1.9826091784149403e-05,1.8591134240146748e-05,1.9826091784149403e-05,0.16,0.16,-0.0014740219045563392,1.7051574834266307e-05,1.8881342295066228e-05,1.7051574834266307e-05,1.8881342295066228e-05,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.272142,1789455326.272142,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2715318,1.0,3.212610672808705e-05,-3.212610672808705e-05,-2.97095046991234e-05,-3.212610672808705e-05,-2.97095046991234e-05,0.16,0.16,0.0022769039711589916,2.885259307422673e-05,3.068522075633165e-05,2.885259307422673e-05,3.068522075633165e-05,0.16,0.16,-0.0014740219045563392,2.7229095512521692e-05,3.0300226023203068e-05,2.7229095512521692e-05,3.0300226023203068e-05,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.2821033,1789455326.2821033,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2815292,1.0,4.726394491600908e-05,-4.726394491600908e-05,-4.3709133851605836e-05,-4.726394491600908e-05,-4.3709133851605836e-05,0.16,0.16,0.0022769039711589916,4.244814102386057e-05,4.514392875461129e-05,4.244814102386057e-05,4.514392875461129e-05,0.16,0.16,-0.0014740219045563392,4.005821190707137e-05,4.4575831158092234e-05,4.005821190707137e-05,4.4575831158092234e-05,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.292065,1789455326.292065,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.2914693,1.0,6.62182253594425e-05,-6.62182253594425e-05,-6.123839366632499e-05,-6.62182253594425e-05,-6.123839366632499e-05,0.16,0.16,0.0022769039711589916,5.947234989616431e-05,6.324880147995103e-05,5.947234989616431e-05,6.324880147995103e-05,0.16,0.16,-0.0014740219045563392,5.6122108853648015e-05,6.245070989988973e-05,5.6122108853648015e-05,6.245070989988973e-05,0.16,0.16,-0.001266165662874393]"
/multi_agv/formal_execution_limiter_state,1789455326.3022447,1789455326.3022447,formal_execution_limiter_v1:header4+3x7,"[1.0,1789455326.3015985,1.0,8.989684882783474e-05,-8.989684882783474e-05,-8.313688235239635e-05,-8.989684882783474e-05,-8.313688235239635e-05,0.16,0.16,0.0022769039711589916,8.07419975079898e-05,8.586841437573769e-05,8.07419975079898e-05,8.586841437573769e-05,0.16,0.16,-0.0014740219045563392,7.619132155130746e-05,8.478219910795086e-05,7.619132155130746e-05,8.478219910795086e-05,0.16,0.16,-0.001266165662874393]"
