topic,bag_stamp,header_stamp,robot_id,command_seq,control_mode,linear_velocity_reference,angular_velocity_reference,wheel_left_raw,wheel_right_raw,experiment_id,method_id
/agv2/chassis_command,1789464242.3939984,1789464242.393265,2,51927,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.3940005,1789464242.393265,1,51927,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.394063,1789464242.393265,3,51927,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.403709,1789464242.4031773,1,51928,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.4037206,1789464242.4031773,2,51928,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4037411,1789464242.4031773,3,51928,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.4138215,1789464242.4132478,1,51929,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.4138377,1789464242.4132478,2,51929,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4138532,1789464242.4132478,3,51929,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.4240537,1789464242.4232252,1,51930,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.4240646,1789464242.4232252,2,51930,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4240675,1789464242.4232252,3,51930,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.433894,1789464242.4333088,1,51931,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.433894,1789464242.4333088,2,51931,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4338965,1789464242.4333088,3,51931,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.4436991,1789464242.4431741,2,51932,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4437015,1789464242.4431741,3,51932,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.4437082,1789464242.4431741,1,51932,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.4538758,1789464242.453226,1,51933,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.45388,1789464242.453226,2,51933,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4538822,1789464242.453226,3,51933,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.4636397,1789464242.463173,1,51934,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.463642,1789464242.463173,2,51934,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4636488,1789464242.463173,3,51934,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.4737077,1789464242.4732273,1,51935,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.4737108,1789464242.4732273,2,51935,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv3/chassis_command,1789464242.4737322,1789464242.4732273,3,51935,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv1/chassis_command,1789464242.4837584,1789464242.483173,1,51936,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
/agv2/chassis_command,1789464242.4837716,1789464242.483173,2,51936,1,0.0,0.0,0.0,0.0,classic_additive_candidate_A_physical_commissioning,M1b_R1
