topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/state_projection_timing,1789464242.3941286,1789464242.394076,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.394076,1.0,0.0,1789464242.3828304,0.011245717,1.0,0.003574914837174349,0.0,1789464242.3858156,0.008260536,1.0,-0.0025365437707132073,0.0,1789464242.385632,0.008444005000000001,1.0,-0.0014497131237793982,0.0]"
/pose_provider/agv1/fusion_timing,1789464242.3950996,1789464242.3950996,,"[7543.0,1789464242.3947952,1789464242.3949654,1789464242.3949766,1789464242.39498,1.0,1.1062e-05]"
/pose_provider/agv1/estimator_timing,1789464242.3951027,1789464242.3951027,,"[7519.0,1789464242.3947952,1789464242.3950236,0.00022813100000000002,1.0]"
/pose_provider/agv2/fusion_timing,1789464242.401056,1789464242.401056,,"[7415.0,1789464242.3977373,1789464242.4008915,1789464242.4009461,1789464242.4009466,1.0,5.4532000000000006e-05]"
/pose_provider/agv2/estimator_timing,1789464242.40115,1789464242.40115,,"[6875.0,1789464242.3977373,1789464242.401055,0.003317439,1.0]"
/pose_provider/agv1/fusion_timing,1789464242.403034,1789464242.403034,,"[7544.0,1789464242.402776,1789464242.4029455,1789464242.4029634,1789464242.4029648,1.0,1.7891000000000002e-05]"
/pose_provider/agv1/estimator_timing,1789464242.4030483,1789464242.4030483,,"[7520.0,1789464242.402776,1789464242.403012,0.00023608,1.0]"
/multi_agv/state_projection_timing,1789464242.4041245,1789464242.404042,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.404042,1.0,0.0,1789464242.3947952,0.009246691000000001,1.0,0.003574914837174349,0.0,1789464242.3977373,0.0063046560000000005,1.0,-0.0025365437707132073,0.0,1789464242.3976262,0.006415848,1.0,-0.0014497131237793982,0.0]"
/pose_provider/agv2/fusion_timing,1789464242.4077497,1789464242.4077497,,"[7416.0,1789464242.405738,1789464242.4076917,1789464242.4076965,1789464242.407699,1.0,4.763e-06]"
/pose_provider/agv2/estimator_timing,1789464242.407802,1789464242.407802,,"[6876.0,1789464242.405738,1789464242.4077797,0.002041466,1.0]"
/multi_agv/state_projection_timing,1789464242.4141064,1789464242.414036,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.414036,1.0,0.0,1789464242.402776,0.011260095000000001,1.0,0.003574914837174349,0.0,1789464242.405738,0.008297941,1.0,-0.0027272832963914535,0.0,1789464242.4056191,0.008416801,1.0,-0.0015023107576780104,0.0]"
/pose_provider/agv1/fusion_timing,1789464242.4149265,1789464242.4149265,,"[7545.0,1789464242.414772,1789464242.4148593,1789464242.4148824,1789464242.4148846,1.0,2.3197e-05]"
/pose_provider/agv1/estimator_timing,1789464242.4149325,1789464242.4149325,,"[7521.0,1789464242.414772,1789464242.414914,0.000141762,1.0]"
/pose_provider/agv2/fusion_timing,1789464242.4211876,1789464242.4211876,,"[7417.0,1789464242.4178104,1789464242.4210856,1789464242.4211118,1789464242.4211123,1.0,2.6106e-05]"
/pose_provider/agv2/estimator_timing,1789464242.4212,1789464242.4212,,"[6877.0,1789464242.4178104,1789464242.4211724,0.003362008,1.0]"
/pose_provider/agv1/fusion_timing,1789464242.4229896,1789464242.4229896,,"[7546.0,1789464242.4227772,1789464242.4228964,1789464242.422903,1789464242.4229045,1.0,6.749e-06]"
/pose_provider/agv1/estimator_timing,1789464242.4231393,1789464242.4231393,,"[7522.0,1789464242.4227772,1789464242.422991,0.00021373,1.0]"
/multi_agv/state_projection_timing,1789464242.4241004,1789464242.4240363,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.4240363,1.0,0.0,1789464242.414772,0.009264117,1.0,0.0035635980171678586,0.0,1789464242.4178104,0.006225778,1.0,-0.002727283296391457,0.0,1789464242.417674,0.006362066,1.0,-0.001502310757678007,0.0]"
/pose_provider/agv2/fusion_timing,1789464242.43035,1789464242.43035,,"[7418.0,1789464242.425725,1789464242.4303,1789464242.4303129,1789464242.4303148,1.0,1.2917e-05]"
/pose_provider/agv2/estimator_timing,1789464242.4304347,1789464242.4304347,,"[6878.0,1789464242.425725,1789464242.4303591,0.004634111000000001,1.0]"
/multi_agv/state_projection_timing,1789464242.434083,1789464242.4340363,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.4340363,1.0,0.0,1789464242.4227772,0.011258986,1.0,0.0035635980171678655,0.0,1789464242.425725,0.008311321,1.0,-0.002727283296391457,0.0,1789464242.425625,0.008411109,1.0,-0.001502310757678007,0.0]"
/pose_provider/agv1/fusion_timing,1789464242.4349687,1789464242.4349687,,"[7547.0,1789464242.434773,1789464242.4348972,1789464242.4349067,1789464242.4349082,1.0,9.629e-06]"
/pose_provider/agv1/estimator_timing,1789464242.4350002,1789464242.4350002,,"[7523.0,1789464242.434773,1789464242.4349742,0.00020105,1.0]"
/pose_provider/agv2/fusion_timing,1789464242.4411495,1789464242.4411495,,"[7419.0,1789464242.4377048,1789464242.441063,1789464242.441079,1789464242.4410806,1.0,1.6136e-05]"
/pose_provider/agv2/estimator_timing,1789464242.4411836,1789464242.4411836,,"[6879.0,1789464242.4377048,1789464242.44116,0.003454866,1.0]"
/pose_provider/agv1/fusion_timing,1789464242.4430134,1789464242.4430134,,"[7548.0,1789464242.4427764,1789464242.4429715,1789464242.4429784,1789464242.4429798,1.0,6.852000000000001e-06]"
/pose_provider/agv1/estimator_timing,1789464242.443073,1789464242.443073,,"[7524.0,1789464242.4427764,1789464242.4430518,0.00027501,1.0]"
/multi_agv/state_projection_timing,1789464242.4441545,1789464242.4440708,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.4440708,1.0,0.0,1789464242.434773,0.009297907000000001,1.0,0.0035635980171678655,0.0,1789464242.4377048,0.006366013,1.0,-0.002736646522058045,0.0,1789464242.4376237,0.0064470890000000005,1.0,-0.0015746639483908004,0.0]"
/pose_provider/agv2/fusion_timing,1789464242.4481754,1789464242.4481754,,"[7420.0,1789464242.4457026,1789464242.4480987,1789464242.448102,1789464242.4481025,1.0,3.3130000000000003e-06]"
/pose_provider/agv2/estimator_timing,1789464242.4482443,1789464242.4482443,,"[6880.0,1789464242.4457026,1789464242.448225,0.002522509,1.0]"
/multi_agv/state_projection_timing,1789464242.4540966,1789464242.4540336,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.4540336,1.0,0.0,1789464242.4427764,0.011257162000000001,1.0,0.0035635980171678655,0.0,1789464242.4457026,0.008330996,1.0,-0.0027366465220580415,0.0,1789464242.4456263,0.008407417,1.0,-0.0015746639483908004,0.0]"
/pose_provider/agv1/fusion_timing,1789464242.4549963,1789464242.4549963,,"[7549.0,1789464242.4547246,1789464242.4548452,1789464242.4549267,1789464242.454929,1.0,8.1347e-05]"
/pose_provider/agv1/estimator_timing,1789464242.4550395,1789464242.4550395,,"[7525.0,1789464242.4547246,1789464242.4550183,0.000293446,1.0]"
/pose_provider/agv2/fusion_timing,1789464242.4613724,1789464242.4613724,,"[7421.0,1789464242.4577155,1789464242.4612887,1789464242.4613283,1789464242.461331,1.0,3.9524e-05]"
/pose_provider/agv2/estimator_timing,1789464242.4614463,1789464242.4614463,,"[6881.0,1789464242.4577155,1789464242.4614184,0.0037025100000000004,1.0]"
/pose_provider/agv1/fusion_timing,1789464242.4629962,1789464242.4629962,,"[7550.0,1789464242.4627826,1789464242.4629054,1789464242.462951,1789464242.4629533,1.0,4.5525e-05]"
/pose_provider/agv1/estimator_timing,1789464242.4630692,1789464242.4630692,,"[7526.0,1789464242.4627826,1789464242.4629884,0.000205311,1.0]"
/multi_agv/state_projection_timing,1789464242.4641402,1789464242.4640374,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.4640374,1.0,0.0,1789464242.4547246,0.00931291,1.0,0.0035635980171678655,0.0,1789464242.4577155,0.006321777000000001,1.0,-0.0027366465220580415,0.0,1789464242.4575915,0.006445748,1.0,-0.0015746639483908004,0.0]"
/pose_provider/agv2/fusion_timing,1789464242.4689925,1789464242.4689925,,"[7422.0,1789464242.4657686,1789464242.46888,1789464242.4689355,1789464242.4689388,1.0,5.5396e-05]"
/pose_provider/agv2/estimator_timing,1789464242.4690485,1789464242.4690485,,"[6882.0,1789464242.4657686,1789464242.469024,0.003255215,1.0]"
/multi_agv/state_projection_timing,1789464242.4741156,1789464242.4740357,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789464242.4740357,1.0,0.0,1789464242.4627826,0.011252973000000001,1.0,0.0035635980171678655,0.0,1789464242.4657686,0.008267224,1.0,-0.0027416968179592716,0.0,1789464242.4656277,0.008408089,1.0,-0.0015955525426156192,0.0]"
/pose_provider/agv1/fusion_timing,1789464242.4750354,1789464242.4750354,,"[7551.0,1789464242.474769,1789464242.4749799,1789464242.474989,1789464242.4749935,1.0,9.260000000000001e-06]"
/pose_provider/agv1/estimator_timing,1789464242.4750965,1789464242.4750965,,"[7527.0,1789464242.474769,1789464242.4750316,0.000262346,1.0]"
/pose_provider/agv2/fusion_timing,1789464242.480893,1789464242.480893,,"[7423.0,1789464242.4777093,1789464242.4808257,1789464242.4808342,1789464242.4808347,1.0,8.658e-06]"
/pose_provider/agv2/estimator_timing,1789464242.4809234,1789464242.4809234,,"[6883.0,1789464242.4777093,1789464242.4809005,0.0031911670000000004,1.0]"
/pose_provider/agv1/fusion_timing,1789464242.4830008,1789464242.4830008,,"[7552.0,1789464242.482724,1789464242.4829614,1789464242.4829662,1789464242.482967,1.0,4.789e-06]"
/pose_provider/agv1/estimator_timing,1789464242.4830117,1789464242.4830117,,"[7528.0,1789464242.482724,1789464242.4829934,0.00026919600000000003,1.0]"
