topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789465254.9828446,1789465254.9827516,1,108803,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.309377670288086
/agv2/capability_report,1789465254.9906049,1789465254.9856973,2,108675,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv3/capability_report,1789465254.991829,1789465254.9855683,3,108557,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.05399227142334
/agv1/capability_report,1789465254.9949665,1789465254.9947562,1,108804,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.309377670288086
/agv2/capability_report,1789465255.0006824,1789465254.9977117,2,108676,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv3/capability_report,1789465255.0021904,1789465254.9976232,3,108558,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.05399227142334
/agv1/capability_report,1789465255.0028398,1789465255.0027359,1,108805,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.309377670288086
/agv2/capability_report,1789465255.008921,1789465255.0057158,2,108677,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv3/capability_report,1789465255.0097625,1789465255.0055566,3,108559,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.05399227142334
/agv1/capability_report,1789465255.0148585,1789465255.0147545,1,108806,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.309377670288086
/agv3/capability_report,1789465255.0216787,1789465255.0175693,3,108560,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.05399227142334
/agv2/capability_report,1789465255.0217085,1789465255.0177155,2,108678,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv1/capability_report,1789465255.022792,1789465255.0227244,1,108807,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.309377670288086
/agv3/capability_report,1789465255.0290642,1789465255.0255816,3,108561,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.05399227142334
/agv2/capability_report,1789465255.02986,1789465255.0257113,2,108679,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv1/capability_report,1789465255.0348942,1789465255.0347712,1,108808,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.309377670288086
/agv3/capability_report,1789465255.0417676,1789465255.0375783,3,108562,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv2/capability_report,1789465255.041781,1789465255.0377154,2,108680,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv1/capability_report,1789465255.0429008,1789465255.0427587,1,108809,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.309377670288086
/agv2/capability_report,1789465255.0490975,1789465255.0456903,2,108681,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv3/capability_report,1789465255.050807,1789465255.0455675,3,108563,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv1/capability_report,1789465255.054912,1789465255.0547729,1,108810,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.841245651245117
/agv3/capability_report,1789465255.0620236,1789465255.0575714,3,108564,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv2/capability_report,1789465255.0620253,1789465255.057706,2,108682,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv1/capability_report,1789465255.0628798,1789465255.0627542,1,108811,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.841245651245117
/agv3/capability_report,1789465255.0689948,1789465255.0655687,3,108565,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.080586433410645
/agv2/capability_report,1789465255.0691245,1789465255.0657115,2,108683,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv1/capability_report,1789465255.074947,1789465255.07477,1,108812,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.841245651245117
