topic,bag_stamp,header_stamp,frame_id,robot_localization_source_1,robot_localization_source_2,robot_localization_source_3,robot_pose_valid_1,robot_pose_valid_2,robot_pose_valid_3,robot_pose_stamp_1,robot_pose_stamp_2,robot_pose_stamp_3,robot_pose_x_1,robot_pose_x_2,robot_pose_x_3,robot_pose_y_1,robot_pose_y_2,robot_pose_y_3,robot_pose_yaw_1,robot_pose_yaw_2,robot_pose_yaw_3,support_pose_valid_1,support_pose_valid_2,support_pose_valid_3,support_pose_x_1,support_pose_x_2,support_pose_x_3,support_pose_y_1,support_pose_y_2,support_pose_y_3,support_pose_yaw_1,support_pose_yaw_2,support_pose_yaw_3,path_state_valid_1,path_state_valid_2,path_state_valid_3,s_actual_1,s_actual_2,s_actual_3,s_dot_actual_1,s_dot_actual_2,s_dot_actual_3,load_localization_source,load_pose_valid,load_pose_stamp,load_pose_x,load_pose_y,load_pose_yaw,load_path_state_valid,load_s_actual,load_s_dot_actual
/multi_agv/cooperative_state,1789465254.9839203,1789465254.9837844,three_car_path,3,3,3,True,True,True,1789465254.974907,1789465254.9777179,1789465254.977416,0.1829870652800114,-0.181796304838732,-0.1811485932807979,0.0006943496615566813,0.16216143207410938,-0.16184695475075583,-0.009290913300965986,0.008997518285846162,0.0099272281505689,True,True,True,0.16515783482681445,-0.0827203153389869,-0.082073475400706,0.0008600042624418379,0.16305289415765542,-0.1608633811409566,-0.009290913300965986,0.008997518285846162,0.0099272281505689,True,True,True,-0.008047245930073242,0.0038822250394570253,0.004529064977737904,0.0,3.6522280477619e-15,0.0,3,True,1789465254.974907,0.00012134802904055497,0.0010165057597135523,0.0006162531241456335,True,0.00012134802904059681,6.569865544790907e-15
/multi_agv/cooperative_state,1789465254.9939313,1789465254.9938085,three_car_path,3,3,3,True,True,True,1789465254.9827516,1789465254.9856973,1789465254.9855683,0.18297840889893358,-0.1817759708995509,-0.1811650556518848,0.0005093031745977417,0.16190700447839085,-0.16175793133734861,-0.008930212078730904,0.006735402324784534,0.011002743526143943,True,True,True,0.16514911985376024,-0.08269821830508199,-0.08209105292186894,0.0006685267396300944,0.16257434309499605,-0.16066780150434154,-0.008930212078730904,0.006735402324784534,0.011002743526143943,True,True,True,-0.00805596090312746,0.003904322073361935,0.004511487456574974,0.0,3.28700524298571e-15,0.0,3,True,1789465254.9827516,0.00011994954226980659,0.0008583561100948637,0.00045703482050780497,True,0.00011994954226985531,5.912878990311816e-15
/multi_agv/cooperative_state,1789465255.003923,1789465255.0037935,three_car_path,3,3,3,True,True,True,1789465254.9947562,1789465254.9977117,1789465254.9976232,0.18297840889893358,-0.1817759708995509,-0.1811650556518848,0.0005093031745977417,0.16190700447839085,-0.16175793133734861,-0.008930212078730904,0.006735402324784534,0.011002743526143943,True,True,True,0.16514911985376024,-0.08269821830508199,-0.08209105292186894,0.0006685267396300944,0.16257434309499605,-0.16066780150434154,-0.008930212078730904,0.006735402324784534,0.011002743526143943,True,True,True,-0.008055960903127463,0.0039043220733619402,0.004511487456574967,0.0,2.9583047186871393e-15,0.0,3,True,1789465254.9947562,0.00011994954226980659,0.0008583561100948637,0.00045703482050780497,True,0.00011994954226983942,5.321591091280635e-15
/multi_agv/cooperative_state,1789465255.0139692,1789465255.013804,three_car_path,3,3,3,True,True,True,1789465255.0027359,1789465255.0057158,1789465255.0055566,0.18297840889893358,-0.1817759708995509,-0.1811650556518848,0.0005093031745977417,0.16190700447839085,-0.16175793133734861,-0.008930212078730904,0.006735402324784534,0.011002743526143943,True,True,True,0.16514911985376024,-0.08269821830508199,-0.08209105292186894,0.0006685267396300944,0.16257434309499605,-0.16066780150434154,-0.008930212078730904,0.006735402324784534,0.011002743526143943,True,True,True,-0.008055960903127463,0.003904322073361944,0.004511487456574967,0.0,2.6624742468184254e-15,0.0,3,True,1789465255.0027359,0.00011994954226980659,0.0008583561100948637,0.00045703482050780497,True,0.00011994954226984609,4.789431982152572e-15
/multi_agv/cooperative_state,1789465255.0238886,1789465255.02378,three_car_path,3,3,3,True,True,True,1789465255.0147545,1789465255.0177155,1789465255.0175693,0.18297840889893358,-0.1817557717348487,-0.18111084302446068,0.0005093031745977417,0.16162461531865047,-0.16180676426743157,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,0.16514911985376024,-0.08267655628205807,-0.08203617357122299,0.0006685267396300944,0.1620189061497596,-0.16077901296887118,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,-0.008055960903127463,0.003925984096385852,0.004566366807220921,0.0,2.396226822136583e-15,0.0,3,True,1789465255.0147545,0.00014546333349309731,0.0006361399735061724,0.0011444074252771265,True,0.0001454633334931241,4.310488783937315e-15
/multi_agv/cooperative_state,1789465255.0338914,1789465255.033784,three_car_path,3,3,3,True,True,True,1789465255.0227244,1789465255.0257113,1789465255.0255816,0.18297840889893358,-0.1817557717348487,-0.18111084302446068,0.0005093031745977417,0.16162461531865047,-0.16180676426743157,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,0.16514911985376024,-0.08267655628205807,-0.08203617357122299,0.0006685267396300944,0.1620189061497596,-0.16077901296887118,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,-0.008055960903127463,0.003925984096385858,0.004566366807220917,0.0,2.1566041399229248e-15,0.0,3,True,1789465255.0227244,0.00014546333349309731,0.0006361399735061724,0.0011444074252771265,True,0.00014546333349312913,3.879439905543583e-15
/multi_agv/cooperative_state,1789465255.0439203,1789465255.0437963,three_car_path,3,3,3,True,True,True,1789465255.0347712,1789465255.0377154,1789465255.0375783,0.18297840889893358,-0.1817557717348487,-0.18111084302446068,0.0005093031745977417,0.16162461531865047,-0.16180676426743157,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,0.16514911985376024,-0.08267655628205807,-0.08203617357122299,0.0006685267396300944,0.1620189061497596,-0.16077901296887118,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,-0.008055960903127463,0.003925984096385853,0.004566366807220917,0.0,1.9409437259306323e-15,0.0,3,True,1789465255.0347712,0.00014546333349309731,0.0006361399735061724,0.0011444074252771265,True,0.00014546333349311902,3.491495914989225e-15
/multi_agv/cooperative_state,1789465255.05398,1789465255.0538003,three_car_path,3,3,3,True,True,True,1789465255.0427587,1789465255.0456903,1789465255.0455675,0.18297840889893358,-0.1817557717348487,-0.18111084302446068,0.0005093031745977417,0.16162461531865047,-0.16180676426743157,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,0.16514911985376024,-0.08267655628205807,-0.08203617357122299,0.0006685267396300944,0.1620189061497596,-0.16077901296887118,-0.008930212078730904,0.003979530397855369,0.010373130098016992,True,True,True,-0.008055960903127463,0.003925984096385855,0.004566366807220917,0.0,1.746849353337569e-15,0.0,3,True,1789465255.0427587,0.00014546333349309731,0.0006361399735061724,0.0011444074252771265,True,0.00014546333349312317,3.1423463234903026e-15
/multi_agv/cooperative_state,1789465255.0639632,1789465255.0638087,three_car_path,3,3,3,True,True,True,1789465255.0547729,1789465255.057706,1789465255.0575714,0.182986794499593,-0.18185273139945857,-0.18109870843684694,0.0002780365450563149,0.16155637622598562,-0.16187474904039678,-0.008355966143154928,0.004426829898167563,0.009634881860123071,True,True,True,0.1651574169606184,-0.08277370222448195,-0.08202330724645743,0.00042702168763031426,0.16199498509973606,-0.16092013971540392,-0.00835596614315493,0.004426829898167564,0.009634881860123073,True,True,True,-0.008047663796269304,0.003828838153961972,0.004579233131986479,0.0,1.5721644180038122e-15,0.0,3,True,1789465255.0547729,0.00012013582989304125,0.0005006223573208179,0.001023238045516227,True,0.0001201358298930589,2.8281116911412725e-15
/multi_agv/cooperative_state,1789465255.0740025,1789465255.073814,three_car_path,3,3,3,True,True,True,1789465255.0627542,1789465255.0657115,1789465255.0655687,0.182986794499593,-0.18185273139945857,-0.18109870843684694,0.0002780365450563149,0.16155637622598562,-0.16187474904039678,-0.008355966143154928,0.004426829898167563,0.009634881860123071,True,True,True,0.1651574169606184,-0.08277370222448195,-0.08202330724645743,0.00042702168763031426,0.16199498509973606,-0.16092013971540392,-0.00835596614315493,0.004426829898167564,0.009634881860123073,True,True,True,-0.008047663796269297,0.003828838153961963,0.004579233131986479,0.0,1.414947976203431e-15,0.0,3,True,1789465255.0627542,0.00012013582989304125,0.0005006223573208179,0.001023238045516227,True,0.00012013582989306224,2.5453005220271454e-15
