topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1788955054.3329506,1788955054.3089519,1,46933,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv1/capability_report,1788955054.3329647,1788955054.3209512,1,46934,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv1/capability_report,1788955054.3329735,1788955054.3289518,1,46935,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.612454414367676
/agv1/capability_report,1788955054.341024,1788955054.3409517,1,46936,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.3447583,1788955054.3437264,2,45818,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv1/capability_report,1788955054.3489883,1788955054.3489497,1,46937,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.3523715,1788955054.3517635,2,45819,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv3/capability_report,1788955054.3540196,1788955054.340291,3,45619,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv3/capability_report,1788955054.3593736,1788955054.3522465,3,45620,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv1/capability_report,1788955054.3610594,1788955054.360948,1,46938,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv3/capability_report,1788955054.361802,1788955054.3602984,3,45621,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv2/capability_report,1788955054.3641884,1788955054.363672,2,45820,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv1/capability_report,1788955054.3690126,1788955054.3689487,1,46939,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.3720722,1788955054.371749,2,45821,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv3/capability_report,1788955054.3746011,1788955054.3722956,3,45622,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv3/capability_report,1788955054.3806257,1788955054.38031,3,45623,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv1/capability_report,1788955054.3809936,1788955054.3809469,1,46940,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.3844838,1788955054.383757,2,45822,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv1/capability_report,1788955054.3890674,1788955054.3889468,1,46941,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.3920588,1788955054.391761,2,45823,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv3/capability_report,1788955054.3952868,1788955054.392309,3,45624,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv1/capability_report,1788955054.4010642,1788955054.400947,1,46942,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv3/capability_report,1788955054.4012651,1788955054.4003112,3,45625,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv2/capability_report,1788955054.4041412,1788955054.4038076,2,45824,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv1/capability_report,1788955054.4090438,1788955054.4089465,1,46943,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.4121196,1788955054.4117594,2,45825,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv3/capability_report,1788955054.4129336,1788955054.4123118,3,45626,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv3/capability_report,1788955054.4206674,1788955054.4203131,3,45627,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.275604248046875
/agv1/capability_report,1788955054.421094,1788955054.4209478,1,46944,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.4256308,1788955054.42376,2,45826,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
/agv1/capability_report,1788955054.4289978,1788955054.4289544,1,46945,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.506080627441406
/agv2/capability_report,1788955054.4327767,1788955054.4317605,2,45827,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.621318817138672
