stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv2_boundary_lower,agv2_boundary_upper,agv3_boundary_lower,agv3_boundary_upper
1788955054.3375409,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.347597,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.3575401,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.367511,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.377518,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.3875122,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.3975544,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.4075613,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.4176006,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.4274871,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.43763,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.4475522,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.4576054,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.4675348,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.4775262,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.487508,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.497516,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5075674,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5176055,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5274932,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5375352,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5475404,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.557533,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5676177,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.577549,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5875351,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.5975463,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.6075354,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.6175983,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.6276057,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.6375144,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
