topic,bag_stamp,header_stamp,experiment_id,method_id,path_progress_actual_1,path_progress_actual_2,path_progress_actual_3,path_velocity_actual_1,path_velocity_actual_2,path_velocity_actual_3,path_progress_execute_reference_1,path_progress_execute_reference_2,path_progress_execute_reference_3,path_velocity_execute_reference_1,path_velocity_execute_reference_2,path_velocity_execute_reference_3,common_velocity_lower_bound,common_velocity_upper_bound,common_velocity_reference,channel_input_raw_1,channel_input_raw_2,channel_input_raw_3,channel_input_limited_1,channel_input_limited_2,channel_input_limited_3
/multi_agv/controller_state,1788955640.8177125,1788955640.817274,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009784073431434663,0.0,0.0,0.0006020975194189893,0.0,0.0,0.0,1.1972689927676736e-13,1.1972689927676736e-13,1.1972689927676736e-13,0.0,0.0,1.1972689927676736e-13,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.82746,1788955640.8271234,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009784073431434663,0.0,0.0,0.00048167801553519144,1.5891949975501716e-17,1.5891949975501716e-17,1.5891949975501716e-17,5.238668159853573e-08,5.238668159853573e-08,5.238668159853573e-08,0.0,0.0,5.238668159853573e-08,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.8378587,1788955640.8375087,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009792827344579907,0.0,0.0,0.0006036465501340105,5.219983037180507e-10,5.219983037180507e-10,5.219983037180507e-10,4.080481486129321e-07,4.080481486129321e-07,4.080481486129321e-07,0.0,0.0,4.080481486129321e-07,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.8476405,1788955640.847284,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009792827344579915,0.0,0.0,0.0004829172401073534,4.585402974827921e-09,4.585402974827921e-09,4.585402974827921e-09,1.3762494538700877e-06,1.3762494538700877e-06,1.3762494538700877e-06,0.0,0.0,1.3762494538700877e-06,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.8579588,1788955640.857696,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009792827344579915,0.0,0.0,0.00038633379208588277,1.8460882088693718e-08,1.8460882088693718e-08,1.8460882088693718e-08,3.210709370318228e-06,3.210709370318228e-06,3.210709370318228e-06,0.0,0.0,3.210709370318228e-06,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.8670273,1788955640.8667428,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009779414591670959,0.0,0.0,8.54294069984039e-05,5.0289478861094596e-08,5.0289478861094596e-08,5.0289478861094596e-08,6.239652904488684e-06,6.239652904488684e-06,6.239652904488684e-06,0.0,0.0,6.239652904488684e-06,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.877804,1788955640.877452,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009732932211638064,0.0,0.0,-0.001092727447819313,1.128791875599044e-07,1.128791875599044e-07,1.128791875599044e-07,1.0693411314214873e-05,1.0693411314214873e-05,1.0693411314214873e-05,0.0,0.0,1.0693411314214873e-05,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.8874054,1788955640.8869317,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009521656763086082,0.0,0.0,-0.004396254529652007,2.1951992696264764e-07,2.1951992696264764e-07,2.1951992696264764e-07,1.6906447899136403e-05,1.6906447899136403e-05,1.6906447899136403e-05,0.0,0.0,1.6906447899136403e-05,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.8971798,1788955640.896876,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009440213085126409,0.0,0.0,-0.005553243157823712,3.8943079345518617e-07,3.8943079345518617e-07,3.8943079345518617e-07,2.501432930856388e-05,2.501432930856388e-05,2.501432930856388e-05,0.0,0.0,2.501432930856388e-05,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.9078171,1788955640.9073436,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009607849698095482,0.0,0.0,-0.0016446680784967848,6.381115987634704e-07,6.381115987634704e-07,6.381115987634704e-07,3.537727503933446e-05,3.537727503933446e-05,3.537727503933446e-05,0.0,0.0,3.537727503933446e-05,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.9175358,1788955640.9171107,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009475954971486407,0.0,0.0,-0.004608238803919624,9.914603878927436e-07,9.914603878927436e-07,9.914603878927436e-07,4.820610198717466e-05,4.820610198717466e-05,4.820610198717466e-05,0.0,0.0,4.820610198717466e-05,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.9280841,1788955640.9278128,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009321937129331515,0.0,0.0,-0.0062516515026311515,1.4728820020277323e-06,1.4728820020277323e-06,1.4728820020277323e-06,6.377389058260685e-05,6.377389058260685e-05,6.377389058260685e-05,0.0,0.0,6.377389058260685e-05,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788955640.9379132,1788955640.9375505,engineering_baseline_circle_r0p7_cw_smooth_exit,CAMERA_IMU_WHEEL_FUSED_CLOSED_LOOP,0.0,0.0,0.009261881569786835,0.0,0.0,-0.006502595294666756,2.1110152855931637e-06,2.1110152855931637e-06,2.1110152855931637e-06,8.233579668169193e-05,8.233579668169193e-05,8.233579668169193e-05,0.0,0.0,8.233579668169193e-05,0.0,0.0,0.0,0.0,0.0,0.0
