topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/yaw_drive_disturbance_state,1789642468.7249606,1789642468.7249606,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.7240186,2.0,0.004041848598209677,0.0,0.0,0.004,0.0,-1.0134634708551404e-07,-1.1816451176092543e-07,-1.0134634708551404e-07,-1.1816451176092543e-07,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.7344997,1789642468.7344997,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.7339718,2.0,0.004041848598209677,0.0,0.0,0.004,0.0,-7.89180078268358e-07,-9.200838183986531e-07,-7.89180078268358e-07,-9.200838183986531e-07,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.744678,1789642468.744678,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.7440057,2.0,0.004005669780644754,0.0,0.0,0.004,0.0,-2.629745684628572e-06,-3.06740717107293e-06,-2.629745684628572e-06,-3.06740717107293e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.7544734,1789642468.7544734,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.753974,2.0,0.004005669780644747,0.0,0.0,0.004,0.0,-6.128287087444896e-06,-7.147801034477581e-06,-6.128287087444896e-06,-7.147801034477581e-06,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.764641,1789642468.764641,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.7639742,2.0,0.004005669780644747,0.0,0.0,0.004,0.0,-1.1804070206954417e-05,-1.3767108088643368e-05,-1.1804070206954417e-05,-1.3767108088643368e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.7746365,1789642468.7746365,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.7740345,2.0,0.004005669780644747,0.0,0.0,0.004,0.0,-2.0172077117194235e-05,-2.352542402303887e-05,-2.0172077117194235e-05,-2.352542402303887e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.784471,1789642468.784471,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.7839692,2.0,0.0040030638935952545,0.0,0.0,0.004,0.0,-3.146962180739508e-05,-3.673211967551047e-05,-3.146962180739508e-05,-3.673211967551047e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.794508,1789642468.794508,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.7939744,2.0,0.0040030638935952476,0.0,0.0,0.004,0.0,-4.633225391861186e-05,-5.407810007573965e-05,-4.633225391861186e-05,-5.407810007573965e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.8047807,1789642468.8047807,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.8040993,2.0,0.0040030638935952476,0.0,0.0,0.004,0.0,-6.531148041207191e-05,-7.62278016967899e-05,-6.531148041207191e-05,-7.62278016967899e-05,0.0,0.0]"
/multi_agv/yaw_drive_disturbance_state,1789642468.8146417,1789642468.8146417,yaw_drive_disturbance_v2:header15,"[0.0,0.0,1789642468.8140397,2.0,0.003985718968882997,0.0,0.0,0.004,0.0,-8.80621919198457e-05,-0.00010277882671000825,-8.80621919198457e-05,-0.00010277882671000825,0.0,0.0]"
