topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789646235.4247205,1789646235.4246254,1,4292,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv1/capability_report,1789646235.4326742,1789646235.43258,1,4293,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.438195,1789646235.4382317,3,4086,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.441449,1789646235.4419723,2,4186,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.01135540008545
/agv3/capability_report,1789646235.4426336,1789646235.4462373,3,4087,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv1/capability_report,1789646235.444679,1789646235.4445693,1,4294,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1789646235.449194,1789646235.4499981,2,4187,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.4526615,1789646235.4525733,1,4295,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.4548957,1789646235.4583387,3,4088,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.4604023,1789646235.4620006,2,4188,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv3/capability_report,1789646235.4636593,1789646235.4663558,3,4089,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv1/capability_report,1789646235.4647336,1789646235.4646087,1,4296,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1789646235.466881,1789646235.470005,2,4189,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.4727225,1789646235.4726238,1,4297,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.4750726,1789646235.4783988,3,4090,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.4794118,1789646235.481961,2,4190,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.484741,1789646235.4846354,1,4298,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.4850276,1789646235.4863842,3,4091,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.4891279,1789646235.489895,2,4191,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.4927208,1789646235.4926276,1,4299,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.494952,1789646235.4983764,3,4092,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.499121,1789646235.501979,2,4192,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv3/capability_report,1789646235.503003,1789646235.5063634,3,4093,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv1/capability_report,1789646235.504723,1789646235.5045872,1,4300,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1789646235.5073354,1789646235.5099823,2,4193,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.5126789,1789646235.5125804,1,4301,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.5147607,1789646235.5183945,3,4094,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.5194545,1789646235.5219617,2,4194,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv3/capability_report,1789646235.5224895,1789646235.5263846,3,4095,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv1/capability_report,1789646235.5247014,1789646235.5245848,1,4302,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1789646235.5270169,1789646235.529988,2,4195,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.532694,1789646235.532588,1,4303,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.53606,1789646235.538234,3,4096,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.5395203,1789646235.541996,2,4196,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv3/capability_report,1789646235.5424802,1789646235.5464346,3,4097,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv1/capability_report,1789646235.5447643,1789646235.544586,1,4304,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1789646235.5482519,1789646235.5498893,2,4197,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.5527318,1789646235.5525818,1,4305,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.5545862,1789646235.5583897,3,4098,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv2/capability_report,1789646235.5592551,1789646235.56195,2,4198,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv3/capability_report,1789646235.5624416,1789646235.5663896,3,4099,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.983077049255371
/agv1/capability_report,1789646235.5648158,1789646235.564585,1,4306,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1789646235.5672162,1789646235.5699708,2,4199,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.5726542,1789646235.5725822,1,4307,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1789646235.5765457,1789646235.5783777,3,4100,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1789646235.5790398,1789646235.5819957,2,4200,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv3/capability_report,1789646235.582863,1789646235.5863936,3,4101,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv1/capability_report,1789646235.5847008,1789646235.584578,1,4308,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv2/capability_report,1789646235.5888572,1789646235.5898526,2,4201,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.029084205627441
/agv1/capability_report,1789646235.5926468,1789646235.5925763,1,4309,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv3/capability_report,1789646235.5944293,1789646235.5983846,3,4102,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1789646235.598917,1789646235.6018364,2,4202,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.05567741394043
/agv3/capability_report,1789646235.6025527,1789646235.6063924,3,4103,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv1/capability_report,1789646235.6047432,1789646235.604606,1,4310,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv2/capability_report,1789646235.6078734,1789646235.6099427,2,4203,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.05567741394043
/agv1/capability_report,1789646235.6126668,1789646235.6125722,1,4311,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv3/capability_report,1789646235.615083,1789646235.618381,3,4104,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1789646235.618754,1789646235.6219735,2,4204,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.05567741394043
/agv3/capability_report,1789646235.6242297,1789646235.6263955,3,4105,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv1/capability_report,1789646235.6246574,1789646235.6245794,1,4312,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv2/capability_report,1789646235.6270187,1789646235.629946,2,4205,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.05567741394043
/agv1/capability_report,1789646235.6327016,1789646235.632614,1,4313,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv3/capability_report,1789646235.6362374,1789646235.6384127,3,4106,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1789646235.6396532,1789646235.6418428,2,4206,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.05567741394043
/agv1/capability_report,1789646235.6447003,1789646235.6445796,1,4314,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv3/capability_report,1789646235.6453743,1789646235.6463852,3,4107,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1789646235.6471572,1789646235.6499958,2,4207,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.05567741394043
/agv1/capability_report,1789646235.65264,1789646235.6525724,1,4315,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,9.538168907165527
/agv3/capability_report,1789646235.6554184,1789646235.658406,3,4108,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1789646235.6603446,1789646235.6619947,2,4208,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,12.05567741394043
/agv3/capability_report,1789646235.662616,1789646235.6664433,3,4109,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
