topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1789642876.4072983,1789642876.4072063,1,5946,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.593040466308594
/agv3/capability_report,1789642876.4163818,1789642876.4088984,3,5537,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.974212646484375
/agv2/capability_report,1789642876.416737,1789642876.4063354,2,5571,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.8606595993042
/agv1/capability_report,1789642876.4172134,1789642876.4152565,1,5947,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.593040466308594
/agv2/capability_report,1789642876.4257653,1789642876.4183602,2,5572,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.8606595993042
/agv1/capability_report,1789642876.4273362,1789642876.427214,1,5948,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.593040466308594
/agv3/capability_report,1789642876.4279518,1789642876.420906,3,5538,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.974212646484375
/agv2/capability_report,1789642876.4312496,1789642876.4263737,2,5573,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.8606595993042
/agv3/capability_report,1789642876.4333963,1789642876.4288933,3,5539,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.974212646484375
/agv1/capability_report,1789642876.435359,1789642876.4352143,1,5949,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.593040466308594
/agv2/capability_report,1789642876.4441564,1789642876.4383578,2,5574,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.8606595993042
/agv3/capability_report,1789642876.4460533,1789642876.4409027,3,5540,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.974212646484375
/agv1/capability_report,1789642876.447384,1789642876.4472153,1,5950,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.593040466308594
/agv2/capability_report,1789642876.451394,1789642876.446381,2,5575,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.8606595993042
/agv3/capability_report,1789642876.4550943,1789642876.4488616,3,5541,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.974212646484375
/agv1/capability_report,1789642876.455351,1789642876.455227,1,5951,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,10.593040466308594
/agv2/capability_report,1789642876.4639854,1789642876.4583812,2,5576,0.16,0.16,1.0,1.0,2.0,2.0,1.0,0,False,11.8606595993042
