topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/risk_disturbance_state,1789642876.662185,1789642876.662185,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.6613426,2.0,2.0,2.8,0.3,0.3,0.010017525000000001,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.6720276,1789642876.6720276,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.671403,2.0,2.0,2.8,0.3,0.3,0.020078521000000002,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.6823394,1789642876.6823394,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.6813302,2.0,2.0,2.8,0.3,0.3,0.030005450000000003,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.6919844,1789642876.6919844,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.6913462,2.0,2.0,2.8,0.3,0.3,0.040021288,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.7018507,1789642876.7018507,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.7013469,2.0,2.0,2.8,0.3,0.3,0.050021223000000004,0.15499999999999528,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999528,0.15499999999999528,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.7117949,1789642876.7117949,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.7113075,2.0,2.0,2.8,0.3,0.3,0.059983190000000006,0.15499999999999528,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999528,0.15499999999999528,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.7220805,1789642876.7220805,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.72137,2.0,2.0,2.8,0.3,0.3,0.07004542500000001,0.15499999999999528,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999528,0.15499999999999528,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.7321074,1789642876.7321074,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.7314072,2.0,2.0,2.8,0.3,0.3,0.08008261300000001,0.15499999999999528,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999528,0.15499999999999528,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000386,0.15500000000000386,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.7421134,1789642876.7421134,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.7413502,2.0,2.0,2.8,0.3,0.3,0.09002371,0.1549999999999914,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999914,0.1549999999999914,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000852,0.15500000000000852,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000852,0.15500000000000852,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789642876.7517843,1789642876.7517843,risk_disturbance_state_v1:header11+3x10,"[0.0,1789642876.751307,2.0,2.0,2.8,0.3,0.3,0.09998264200000001,0.1549999999999914,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999914,0.1549999999999914,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000852,0.15500000000000852,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000852,0.15500000000000852,0.11,0.11,0.11]"
