topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/state_projection_timing,1789642876.4251733,1789642876.4250805,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642876.4250805,1.0,0.0,1789642876.4072063,0.017874375,1.0,-0.010704391064091354,0.0,1789642876.4063354,0.018745401000000002,1.0,0.002866301769030938,0.0,1789642876.4088984,0.016182365,1.0,0.007898278685129115,0.0]"
/pose_provider/agv2/fusion_timing,1789642876.425843,1789642876.425843,,"[5571.0,1789642876.4183602,1789642876.4256053,1789642876.4256184,1789642876.425621,1.0,1.3119000000000001e-05]"
/pose_provider/agv2/estimator_timing,1789642876.4259236,1789642876.4259236,,"[5216.0,1789642876.4183602,1789642876.4258206,0.007459979,1.0]"
/pose_provider/agv1/fusion_timing,1789642876.427462,1789642876.427462,,"[5947.0,1789642876.427214,1789642876.4273608,1789642876.4273753,1789642876.4273808,1.0,1.4606e-05]"
/pose_provider/agv1/estimator_timing,1789642876.4275894,1789642876.4275894,,"[5915.0,1789642876.427214,1789642876.4275033,0.00028909000000000004,1.0]"
/pose_provider/agv3/estimator_timing,1789642876.428246,1789642876.428246,,"[5405.0,1789642876.420906,1789642876.428144,0.007237492000000001,1.0]"
/pose_provider/agv2/fusion_timing,1789642876.4314566,1789642876.4314566,,"[5572.0,1789642876.4263737,1789642876.4313579,1789642876.43137,1789642876.4313734,1.0,1.2116e-05]"
/pose_provider/agv2/estimator_timing,1789642876.431548,1789642876.431548,,"[5217.0,1789642876.4263737,1789642876.4314694,0.005095514000000001,1.0]"
/pose_provider/agv3/estimator_timing,1789642876.4336894,1789642876.4336894,,"[5406.0,1789642876.4288933,1789642876.4336052,0.004711431,1.0]"
/multi_agv/state_projection_timing,1789642876.435211,1789642876.4350755,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642876.4350755,1.0,0.0,1789642876.427214,0.007861476000000001,1.0,-0.010707625460438082,0.0,1789642876.4263737,0.008701724000000001,1.0,0.0028787891705537375,0.0,1789642876.4288933,0.006182023,1.0,0.007885722588427825,0.0]"
/pose_provider/agv1/fusion_timing,1789642876.4353955,1789642876.4353955,,"[5948.0,1789642876.4352143,1789642876.4353108,1789642876.4353228,1789642876.4353251,1.0,1.1740000000000001e-05]"
/pose_provider/agv1/estimator_timing,1789642876.4354813,1789642876.4354813,,"[5916.0,1789642876.4352143,1789642876.435406,0.000191349,1.0]"
/pose_provider/agv2/fusion_timing,1789642876.444312,1789642876.444312,,"[5573.0,1789642876.4383578,1789642876.4442167,1789642876.4442325,1789642876.444236,1.0,1.5753e-05]"
/pose_provider/agv2/estimator_timing,1789642876.4444156,1789642876.4444156,,"[5218.0,1789642876.4383578,1789642876.4443486,0.005990348,1.0]"
/multi_agv/state_projection_timing,1789642876.4452055,1789642876.4450922,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642876.4450922,1.0,0.0,1789642876.427214,0.017878253,1.0,-0.010707625460438082,0.0,1789642876.4263737,0.018718501000000002,1.0,0.0028787891705537375,0.0,1789642876.4288933,0.0161988,1.0,0.007885722588427825,0.0]"
/pose_provider/agv3/estimator_timing,1789642876.446181,1789642876.446181,,"[5407.0,1789642876.4409027,1789642876.446141,0.005237971,1.0]"
/pose_provider/agv1/fusion_timing,1789642876.447465,1789642876.447465,,"[5949.0,1789642876.4472153,1789642876.447373,1789642876.4474132,1789642876.447415,1.0,4.0273000000000006e-05]"
/pose_provider/agv1/estimator_timing,1789642876.4475088,1789642876.4475088,,"[5917.0,1789642876.4472153,1789642876.4474652,0.00024977100000000003,1.0]"
/pose_provider/agv2/fusion_timing,1789642876.4515464,1789642876.4515464,,"[5574.0,1789642876.446381,1789642876.4514742,1789642876.451489,1789642876.451492,1.0,1.4784000000000001e-05]"
/pose_provider/agv2/estimator_timing,1789642876.4516723,1789642876.4516723,,"[5219.0,1789642876.446381,1789642876.451599,0.00521763,1.0]"
/multi_agv/state_projection_timing,1789642876.455185,1789642876.45512,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642876.45512,1.0,0.0,1789642876.4352143,0.019905766000000002,1.0,-0.010707625460438073,0.0,1789642876.4383578,0.016762158000000003,1.0,0.002878789170553748,0.0,1789642876.4409027,0.014217368000000001,1.0,0.007885722588427818,0.0]"
/pose_provider/agv3/estimator_timing,1789642876.455524,1789642876.455524,,"[5408.0,1789642876.4488616,1789642876.455364,0.006502077,1.0]"
/pose_provider/agv1/fusion_timing,1789642876.4555311,1789642876.4555311,,"[5950.0,1789642876.455227,1789642876.455339,1789642876.4553483,1789642876.4553494,1.0,9.194e-06]"
/pose_provider/agv1/estimator_timing,1789642876.4555488,1789642876.4555488,,"[5918.0,1789642876.455227,1789642876.455398,0.00017109500000000001,1.0]"
/pose_provider/agv2/fusion_timing,1789642876.4640906,1789642876.4640906,,"[5575.0,1789642876.4583812,1789642876.4639719,1789642876.463993,1789642876.4640026,1.0,2.1366000000000002e-05]"
/pose_provider/agv2/estimator_timing,1789642876.464144,1789642876.464144,,"[5220.0,1789642876.4583812,1789642876.464107,0.005725492,1.0]"
/multi_agv/state_projection_timing,1789642876.4651828,1789642876.465074,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642876.465074,1.0,0.0,1789642876.4472153,0.017858828,1.0,-0.010707625460438071,0.0,1789642876.446381,0.018693126,1.0,0.002878789170553748,0.0,1789642876.4488616,0.016212534,1.0,0.007885722588427818,0.0]"
/pose_provider/agv3/estimator_timing,1789642876.4668028,1789642876.4668028,,"[5409.0,1789642876.4608827,1789642876.4667697,0.0058865820000000004,1.0]"
/pose_provider/agv1/estimator_timing,1789642876.4674766,1789642876.4674766,,"[5919.0,1789642876.4672377,1789642876.467419,0.000181048,1.0]"
