topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789645453.0398114,1789645453.0398114,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.038531,1.0,1.709765206231345e-07,1.6919608703029847e-07,1.709765206231345e-07,1.6919608703029847e-07,1.709765206231345e-07,0.16,0.16,-0.012045457392507978,-1.200448317133836e-07,-1.2912898485479348e-07,-1.200448317133836e-07,-1.2912898485479348e-07,0.16,0.16,0.005646215643330124,-1.323306020682724e-07,-1.2615962523543202e-07,-1.323306020682724e-07,-1.2615962523543202e-07,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.0490446,1789645453.0490446,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.0485487,1.0,1.3498248819451693e-06,1.3357814927035561e-06,1.3498248819451693e-06,1.3357814927035561e-06,1.3498248819451693e-06,0.16,0.16,-0.012045457392507978,-9.474486752015455e-07,-1.0191010519099995e-06,-9.474486752015455e-07,-1.0191010519099995e-06,0.16,0.16,0.005646215643330124,-1.0444203219739981e-06,-9.957459821792154e-07,-1.0444203219739981e-06,-9.957459821792154e-07,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.059032,1789645453.059032,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.0585303,1.0,4.479476102137305e-06,4.432912212446422e-06,4.479476102137305e-06,4.432912212446422e-06,4.479476102137305e-06,0.16,0.16,-0.012045457392507978,-3.143282762972264e-06,-3.3808616912483417e-06,-3.143282762972264e-06,-3.3808616912483417e-06,0.16,0.16,0.005646215643330124,-3.4650203713536013e-06,-3.3036300864809374e-06,-3.4650203713536013e-06,-3.3036300864809374e-06,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.0691497,1789645453.0691497,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.0685291,1.0,1.0470597308162902e-05,1.0358461449102556e-05,1.0470597308162902e-05,1.0358461449102556e-05,1.0470597308162902e-05,0.16,0.16,-0.012045457392507978,-7.338702620726324e-06,-7.897251297840016e-06,-7.338702620726324e-06,-7.897251297840016e-06,0.16,0.16,0.005646215643330124,-8.103738121826691e-06,-7.72904626829963e-06,-8.103738121826691e-06,-7.72904626829963e-06,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.078989,1789645453.078989,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.0785306,1.0,2.0171682518959793e-05,1.995581610434412e-05,2.0171682518959793e-05,1.995581610434412e-05,2.0171682518959793e-05,0.16,0.16,-0.012045457392507978,-1.4134444711499732e-05,-1.5209675250808478e-05,-1.4134444711499732e-05,-1.5209675250808478e-05,0.16,0.16,0.005646215643330124,-1.5608036644322187e-05,-1.4886738499430085e-05,-1.5608036644322187e-05,-1.4886738499430085e-05,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.08905,1789645453.08905,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.0885465,1.0,3.4409438670934215e-05,3.4041469505972046e-05,3.4409438670934215e-05,3.4041469505972046e-05,3.4409438670934215e-05,0.16,0.16,-0.012045457392507978,-2.4105033527325814e-05,-2.5937887812776698e-05,-2.4105033527325814e-05,-2.5937887812776698e-05,0.16,0.16,0.005646215643330124,-2.6618323330897675e-05,-2.5388787568457134e-05,-2.6618323330897675e-05,-2.5388787568457134e-05,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.0990505,1789645453.0990505,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.0985532,1.0,5.390147071304271e-05,5.3325437503907155e-05,5.390147071304271e-05,5.3325437503907155e-05,5.390147071304271e-05,0.16,0.16,-0.012045457392507978,-3.775100834604341e-05,-4.062022955810983e-05,-3.775100834604341e-05,-4.062022955810983e-05,0.16,0.16,0.005646215643330124,-4.16874215653097e-05,-3.9762658566180827e-05,-4.16874215653097e-05,-3.9762658566180827e-05,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.1091692,1789645453.1091692,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.1085367,1.0,7.928892599076892e-05,7.844554280432053e-05,7.928892599076892e-05,7.844554280432053e-05,7.928892599076892e-05,0.16,0.16,-0.012045457392507978,-5.5557020597759335e-05,-5.9774922053805175e-05,-5.5557020597759335e-05,-5.9774922053805175e-05,0.16,0.16,0.005646215643330124,-6.128763641001858e-05,-5.847194773205539e-05,-6.128763641001858e-05,-5.847194773205539e-05,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.1192677,1789645453.1192677,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.1185622,1.0,0.00011144171411682544,0.00011025699138299929,0.00011144171411682544,0.00011025699138299929,0.00011144171411682544,0.16,0.16,-0.012045457392507978,-7.806885174081083e-05,-8.399384976735928e-05,-7.806885174081083e-05,-8.399384976735928e-05,0.16,0.16,0.005646215643330124,-8.612224925244227e-05,-8.216697665206888e-05,-8.612224925244227e-05,-8.216697665206888e-05,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.1292212,1789645453.1292212,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.128608,1.0,0.00015096065051375314,0.00014935662717269012,0.00015096065051375314,0.00014935662717269012,0.00015096065051375314,0.16,0.16,-0.012045457392507978,-0.00010573013864108779,-0.00011375212959713622,-0.00010573013864108779,-0.00011375212959713622,0.16,0.16,0.005646215643330124,-0.00011663806898295152,-0.00011128293444916686,-0.00011663806898295152,-0.00011128293444916686,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.139219,1789645453.139219,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.138544,1.0,0.00019764848369660363,0.00019552935371291297,0.00019764848369660363,0.00019552935371291297,0.00019764848369660363,0.16,0.16,-0.012045457392507978,-0.00013869855787232682,-0.00014911298231514466,-0.00013869855787232682,-0.00014911298231514466,0.16,0.16,0.005646215643330124,-0.00015235245039187418,-0.00014549506228682946,-0.00015235245039187418,-0.00014549506228682946,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.1493437,1789645453.1493437,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.1485236,1.0,0.0002529507324035301,0.00025023977271767704,0.0002529507324035301,0.00025023977271767704,0.0002529507324035301,0.16,0.16,-0.012045457392507978,-0.000177468200534482,-0.0001907911607355419,-0.000177468200534482,-0.0001907911607355419,0.16,0.16,0.005646215643330124,-0.0001949404565348799,-0.0001861679399737335,-0.0001949404565348799,-0.0001861679399737335,0.16,0.16,0.006303809145137553]"
/multi_agv/formal_execution_limiter_state,1789645453.1591709,1789645453.1591709,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645453.1585512,1.0,0.0003173827978271118,0.00031398251580087643,0.0003173827978271118,0.00031398251580087643,0.0003173827978271118,0.16,0.16,-0.012045457392507978,-0.000222623873973012,-0.0002393344955171287,-0.000222623873973012,-0.0002393344955171287,0.16,0.16,0.005646215643330124,-0.00024454444003422604,-0.00023354131413257432,-0.00024454444003422604,-0.00023354131413257432,0.16,0.16,0.006303809145137553]"
