topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789642174.1034636,1789642174.1033416,1789642174.1033235,1,18914,56758,1036274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.655091285705566,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.1103444,1789642174.1070342,1789642174.1070247,3,17546,56759,3041189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.111494,1789642174.1113517,1789642174.1113307,1,18915,56759,1036276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.655091285705566,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.118778,1789642174.1150885,1789642174.1150777,3,17547,56759,3041191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.1234431,1789642174.1233006,1789642174.1193242,1,18916,56760,1036278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.655091285705566,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.1311011,1789642174.127121,1789642174.1231036,3,17548,56760,3041193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.1313555,1789642174.131301,1789642174.1273246,1,18917,56761,1036280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.655091285705566,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.139157,1789642174.1351435,1789642174.1310768,3,17549,56761,3041195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.1434422,1789642174.143319,1789642174.1433163,1,18918,56762,1036284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.655091285705566,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.1504405,1789642174.1471453,1789642174.1471355,3,17550,56763,3041199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.1515439,1789642174.151331,1789642174.151318,1,18919,56763,1036286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.1581416,1789642174.15506,1789642174.1550531,3,17551,56764,3041201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.1635325,1789642174.1633387,1789642174.1593356,1,18920,56764,1036288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.170083,1789642174.1671362,1789642174.1631546,3,17552,56765,3041203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.1714113,1789642174.1713035,1789642174.1673226,1,18921,56765,1036290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.1787095,1789642174.1750832,1789642174.1711137,3,17553,56766,3041205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.183485,1789642174.1833334,1789642174.1833193,1,18922,56766,1036294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.1902058,1789642174.1871393,1789642174.187129,3,17554,56767,3041209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.191458,1789642174.1913292,1789642174.191316,1,18923,56767,1036296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.1992872,1789642174.1951299,1789642174.1951234,3,17555,56767,3041211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.2034633,1789642174.203351,1789642174.1993062,1,18924,56768,1036298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.210904,1789642174.207025,1789642174.2031262,3,17556,56768,3041213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.2113936,1789642174.2113166,1789642174.2073393,1,18925,56769,1036300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.2143798,1789642174.2104833,1789642174.2104387,2,17669,56769,1035656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.218686,1789642174.215138,1789642174.2110565,3,17557,56769,3041215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.223461,1789642174.2233076,1789642174.2232914,1,18926,56770,1036304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.226293,1789642174.222484,1789642174.2224395,2,17670,56770,1035658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.231428,1789642174.2313175,1789642174.231297,1,18927,56771,1036306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.2329297,1789642174.2271407,1789642174.2271261,3,17558,56770,3041219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.235373,1789642174.2304857,1789642174.2264194,2,17671,56771,1035660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.2385428,1789642174.2351234,1789642174.2351139,3,17559,56771,3041221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.2433968,1789642174.2433095,1789642174.2392995,1,18928,56772,1036308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.2455468,1789642174.2424889,1789642174.2424436,2,17672,56772,1035664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.2508626,1789642174.2470875,1789642174.2431147,3,17560,56773,3041223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.2513804,1789642174.2513108,1789642174.2473004,1,18929,56773,1036310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.2546883,1789642174.2504857,1789642174.2504406,2,17673,56773,1035666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.258803,1789642174.2550972,1789642174.251122,3,17561,56774,3041225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.2634103,1789642174.2633114,1789642174.2632937,1,18930,56774,1036314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.2660384,1789642174.2624648,1789642174.2624195,2,17674,56774,1035668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.2701218,1789642174.2671468,1789642174.2671368,3,17562,56775,3041229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.271386,1789642174.271311,1789642174.2712934,1,18931,56775,1036316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.2735052,1789642174.2704673,1789642174.266436,2,17675,56775,1035670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.2784314,1789642174.2751272,1789642174.2751205,3,17563,56775,3041231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.2835646,1789642174.2834213,1789642174.279336,1,18932,56776,1036318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.2855182,1789642174.2824616,1789642174.2824168,2,17676,56776,1035674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.2911398,1789642174.287115,1789642174.2831097,3,17564,56777,3041233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.2914474,1789642174.2913165,1789642174.2873352,1,18933,56777,1036320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.2936964,1789642174.2904885,1789642174.2904418,2,17677,56777,1035676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.2989984,1789642174.2951772,1789642174.2910166,3,17565,56777,3041235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.303502,1789642174.3033574,1789642174.3033342,1,18934,56778,1036324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116044044494629,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.3056126,1789642174.3024654,1789642174.3024201,2,17678,56778,1035678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.3104696,1789642174.3071,1789642174.3070889,3,17566,56779,3041239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.311446,1789642174.311355,1789642174.3113317,1,18935,56779,1036326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.734871864318848,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.3139892,1789642174.3104658,1789642174.3064353,2,17679,56779,1035680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.319425,1789642174.3151054,1789642174.3150957,3,17567,56780,3041241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.3235157,1789642174.3233438,1789642174.3193035,1,18936,56780,1036328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.734871864318848,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.32564,1789642174.3224657,1789642174.3224204,2,17680,56780,1035684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.3306532,1789642174.327128,1789642174.323112,3,17568,56781,3041243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.331427,1789642174.3313317,1789642174.3273346,1,18937,56781,1036330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.734871864318848,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.3339791,1789642174.3304584,1789642174.3304133,2,17681,56781,1035686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789642174.3389993,1789642174.3351219,1789642174.3311248,3,17569,56781,3041245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222417831420898,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789642174.3435533,1789642174.343395,1789642174.3433757,1,18938,56782,1036334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.734871864318848,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789642174.3461869,1789642174.342462,1789642174.3424172,2,17682,56782,1035688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931574821472168,False,False,False,False,False,False,False
