topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/state_projection_timing,1789642174.0986807,1789642174.0985641,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642174.0985641,1.0,0.0,1789642174.0833416,0.015222629000000001,1.0,-0.005849065414098468,0.0,1789642174.0904691,0.008094973,1.0,0.0028953921519317832,0.0,1789642174.0870998,0.011464402,1.0,0.0028246767455356835,0.0]"
/pose_provider/agv1/fusion_timing,1789642174.103557,1789642174.103557,,"[18913.0,1789642174.1033416,1789642174.1034775,1789642174.1034844,1789642174.1034884,1.0,6.8500000000000005e-06]"
/pose_provider/agv1/estimator_timing,1789642174.1035805,1789642174.1035805,,"[18880.0,1789642174.1033416,1789642174.1035569,0.00021515500000000002,1.0]"
/pose_provider/agv3/estimator_timing,1789642174.1054475,1789642174.1054475,,"[16862.0,1789642174.0950358,1789642174.1054285,0.010392750000000001,1.0]"
/pose_provider/agv2/fusion_timing,1789642174.1065042,1789642174.1065042,,"[17657.0,1789642174.1024647,1789642174.1064095,1789642174.1064181,1789642174.1064205,1.0,8.585e-06]"
/pose_provider/agv2/estimator_timing,1789642174.1065059,1789642174.1065059,,"[17052.0,1789642174.1024647,1789642174.1064756,0.004010972000000001,1.0]"
/multi_agv/state_projection_timing,1789642174.1087306,1789642174.1086078,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642174.1086078,1.0,0.0,1789642174.0912962,0.017311493,1.0,-0.005849065414098468,0.0,1789642174.0904691,0.018138561,1.0,0.0028953921519317832,0.0,1789642174.0950358,0.013572018000000002,1.0,0.0028246767455356835,0.0]"
/pose_provider/agv3/estimator_timing,1789642174.1105464,1789642174.1105464,,"[16863.0,1789642174.1070342,1789642174.1105294,0.003495202,1.0]"
/pose_provider/agv1/fusion_timing,1789642174.1115892,1789642174.1115892,,"[18914.0,1789642174.1113517,1789642174.1114926,1789642174.1114974,1789642174.1114979,1.0,4.649e-06]"
/pose_provider/agv1/estimator_timing,1789642174.1115937,1789642174.1115937,,"[18881.0,1789642174.1113517,1789642174.1115282,0.00017639600000000002,1.0]"
/pose_provider/agv2/fusion_timing,1789642174.1154974,1789642174.1154974,,"[17658.0,1789642174.1104655,1789642174.1154313,1789642174.1154463,1789642174.1154466,1.0,1.4795000000000001e-05]"
/pose_provider/agv2/estimator_timing,1789642174.115508,1789642174.115508,,"[17053.0,1789642174.1104655,1789642174.1154716,0.005006095,1.0]"
/multi_agv/state_projection_timing,1789642174.1186998,1789642174.1186125,"state_projection_v1:stamp,enabled,held,3x(source_stamp,age,projected,measured_s,measured_speed)","[1789642174.1186125,1.0,0.0,1789642174.1033416,0.015270981000000001,1.0,-0.00584857210122771,0.0,1789642174.1104655,0.008147143,1.0,0.0028796062462118632,0.0,1789642174.1070342,0.011578379000000001,1.0,0.00281810246784504,0.0]"
/pose_provider/agv3/estimator_timing,1789642174.118859,1789642174.118859,,"[16864.0,1789642174.1150885,1789642174.1188154,0.003726993,1.0]"
