topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789645860.1452348,1789645860.1452348,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.144342,1.0,1.0132522636029829e-07,-1.0132522636029829e-07,-8.802828332051318e-08,-1.0132522636029829e-07,-8.802828332051318e-08,0.16,0.16,0.0013974195372501322,8.732993977297073e-08,9.56868039218965e-08,8.732993977297073e-08,9.56868039218965e-08,0.16,0.16,-0.00011788052023678288,7.855024654373327e-08,9.780424167049718e-08,7.855024654373327e-08,9.780424167049718e-08,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.155264,1789645860.155264,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.1543405,1.0,7.921431865788271e-07,-7.921431865788271e-07,-6.883402539629213e-07,-7.921431865788271e-07,-6.883402539629213e-07,0.16,0.16,0.0013974195372501322,6.838166327912928e-07,7.492395520264222e-07,6.838166327912928e-07,7.492395520264222e-07,0.16,0.16,-0.00011788052023678288,6.15933285540558e-07,7.652215869090907e-07,6.15933285540558e-07,7.652215869090907e-07,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.165099,1789645860.165099,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.1643465,1.0,2.629636693604875e-06,-2.629636693604875e-06,-2.2851041310300216e-06,-2.629636693604875e-06,-2.2851041310300216e-06,0.16,0.16,0.0013974195372501322,2.2699608296925345e-06,2.4871062000222616e-06,2.2699608296925345e-06,2.4871062000222616e-06,0.16,0.16,-0.00011788052023678288,2.044502529487214e-06,2.5400056859841646e-06,2.044502529487214e-06,2.5400056859841646e-06,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.1751528,1789645860.1751528,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.174349,1.0,6.137893392109283e-06,-6.137893392109283e-06,-5.333834133536121e-06,-6.137893392109283e-06,-5.333834133536121e-06,0.16,0.16,0.0013974195372501322,5.298225113528723e-06,5.804992161335427e-06,5.298225113528723e-06,5.804992161335427e-06,0.16,0.16,-0.00011788052023678288,4.771734619635968e-06,5.9281242880309185e-06,4.771734619635968e-06,5.9281242880309185e-06,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.1850717,1789645860.1850717,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.1842785,1.0,1.1765567748978893e-05,-1.1765567748978893e-05,-1.0221393919850534e-05,-1.1765567748978893e-05,-1.0221393919850534e-05,0.16,0.16,0.0013974195372501322,1.0152024989722284e-05,1.1104847712515934e-05,1.0152024989722284e-05,1.1104847712515934e-05,0.16,0.16,-0.00011788052023678288,9.126288152574154e-06,1.1346450534318312e-05,9.126288152574154e-06,1.1346450534318312e-05,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.195066,1789645860.195066,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.1943269,1.0,2.0092623589003714e-05,-2.0092623589003714e-05,-1.7455885361171436e-05,-2.0092623589003714e-05,-1.7455885361171436e-05,0.16,0.16,0.0013974195372501322,1.733684661091124e-05,1.8963829436975494e-05,1.733684661091124e-05,1.8963829436975494e-05,0.16,0.16,-0.00011788052023678288,1.5584412875122524e-05,1.937542829060039e-05,1.5584412875122524e-05,1.937542829060039e-05,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.2049234,1789645860.2049234,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.2043157,1.0,3.143324311455175e-05,-3.143324311455175e-05,-2.7308709937317826e-05,-3.143324311455175e-05,-2.7308709937317826e-05,0.16,0.16,0.0013974195372501322,2.7121942434463768e-05,2.96669601449409e-05,2.7121942434463768e-05,2.96669601449409e-05,0.16,0.16,-0.00011788052023678288,2.4379316697999793e-05,3.0309434341649524e-05,2.4379316697999793e-05,3.0309434341649524e-05,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.2148952,1789645860.2148952,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.2143476,1.0,4.632691801154922e-05,-4.632691801154922e-05,-4.023051659383556e-05,-4.632691801154922e-05,-4.023051659383556e-05,0.16,0.16,0.0013974195372501322,3.9943091048371405e-05,4.371168322533929e-05,3.9943091048371405e-05,4.371168322533929e-05,0.16,0.16,-0.00011788052023678288,3.59125953316583e-05,4.463010246262696e-05,3.59125953316583e-05,4.463010246262696e-05,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.2250547,1789645860.2250547,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.224368,1.0,6.50582064605912e-05,-6.50582064605912e-05,-5.6497402557168967e-05,-6.50582064605912e-05,-5.6497402557168967e-05,0.16,0.16,0.0013974195372501322,5.6094609688680064e-05,6.138661471421197e-05,5.6094609688680064e-05,6.138661471421197e-05,0.16,0.16,-0.00011788052023678288,5.0432407367771034e-05,6.267386825067672e-05,5.0432407367771034e-05,6.267386825067672e-05,0.16,0.16,-0.0010810037055543203]"
/multi_agv/formal_execution_limiter_state,1789645860.2348812,1789645860.2348812,formal_execution_limiter_v1:header4+3x7,"[1.0,1789645860.2343323,1.0,8.786616846671787e-05,-8.786616846671787e-05,-7.630455982456596e-05,-8.786616846671787e-05,-7.630455982456596e-05,0.16,0.16,0.0013974195372501322,7.576341900886836e-05,8.291042446728497e-05,7.576341900886836e-05,8.291042446728497e-05,0.16,0.16,-0.00011788052023678288,6.811349671501397e-05,8.46459342181561e-05,6.811349671501397e-05,8.46459342181561e-05,0.16,0.16,-0.0010810037055543203]"
