topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/risk_disturbance_state,1789645860.14529,1789645860.14529,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.144342,2.0,2.0,2.8,0.3,0.3,0.010057024000000001,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.1552722,1789645860.1552722,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.1543405,2.0,2.0,2.8,0.3,0.3,0.020055401,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.1651015,1789645860.1651015,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.1643465,2.0,2.0,2.8,0.3,0.3,0.030059938,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.175148,1789645860.175148,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.174349,2.0,2.0,2.8,0.3,0.3,0.040063965,0.1549999999999905,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999905,0.1549999999999905,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000766,0.15500000000000766,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.1850777,1789645860.1850777,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.1842785,2.0,2.0,2.8,0.3,0.3,0.049993709,0.15499999999999534,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999534,0.15499999999999534,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.1950715,1789645860.1950715,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.1943269,2.0,2.0,2.8,0.3,0.3,0.060041984,0.15499999999999534,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999534,0.15499999999999534,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.204926,1789645860.204926,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.2043157,2.0,2.0,2.8,0.3,0.3,0.0700312,0.15499999999999534,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999534,0.15499999999999534,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.2149265,1789645860.2149265,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.2143476,2.0,2.0,2.8,0.3,0.3,0.080062673,0.15499999999999534,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999534,0.15499999999999534,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000392,0.1550000000000039,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.225053,1789645860.225053,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.224368,2.0,2.0,2.8,0.3,0.3,0.090083308,0.1549999999999925,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999925,0.1549999999999925,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.2348835,1789645860.2348835,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.2343323,2.0,2.0,2.8,0.3,0.3,0.10004548,0.1549999999999925,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999925,0.1549999999999925,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.2449052,1789645860.2449052,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.244312,2.0,2.0,2.8,0.3,0.3,0.110026782,0.1549999999999925,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999925,0.1549999999999925,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.254939,1789645860.254939,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.254351,2.0,2.0,2.8,0.3,0.3,0.120065901,0.1549999999999925,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999925,0.1549999999999925,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000963,0.15500000000000963,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.2648454,1789645860.2648454,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.264279,2.0,2.0,2.8,0.3,0.3,0.129994187,0.15499999999999264,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999265,0.15499999999999264,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.2748268,1789645860.2748268,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.274344,2.0,2.0,2.8,0.3,0.3,0.140058874,0.15499999999999264,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999265,0.15499999999999264,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.2849448,1789645860.2849448,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.2843385,2.0,2.0,2.8,0.3,0.3,0.150052043,0.15499999999999264,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999265,0.15499999999999264,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.2950125,1789645860.2950125,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.2943518,2.0,2.0,2.8,0.3,0.3,0.160066743,0.15499999999999264,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999265,0.15499999999999264,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1600000000000097,0.15500000000000969,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.304963,1789645860.304963,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.304349,2.0,2.0,2.8,0.3,0.3,0.170063552,0.15499999999999395,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999395,0.15499999999999395,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000236,0.15500000000000236,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000236,0.15500000000000236,0.11,0.11,0.11]"
/multi_agv/risk_disturbance_state,1789645860.3148916,1789645860.3148916,risk_disturbance_state_v1:header11+3x10,"[0.0,1789645860.314333,2.0,2.0,2.8,0.3,0.3,0.180046734,0.15499999999999395,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999395,0.15499999999999395,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000236,0.15500000000000236,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.16000000000000236,0.15500000000000236,0.11,0.11,0.11]"
