topic,bag_stamp,header_stamp,robot_id,capability_seq,max_wheel_velocity_left,max_wheel_velocity_right,max_wheel_acceleration_left,max_wheel_acceleration_right,max_wheel_deceleration_left,max_wheel_deceleration_right,derating_ratio,derating_mode,derating_active,battery_voltage
/agv1/capability_report,1788864822.7458332,1788864822.7453964,1,131741,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv1/capability_report,1788864822.7629318,1788864822.7574317,1,131742,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv1/capability_report,1788864822.7654943,1788864822.765413,1,131743,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv2/capability_report,1788864822.7695253,1788864822.7683396,2,130505,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.832381248474121
/agv3/capability_report,1788864822.7756546,1788864822.7721426,3,131376,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv1/capability_report,1788864822.7775066,1788864822.777395,1,131744,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv3/capability_report,1788864822.7789435,1788864822.780133,3,131377,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1788864822.7789705,1788864822.7803442,2,130506,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.832381248474121
/agv1/capability_report,1788864822.7855818,1788864822.7854528,1,131745,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv2/capability_report,1788864822.7876823,1788864822.7883945,2,130507,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.832381248474121
/agv3/capability_report,1788864822.7900898,1788864822.7921455,3,131378,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv1/capability_report,1788864822.7975652,1788864822.7974436,1,131746,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv3/capability_report,1788864822.7984395,1788864822.8001523,3,131379,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1788864822.7993288,1788864822.8003395,2,130508,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv1/capability_report,1788864822.8055336,1788864822.8054361,1,131747,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv2/capability_report,1788864822.8077264,1788864822.8083541,2,130509,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv3/capability_report,1788864822.8101628,1788864822.8121955,3,131380,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv1/capability_report,1788864822.817475,1788864822.8173923,1,131748,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv3/capability_report,1788864822.8183072,1788864822.819993,3,131381,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1788864822.820528,1788864822.820352,2,130510,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv1/capability_report,1788864822.8255537,1788864822.8254108,1,131749,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv2/capability_report,1788864822.8287945,1788864822.8283973,2,130511,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv3/capability_report,1788864822.8304644,1788864822.8321488,3,131382,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv1/capability_report,1788864822.8374677,1788864822.8373895,1,131750,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv3/capability_report,1788864822.8386257,1788864822.840155,3,131383,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv2/capability_report,1788864822.8398845,1788864822.8403606,2,130512,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv1/capability_report,1788864822.8455653,1788864822.845429,1,131751,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv2/capability_report,1788864822.8476489,1788864822.848353,2,130513,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv3/capability_report,1788864822.850651,1788864822.852156,3,131384,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv1/capability_report,1788864822.857549,1788864822.8574233,1,131752,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv2/capability_report,1788864822.8597176,1788864822.8603532,2,130514,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv1/capability_report,1788864822.865673,1788864822.8653991,1,131753,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,11.328791618347168
/agv2/capability_report,1788864822.8675115,1788864822.8684392,2,130515,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv1/capability_report,1788864822.8775427,1788864822.8773913,1,131754,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.229597091674805
/agv2/capability_report,1788864822.879158,1788864822.8803601,2,130516,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv1/capability_report,1788864822.8855946,1788864822.8853943,1,131755,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.229597091674805
/agv2/capability_report,1788864822.8869574,1788864822.8883297,2,130517,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv3/capability_report,1788864822.8964012,1788864822.859991,3,131385,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv1/capability_report,1788864822.897518,1788864822.8973897,1,131756,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.229597091674805
/agv3/capability_report,1788864822.898097,1788864822.8721209,3,131386,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1788864822.898101,1788864822.880147,3,131387,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.79692268371582
/agv3/capability_report,1788864822.8981028,1788864822.8921518,3,131388,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1788864822.8995368,1788864822.9003377,2,130518,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv3/capability_report,1788864822.9006534,1788864822.8999937,3,131389,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv1/capability_report,1788864822.9055214,1788864822.9053898,1,131757,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.229597091674805
/agv2/capability_report,1788864822.9086099,1788864822.9084408,2,130519,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv3/capability_report,1788864822.9101198,1788864822.9121506,3,131390,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv1/capability_report,1788864822.917509,1788864822.9173849,1,131758,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.229597091674805
/agv3/capability_report,1788864822.9179995,1788864822.9200978,3,131391,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
/agv2/capability_report,1788864822.9188008,1788864822.9203622,2,130520,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv1/capability_report,1788864822.925512,1788864822.9253983,1,131759,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.229597091674805
/agv2/capability_report,1788864822.9275856,1788864822.928333,2,130521,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.814652442932129
/agv3/capability_report,1788864822.930165,1788864822.9321694,3,131392,0.15,0.15,1.0,1.0,2.0,2.0,1.0,0,False,10.921025276184082
