topic,bag_stamp,header_stamp,layout_label,data_json
/multi_agv/formal_execution_limiter_state,1789204570.9673152,1789204570.9673152,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204570.9667475,1.0,3.4038519017865196e-08,2.840553747622208e-08,2.6358971147957606e-08,2.840553747622208e-08,2.6358971147957606e-08,0.16,0.16,0.008276575691449066,3.287170006322804e-08,2.9820892678932944e-08,3.287170006322804e-08,2.9820892678932944e-08,0.16,0.16,0.0,3.4038519017865196e-08,3.153406699941344e-08,3.4038519017865196e-08,3.153406699941344e-08,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204570.977302,1789204570.977302,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204570.9767861,1.0,2.7185119198951434e-07,2.2684291050539503e-07,2.1067761022180102e-07,2.2684291050539503e-07,2.1067761022180102e-07,0.16,0.16,0.008276575691449066,2.6440911853934526e-07,2.3718966882682955e-07,2.6440911853934526e-07,2.3718966882682955e-07,0.16,0.16,0.0,2.7185119198951434e-07,2.520294461140429e-07,2.7185119198951434e-07,2.520294461140429e-07,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204570.9876704,1789204570.9876704,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204570.9867604,1.0,9.142019137494611e-07,7.641274060369984e-07,7.008856867942365e-07,7.641274060369984e-07,7.008856867942365e-07,0.16,0.16,0.008276575691449066,8.827229718033301e-07,7.933577417868411e-07,8.827229718033301e-07,7.933577417868411e-07,0.16,0.16,0.0,9.142019137494611e-07,8.345431790103236e-07,9.142019137494611e-07,8.345431790103236e-07,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204570.9973156,1789204570.9973156,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204570.996734,1.0,2.151439426341109e-06,1.7982612670561392e-06,1.6494312255757223e-06,1.7982612670561392e-06,1.6494312255757223e-06,0.16,0.16,0.008276575691449066,2.077358398591899e-06,1.8670505356885864e-06,2.077358398591899e-06,1.8670505356885864e-06,0.16,0.16,0.0,2.151439426341109e-06,1.96397436121876e-06,2.151439426341109e-06,1.96397436121876e-06,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.007609,1789204571.007609,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0068276,1.0,4.205350728501868e-06,3.5150038616785434e-06,3.2240901685424146e-06,3.5150038616785434e-06,3.2240901685424146e-06,0.16,0.16,0.008276575691449066,4.060546762810523e-06,3.6494641893726915e-06,4.060546762810523e-06,3.6494641893726915e-06,0.16,0.16,0.0,4.205350728501868e-06,3.838918280486185e-06,4.205350728501868e-06,3.838918280486185e-06,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.0175037,1789204571.0175037,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0168414,1.0,7.143554758139344e-06,6.049443951324148e-06,5.538115077197069e-06,6.049443951324148e-06,5.538115077197069e-06,0.16,0.16,0.008276575691449066,6.980850534605454e-06,6.268119169362958e-06,6.980850534605454e-06,6.268119169362958e-06,0.16,0.16,0.0,7.143554758139344e-06,6.67790558576214e-06,7.143554758139344e-06,6.67790558576214e-06,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.0272214,1789204571.0272214,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0267317,1.0,1.1642136261739337e-05,-1.0694492428554252e-05,-1.1642136261739337e-05,-1.0694492428554252e-05,-1.1642136261739337e-05,0.16,0.16,0.008276575691449066,1.0969880362419127e-05,9.858739270145252e-06,1.0969880362419127e-05,9.858739270145252e-06,0.16,0.16,0.0,1.1225634622278827e-05,1.0502706048403245e-05,1.1225634622278827e-05,1.0502706048403245e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.0373116,1789204571.0373116,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0367692,1.0,1.731951748048213e-05,-1.590974541083408e-05,-1.731951748048213e-05,-1.590974541083408e-05,-1.731951748048213e-05,0.16,0.16,0.008276575691449066,1.631947477880291e-05,1.466647441982994e-05,1.631947477880291e-05,1.466647441982994e-05,0.16,0.16,0.0,1.669994998679416e-05,1.5624477660148727e-05,1.669994998679416e-05,1.5624477660148727e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.0473495,1789204571.0473495,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.046761,1.0,2.4521223809558642e-05,-2.2543724578805255e-05,-2.4521223809558642e-05,-2.2543724578805255e-05,-2.4521223809558642e-05,0.16,0.16,0.008276575691449066,2.3106575164550463e-05,2.0785098162374742e-05,2.3106575164550463e-05,2.0785098162374742e-05,0.16,0.16,0.0,2.379429723060298e-05,2.1975932619142705e-05,2.379429723060298e-05,2.1975932619142705e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.0575552,1789204571.0575552,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.056785,1.0,3.34950143222592e-05,-3.079301506277606e-05,-3.34950143222592e-05,-3.079301506277606e-05,-3.34950143222592e-05,0.16,0.16,0.008276575691449066,3.1535442841998534e-05,2.837505695910315e-05,3.1535442841998534e-05,2.837505695910315e-05,0.16,0.16,0.0,3.25055395845002e-05,3.002089921152867e-05,3.25055395845002e-05,3.002089921152867e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.067302,1789204571.067302,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0667343,1.0,4.4130252694428695e-05,-4.0979108899600236e-05,-4.4130252694428695e-05,-4.0979108899600236e-05,-4.4130252694428695e-05,0.16,0.16,0.008276575691449066,4.172680162390897e-05,3.751969630975832e-05,4.172680162390897e-05,3.751969630975832e-05,0.16,0.16,0.0,4.300996470987048e-05,3.969708379639708e-05,4.300996470987048e-05,3.969708379639708e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.0775237,1789204571.0775237,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0767348,1.0,5.701842519941571e-05,-5.294697465849982e-05,-5.701842519941571e-05,-5.294697465849982e-05,-5.701842519941571e-05,0.16,0.16,0.008276575691449066,5.391353220619251e-05,4.84777222647615e-05,5.391353220619251e-05,4.84777222647615e-05,0.16,0.16,0.0,5.557144696716578e-05,5.129102080597864e-05,5.557144696716578e-05,5.129102080597864e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.087728,1789204571.087728,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0867672,1.0,7.208556526059237e-05,-6.712791558630919e-05,-7.208556526059237e-05,-6.712791558630919e-05,-7.208556526059237e-05,0.16,0.16,0.008276575691449066,6.819412294255588e-05,6.141331423542116e-05,6.819412294255588e-05,6.141331423542116e-05,0.16,0.16,0.0,7.025973515750004e-05,6.519657433324928e-05,7.025973515750004e-05,6.519657433324928e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.0972733,1789204571.0972733,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.0967317,1.0,8.726040188926373e-05,-7.875089902636802e-05,-8.49081089319766e-05,-7.875089902636802e-05,-8.49081089319766e-05,0.16,0.16,0.008276575691449066,8.469499598316934e-05,7.627349595187617e-05,8.469499598316934e-05,7.627349595187617e-05,0.16,0.16,0.0,8.726040188926373e-05,8.097214621761431e-05,8.726040188926373e-05,8.097214621761431e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.1073055,1789204571.1073055,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.106779,1.0,0.00010690380836271046,-8.741065385944225e-05,-9.495387381534035e-05,-8.741065385944225e-05,-9.495387381534035e-05,0.16,0.16,0.008276575691449066,0.00010376092750549047,9.344372303837866e-05,0.00010376092750549047,9.344372303837866e-05,0.16,0.16,0.0,0.00010690380836271046,9.920003673136677e-05,0.00010690380836271046,9.920003673136677e-05,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.1173,1789204571.1173,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.1167324,1.0,0.000129001894354761,-9.271619960702287e-05,-0.00010181859931197902,-9.271619960702287e-05,-0.00010181859931197902,0.16,0.16,0.008276575691449066,0.00012520939127678751,0.00011275963362566287,0.00012520939127678751,0.00011275963362566287,0.16,0.16,0.0,0.000129001894354761,0.00011970574679263192,0.000129001894354761,0.00011970574679263192,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.1272814,1789204571.1272814,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.126749,1.0,0.00015402140902987088,-9.449317556769564e-05,-0.00010536094228343506,-9.449317556769564e-05,-0.00010536094228343506,0.16,0.16,0.008276575691449066,0.00014949338094799255,0.00013462906262931513,0.00014949338094799255,0.00013462906262931513,0.16,0.16,0.0,0.00015402140902987088,0.00014292230280726586,0.00015402140902987088,0.00014292230280726586,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.1372783,1789204571.1372783,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.1367583,1.0,0.00018134927842805543,-5.524906647225183e-05,-6.782610037335315e-05,-5.524906647225183e-05,-6.782610037335315e-05,0.16,0.16,0.008276575691449066,0.0001760832574482607,0.00015929936304758194,0.0001760832574482607,0.00015929936304758194,0.16,0.16,0.0,0.00018134927842805543,0.0001698400368487654,0.00018134927842805543,0.0001698400368487654,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.1472003,1789204571.1472003,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.1467462,1.0,0.00021245747585967012,0.00010688279344699097,9.008211218375268e-05,0.00010688279344699097,9.008211218375268e-05,0.16,0.16,0.008276575691449066,0.0002069329480815305,0.00018603269082276947,0.0002069329480815305,0.00018603269082276947,0.16,0.16,0.0,0.00021245747585967012,0.00019794591732659705,0.00021245747585967012,0.00019794591732659705,0.16,0.16,0.0]"
/multi_agv/formal_execution_limiter_state,1789204571.1572547,1789204571.1572547,formal_execution_limiter_v1:header4+3x7,"[1.0,1789204571.1567328,1.0,0.00024654663301705646,0.00020923291070880354,0.00018973684565063171,0.00020923291070880354,0.00018973684565063171,0.16,0.16,0.008276575691449066,0.0002401358184772073,0.00021588251657358475,0.0002401358184772073,0.00021588251657358475,0.16,0.16,0.0,0.00024654663301705646,0.0002297069150858072,0.00024654663301705646,0.0002297069150858072,0.16,0.16,0.0]"
