stamp,load_s_reference,load_velocity_reference,evaluation_active,agv1_position_error,agv1_velocity_error,agv1_psi,agv1_gamma,agv1_gamma_inverse_upsilon,agv1_composite_error,agv1_channel_input_raw,agv1_channel_input_limited,agv1_theta_hat_1,agv1_theta_hat_2,agv1_disturbance_estimate,agv2_position_error,agv2_velocity_error,agv2_psi,agv2_gamma,agv2_gamma_inverse_upsilon,agv2_composite_error,agv2_channel_input_raw,agv2_channel_input_limited,agv2_theta_hat_1,agv2_theta_hat_2,agv2_disturbance_estimate,agv3_position_error,agv3_velocity_error,agv3_psi,agv3_gamma,agv3_gamma_inverse_upsilon,agv3_composite_error,agv3_channel_input_raw,agv3_channel_input_limited,agv3_theta_hat_1,agv3_theta_hat_2,agv3_disturbance_estimate
1789204570.8395581,nan,nan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789204570.8495684,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.85951,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.8695104,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.8795116,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.8895247,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.8995252,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.909577,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.9195282,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.9295769,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.939508,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.949508,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.9595072,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789204570.969542,3.055572293976347e-10,3.051031443878423e-08,False,-8.50641566830622e-05,-0.0006045495808724746,-0.0006063639453266434,1.0060156010305015,5.283382702518251e-11,-0.000708440933346318,0.0035351621373658133,0.0035351621373658133,7.285855078553848e-11,-3.1300804510783846e-13,0.07994304238226681,-3.055572293976347e-10,-3.051031443878423e-08,-3.0510319039681534e-08,1.000000301596224,1.344711059636718e-19,-3.08769877149587e-08,3.202432009102234e-06,3.202432009102234e-06,0.0,0.0,0.07993590505802951,-3.055572293976347e-10,-3.051031443878423e-08,-3.0510319039681534e-08,1.000000301596224,1.344711059636718e-19,-3.08769877149587e-08,3.202432009102234e-06,3.202432009102234e-06,0.0,0.0,0.07993590505802951
1789204570.9795642,2.7526631896676515e-09,2.437805488550647e-07,False,-8.506660378902248e-05,-0.0005443109440510873,-0.0005457810991189003,1.0054126131920633,2.98666118522979e-10,-0.0006478610236657273,0.0032485041097580843,0.0032485041097580843,1.3958333875624036e-10,-5.4518508872645e-13,0.07988538248257511,-2.7526631896676515e-09,-2.437805488550647e-07,-2.437808425842209e-07,1.0000024097855045,5.986988206786498e-17,-2.470840384118221e-07,2.2493364707184933e-05,2.2493364707184933e-05,0.0,0.0,0.07987171484347884,-2.7526631896676515e-09,-2.437805488550647e-07,-2.437808425842209e-07,1.0000024097855045,5.986988206786498e-17,-2.470840384118221e-07,2.2493364707184933e-05,2.2493364707184933e-05,0.0,0.0,0.07987171484347884
1789204570.9895732,1.0877627615962707e-08,8.146166453724164e-07,False,-0.00023780432101771842,-0.002397119327599974,-0.0024260224406608306,1.0243279040467985,1.5637595534958753e-08,-0.0027113876258820927,0.01347818152942861,0.01347818152942861,9.300085724527928e-10,-1.9633211961683476e-11,0.07984934172468727,-1.0877627615962707e-08,-8.146166453724164e-07,-8.146199252296503e-07,1.0000080525409394,1.8008636474503337e-15,-8.276730783688056e-07,6.140934512900752e-05,6.140934512900752e-05,0.0,0.0,0.07980799203254925,-1.0877627615962707e-08,-8.146166453724164e-07,-8.146199252296503e-07,1.0000080525409394,1.8008636474503337e-15,-8.276730783688056e-07,6.140934512900752e-05,6.140934512900752e-05,0.0,0.0,0.07980799203254925
